Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,-,Uncanny X-Men,383,$2.99,Marvel,"120,672"
2,-,X-Men,103,$2.25,Marvel,"116,358"
3,-,Wolverine,153,$2.25,Marvel,"83,794"
4,-,Fathom,13,$2.50,Image,"78,885"
5,-,JLA,44,$2.25,DC,"76,836"
6,-,Avengers,31,$2.25,Marvel,"75,348"
7,-,Punisher,5,$2.99,Marvel,"73,524"
8,-,Spawn,99,$2.50,Image,"68,073"
9,-,Daredevil,15,$2.99,Marvel,"67,658"
10,-,Fantastic Four,32,$2.25,Marvel,"59,211"
11,-,Marvel Knights,2,$2.99,Marvel,"55,419"
12,-,Amazing Spider-Man,20,$2.99,Marvel,"53,515"
13,-,Thor,26,$2.25,Marvel,"51,426"
14,-,Peter Parker Spider-Man,20,$2.25,Marvel,"51,311"
15,-,Batman Dark Victory,9,$2.95,DC,"50,719"
16,-,Iron Man,31,$2.25,Marvel,"50,619"
17,-,Batman,580,$2.25,DC,"50,098"
18,-,X-Force,105,$2.25,Marvel,"49,697"
19,-,JLA Annual,4,$3.50,DC,"49,462"
20,-,Detective Comics,747,$2.50,DC,"48,721"
21,-,Marvel Boy,1,$2.99,Marvel,"47,844"
22,-,Captain America,32,$2.25,Marvel,"47,443"
23,-,Generation X,66,$2.25,Marvel,"46,456"
24,-,Batgirl,5,$2.50,DC,"46,401"
25,-,X-Men The Movie Adaptation One-Shot,,$5.95,Marvel,"46,246"
26,-,X-Men The Movie Wolverine Prequel,,$5.95,Marvel,"46,181"
27,-,Mutant X,22,$2.25,Marvel,"45,820"
28,-,Magneto Dark Seduction,3,$2.99,Marvel,"45,750"
29,-,Fantastic Four 2000,,$3.50,Marvel,"45,479"
30,-,Soul Saga,4,$2.50,Image,"45,359"
31,-,Cable,82,$2.25,Marvel,"44,833"
32,-,Superman,159,$2.25,DC,"43,896"
33,-,X-Man,66,$2.25,Marvel,"43,435"
34,-,Nightwing,46,$2.25,DC,"42,694"
35,-,JSA,13,$2.50,DC,"42,318"
36,-,Batman Gotham Knights,6,$2.50,DC,"41,847"
37,-,Batman Legends of the Dark Knight,132,$2.25,DC,"41,511"
38,-,X-Men Children of the Atom,5,$2.99,Marvel,"41,366"
39,-,Preacher,64,$2.50,DC,"41,291"
40,-,X-Men The Movie Magneto Prequel,,$5.95,Marvel,"40,955"
41,-,Action Comics,768,$2.25,DC,"40,670"
42,-,X-Men The Movie Rogue Prequel,,$5.95,Marvel,"40,209"
43,-,Witchblade,41,$2.50,Image,"39,908"
