Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Green Lantern,1,$3.50,DC,"168,324"
2,2,Astonishing X-Men,10,$2.99,Marvel,"134,963"
3,3,Green Lantern Rebirth,6,$2.99,DC,"114,335"
4,4,Ultimates 2,6,$2.99,Marvel,"102,008"
5,7,Villains United,1,$2.50,DC,"96,718"
6,5,Ultimate Iron Man,2,$2.99,Marvel,"90,182"
7,8,Omac Project,2,$2.50,DC,"88,270"
8,12,Uncanny X-Men,459,$2.25,Marvel,"83,532"
9,10,Rann Thanagar War,1,$2.50,DC,"82,873"
10,15,Ultimate X-Men,59,$2.25,Marvel,"81,307"
11,16,X-Men,170,$2.25,Marvel,"81,034"
12,17,Ultimate Spider-Man,77,$2.25,Marvel,"81,020"
13,18,Wolverine,28,$2.25,Marvel,"80,947"
14,22,Amazing Spider-Man,520,$2.25,Marvel,"76,130"
15,27,Ultimate Fantastic Four,18,$2.25,Marvel,"71,466"
16,20,Superman,216,$2.50,DC,"70,193"
17,9,Young Avengers,4,$2.99,Marvel,"69,913"
18,21,Teen Titans,24,$2.50,DC,"69,034"
19,11,Fantastic Four,527,$2.99,Marvel,"67,421"
20,31,Batman,640,$2.25,DC,"66,629"
21,25,Superman,217,$2.50,DC,"65,309"
22,26,Day of Vengeance,2,$2.50,DC,"64,456"
23,34,JLA,114,$2.25,DC,"63,923"
24,13,DC Sp Return of Donna Troy,1,$2.99,DC,"62,697"
25,19,X-Men End Heroes & Martyrs,3,$2.99,Marvel,"58,860"
26,23,Marvel Knights Spider-Man,14,$2.99,Marvel,"57,261"
27,24,Excalibur,13,$2.99,Marvel,"54,609"
28,29,X-23,6,$2.99,Marvel,"51,684"
29,30,Excalibur,14,$2.99,Marvel,"51,351"
30,40,JSA,73,$2.50,DC,"51,317"
31,41,Outsiders,24,$2.50,DC,"51,304"
32,6,Green Lantern Secret Files 2005,,$4.99,DC,"49,678"
33,33,Daredevil,73,$2.99,Marvel,"48,672"
34,54,Flash,222,$2.25,DC,"47,520"
35,35,Captain America,6,$2.99,Marvel,"46,360"
36,14,Secret War From Files of Nick Fury,,$3.99,Marvel,"46,054"
37,36,JLA Classified,7,$2.99,DC,"45,780"
38,37,Fantastic Four,526,$2.99,Marvel,"44,928"
39,53,Action Comics,827,$2.50,DC,"44,002"
40,38,Incredible Hulk,81,$2.99,Marvel,"43,815"
41,42,Batman Dark Detective,1,$2.99,DC,"41,610"
42,43,Legion of Super Heroes,6,$2.99,DC,"40,963"
43,45,Black Panther,4,$2.99,Marvel,"40,797"
44,62,Outsiders,23,$2.50,DC,"40,610"
45,46,Lex Luthor Man of Steel,3,$2.99,DC,"39,777"
46,47,Detective Comics,806,$2.99,DC,"38,831"
47,48,Punisher,21,$2.99,Marvel,"37,992"
48,49,Batman Dark Detective,2,$2.99,DC,"37,785"
49,50,Excalibur,12,$2.99,Marvel,"37,738"
50,51,Conan,16,$2.99,Dark Horse,"37,625"
51,52,Seven Soldiers Shining Knight,2,$2.99,DC,"37,532"
52,39,Shanna The She Devil,4,$3.50,Marvel,"37,205"
53,66,Adventures of Superman,640,$2.50,DC,"37,039"
54,73,Nightwing,108,$2.25,DC,"37,012"
55,55,Spider-Man Breakout,2,$2.99,Marvel,"35,740"
56,56,Seven Soldiers Guardian,2,$2.99,DC,"35,580"
57,57,New X-Men,13,$2.99,Marvel,"35,027"
58,44,Green Arrow,50,$3.50,DC,"34,880"
59,59,New X-Men,14,$2.99,Marvel,"34,574"
60,60,Toxin,2,$2.99,Marvel,"34,087"
61,61,Exiles,64,$2.99,Marvel,"34,027"
62,63,New X-Men Hellions,1,$2.99,Marvel,"33,188"
63,64,Marvel Nemesis Imperfects,1,$2.99,Marvel,"32,595"
64,28,Punisher Cell One-Shot,,$4.99,Marvel,"31,935"
65,83,Wonder Woman,216,$2.25,DC,"31,595"
66,77,Batman Gotham Knights,65,$2.50,DC,"31,242"
