Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
490,508,Dodge City,4,$3.99,06/27/18,Boom,"1,043"
491,654,Image Firsts Saga,1,$1.00,12/12/12,Image,"1,027"
492,406,Gwenpool Holiday Special Merry Mix Up,,$5.99,12/14/16,Marvel,"1,025"
493,456,Songs for the Dead,3,$3.99,06/06/18,Vault,"1,024"
494,457,Mainstream,2,$3.99,06/06/18,Zenescope,"1,015"
495,475,Amazing Spider-Man,799,$3.99,05/30/18,Marvel,"1,008"
496,350,Rick & Morty,39 Supercon Sketch Ed.,$10.00,06/27/18,Oni,"1,000"
497,940,Star Wars Annual,1,$4.99,12/09/15,Marvel,994
498,474,Infinity Countdown Captain Marvel,1,$3.99,05/30/18,Marvel,990
499,572,Doppelganger,4,$1.50,06/06/18,Alterna,987
500,514,New Challengers,1,$2.99,05/16/18,DC,980
