Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Siege,1,$3.99,Marvel,"108,484"
2,2,Green Lantern,50,$3.99,DC,"106,444"
3,7,Batman and Robin,7,$2.99,DC,"87,780"
4,3,Captain America Reborn,6,$3.99,Marvel,"84,844"
5,4,New Avengers,61,$3.99,Marvel,"78,202"
6,6,Amazing Spider-Man,617,$3.99,Marvel,"76,730"
7,10,Green Lantern Corps,44,$2.99,DC,"76,458"
8,5,Dark Avengers,13,$3.99,Marvel,"73,712"
9,12,Blackest Night The Flash,2,$2.99,DC,"69,381"
10,15,Uncanny X-Men,520,$2.99,Marvel,"65,758"
11,8,Captain America,602,$3.99,Marvel,"63,948"
12,16,Batman,695,$2.99,DC,"63,467"
13,9,Justice League of America,41,$3.99,DC,"62,262"
14,19,Amazing Spider-Man,618,$2.99,Marvel,"61,969"
15,17,Blackest Night Wonder Woman,2,$2.99,DC,"61,372"
16,20,Blackest Night JSA,2,$2.99,DC,"58,751"
17,25,Amazing Spider-Man,619,$2.99,Marvel,"56,837"
18,27,Thor,606,$2.99,Marvel,"55,353"
19,13,Hulk,19,$3.99,Marvel,"54,266"
20,11,Siege Embedded,1,$3.99,Marvel,"53,170"
21,29,Dark Wolverine,82,$2.99,Marvel,"52,015"
22,32,X-Force,23,$2.99,Marvel,"50,848"
23,34,X-Men Legacy,232,$2.99,Marvel,"49,200"
24,14,Justice League Cry for Justice,6,$3.99,DC,"49,193"
25,35,Buffy The Vampire Slayer,31,$2.99,Dark Horse,"47,013"
26,36,Mighty Avengers,33,$2.99,Marvel,"46,899"
27,37,Invincible Iron Man,22,$2.99,Marvel,"46,763"
28,38,Kick Ass,8,$2.99,Marvel,"46,414"
29,18,Detective Comics,861,$3.99,DC,"45,937"
30,23,Incredible Hulk,606,$3.99,Marvel,"44,855"
31,21,Superman Secret Origin,4,$3.99,DC,"43,863"
32,22,Ultimate Comics Spider-Man,6,$3.99,Marvel,"43,622"
33,24,Adventure Comics,6,$3.99,DC,"42,514"
34,26,Fall of Hulks Red Hulk,1,$3.99,Marvel,"42,482"
35,44,Fantastic Four,575,$2.99,Marvel,"41,284"
36,28,Deadpool Merc With A Mouth,7,$3.99,Marvel,"40,568"
37,45,Justice Society of America,35,$2.99,DC,"39,934"
38,46,Catwoman,83,$2.99,DC,"39,239"
39,30,Ultimate Comics Enemy,1,$3.99,Marvel,"38,880"
40,48,Starman,81,$2.99,DC,"38,671"
41,49,Secret Six,0,$2.99,DC,"38,515"
42,33,Dark X-Men,3,$3.99,Marvel,"37,873"
43,50,Red Robin,8,$2.99,DC,"37,869"
44,51,Atom and Hawkman,46,$2.99,DC,"37,854"
45,53,Suicide Squad,67,$2.99,DC,"37,818"
46,57,Daredevil,504,$2.99,Marvel,"37,135"
47,56,Power of Shazam,48,$2.99,DC,"36,793"
48,55,Batman Widening Gyre,4,$2.99,DC,"36,729"
49,59,Avengers Initiative,32,$2.99,Marvel,"36,127"
50,58,Phantom Stranger,42,$2.99,DC,"35,937"
51,31,Blackest Night,6,$3.99,DC,"35,334"
52,60,Wolverine Origins,44,$2.99,Marvel,"35,154"
53,62,Superman Batman,68,$2.99,DC,"33,869"
54,63,Weird Western Tales,71,$2.99,DC,"33,702"
55,39,Nation X,2,$3.99,Marvel,"33,596"
56,64,Superman World of New Krypton,11,$2.99,DC,"32,728"
57,65,Deadpool Team-Up,897,$2.99,Marvel,"32,671"
58,40,JSA All Stars,2,$3.99,DC,"32,601"
59,67,Superman,696,$2.99,DC,"31,940"
60,41,Wolverine Weapon X,9,$3.99,Marvel,"31,678"
61,42,Marvels Project,5,$3.99,Marvel,"31,644"
62,43,Action Comics,885,$3.99,DC,"30,678"
63,73,New Mutants,9,$2.99,Marvel,"30,572"
64,70,Batgirl,6,$2.99,DC,"30,403"
65,76,Secret Warriors,12,$2.99,Marvel,"29,894"
66,77,X-Factor,201,$2.99,Marvel,"29,732"
67,47,Nation X X-Factor,0,$3.99,Marvel,"29,617"
68,81,Thunderbolts,140,$2.99,Marvel,"28,644"
69,82,Cable,22,$2.99,Marvel,"28,414"
70,52,Batman Streets of Gotham,8,$3.99,DC,"28,313"
71,80,Gotham City Sirens,8,$2.99,DC,"28,254"
72,54,Teen Titans,79,$3.99,DC,"27,790"
73,83,Supergirl,49,$2.99,DC,"27,728"
74,84,Spider-Woman,5,$2.99,Marvel,"27,716"
75,85,Haunt,4,$2.99,Image,"26,420"
76,61,Siege Storming Asgard,0,$3.99,Marvel,"26,084"
77,197,Joe The Barbarian,1,$1.00,DC,"25,543"
78,87,Wonder Woman,40,$2.99,DC,"25,156"
79,89,Titans,21,$2.99,DC,"24,924"
80,117,Archie,605,$2.50,Archie,"24,803"
81,66,Web of Spider-Man,4,$3.99,Marvel,"24,424"
82,68,Dark Reign Hawkeye,5,$3.99,Marvel,"24,050"
83,94,Punisher,13,$2.99,Marvel,"23,734"
84,92,Walking Dead,69,$2.99,Image,"23,695"
85,69,Incredible Hercules,140,$3.99,Marvel,"23,244"
86,71,Psylocke,3,$3.99,Marvel,"22,978"
87,72,Punishermax,3,$3.99,Marvel,"22,887"
88,100,Outsiders,26,$2.99,DC,"22,626"
89,91,Boys,38,$2.99,Dynamic,"22,203"
90,78,Booster Gold,28,$3.99,DC,"21,967"
91,104,Nova,33,$2.99,Marvel,"21,841"
92,79,Avengers Vs Agents of Atlas,1,$3.99,Marvel,"21,777"
93,103,Power Girl,8,$2.99,DC,"21,760"
94,107,Guardians of Galaxy,22,$2.99,Marvel,"21,623"
95,105,Brave and The Bold,31,$2.99,DC,"21,406"
96,111,Ms. Marvel,49,$2.99,Marvel,"21,177"
97,108,Worlds Finest,4,$2.99,DC,"21,113"
98,112,Star Wars Legacy,44,$2.99,Dark Horse,"20,341"
99,75,Angel,29,$3.99,IDW,"20,280"
100,116,Fables,92,$2.99,DC,"20,180"
101,86,Realm of Kings Inhumans,3,$3.99,Marvel,"19,872"
102,88,X-Men Origins Cyclops,0,$3.99,Marvel,"19,049"
103,90,Realm of Kings Imperial Guard,3,$3.99,Marvel,"18,949"
104,74,Punisher Max Get Castle,1,$4.99,Marvel,"18,195"
105,93,Amazing Spider-Man Presents Jackpot,1,$3.99,Marvel,"18,014"
106,127,Black Panther 2,12,$2.99,Marvel,"17,881"
107,95,X-Men Forever,15,$3.99,Marvel,"17,665"
108,110,Conan The Cimmerian Weight of Crown One Shot,0,$3.50,Dark Horse,"17,571"
109,99,Iron Man I Am Iron Man,1,$3.99,Marvel,"17,544"
110,123,Star Wars Dark Times,15,$2.99,Dark Horse,"17,485"
111,96,Wolverine Wendigo,1,$3.99,Marvel,"17,476"
112,125,Conan The Cimmerian,17,$2.99,Dark Horse,"17,356"
113,97,X-Men Forever,16,$3.99,Marvel,"17,290"
114,130,Batman Confidential,40,$2.99,DC,"17,241"
115,98,Doom Patrol,6,$3.99,DC,"17,117"
116,102,Black Widow Deadly Origin,3,$3.99,Marvel,"16,644"
117,101,Green Arrow Black Canary,28,$3.99,DC,"16,482"
118,106,Spider-Man Clone Saga,5,$3.99,Marvel,"16,213"
119,133,Cinderella From Fabletown With Love,3,$2.99,DC,"15,827"
120,114,Strange,3,$3.99,Marvel,"15,729"
121,132,Star Wars: Knights Old Republic,49,$2.99,Dark Horse,"15,417"
122,135,Spider-Man and Secret Wars,2,$2.99,Marvel,"15,353"
123,121,Alien vs. Predator Three World War,1,$3.50,Dark Horse,"15,218"
124,136,Azrael,4,$2.99,DC,"14,703"
125,119,Marvel Boy Uranian,1,$3.99,Marvel,"14,258"
126,118,Marvelous Land of Oz,3,$3.99,Marvel,"14,216"
127,137,B.P.R.D. King of Fear,1,$2.99,Dark Horse,"14,081"
128,113,G.I. Joe,14,$3.99,IDW,"14,030"
129,138,Unwritten,9,$2.99,DC,"13,792"
130,122,Astro City The Dark Age Book Four,1,$3.99,DC,"13,664"
131,143,Doctor Voodoo Avenger of Supernatural,4,$2.99,Marvel,"13,427"
132,126,X-Men Noir Mark of Cain,2,$3.99,Marvel,"13,399"
133,147,Sword,3,$2.99,Marvel,"13,271"
134,128,Spider-Man Noir Eyes Without A Face,2,$3.99,Marvel,"13,239"
135,109,Irredeemable,10,$3.99,Boom,"13,106"
136,131,Iron Man vs. Whiplash,3,$3.99,Marvel,"12,886"
137,149,Chew,8,$2.99,Image,"12,727"
138,148,Star Wars Clone Wars,12,$2.99,Dark Horse,"12,637"
139,115,Incorruptible,2,$3.99,Boom,"12,635"
140,120,Transformers Ongoing,3,$3.99,IDW,"12,609"
141,152,Rebels,12,$2.99,DC,"12,428"
