Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Batman,617,$2.25,DC,"145,998"
2,3,Spectacular Spider-Man,1,$2.25,Marvel,"118,317"
3,5,Ultimate X-Men,35,$2.25,Marvel,"109,236"
4,6,Ultimates,11,$2.25,Marvel,"102,768"
5,7,Ultimate Spider-Man,43,$2.25,Marvel,"100,899"
6,8,New X-Men,143,$2.25,Marvel,"99,439"
7,2,G.I. Joe/Transformers,1,$2.95,Image,"97,687"
8,9,Amazing Spider-Man,55,$2.25,Marvel,"95,074"
9,10,Amazing Spider-Man,54,$2.25,Marvel,"94,782"
10,11,Uncanny X-Men,428,$2.25,Marvel,"93,162"
11,12,Uncanny X-Men,427,$2.25,Marvel,"91,716"
12,13,Wolverine,3,$2.25,Marvel,"90,344"
13,14,Spectacular Spider-Man,2,$2.25,Marvel,"89,979"
14,19,Teen Titans,1,$2.50,DC,"74,897"
15,15,X-Treme X-Men,28,$2.99,Marvel,"65,495"
16,27,Incredible Hulk,57,$2.25,Marvel,"64,692"
17,16,Transformers Generation One Vol. 2,4,$2.95,Dreamwave,"64,619"
18,30,Incredible Hulk,58,$2.25,Marvel,"62,546"
19,33,Silver Surfer,1,$2.25,Marvel,"60,035"
20,20,Daredevil,49,$2.99,Marvel,"59,918"
21,34,JLA,83,$2.25,DC,"58,910"
22,23,G.I. Joe/Transformers,2,$2.95,Image,"57,056"
23,22,Spider-Man & Wolverine,2,$2.99,Marvel,"56,881"
24,35,Fantastic Four,501 (#72),$2.25,Marvel,"55,771"
25,17,Born,2,$3.50,Marvel,"54,399"
26,32,Emma Frost,1,$2.50,Marvel,"54,107"
27,25,Trouble,1,$2.99,Marvel,"53,727"
28,38,Venom,3,$2.25,Marvel,"52,822"
29,21,Fantastic Four,500 (#71),$3.50,Marvel,"49,596"
30,28,Superman Birthright,1,$2.95,DC,"48,588"
31,18,JSA,50,$3.95,DC,"47,727"
32,31,Captain America,15,$2.99,Marvel,"45,332"
33,43,Green Arrow,28,$2.50,DC,"45,084"
34,44,New Mutants,3,$2.50,Marvel,"43,434"
35,26,Thor Vikings,1,$3.50,Marvel,"42,880"
36,45,Outsiders,2,$2.50,DC,"42,778"
37,48,Formerly Known As Justice League,1,$2.50,DC,"41,420"
38,29,Flash,200,$3.50,DC,"40,909"
39,37,Exiles,29,$2.99,Marvel,"40,529"
40,50,Spawn,126,$2.50,Image,"40,062"
41,40,G.I. Joe,19,$2.95,Image,"39,376"
42,39,Mystique,4,$2.99,Marvel,"39,317"
43,41,Punisher,29,$2.99,Marvel,"38,690"
44,47,Detective Comics,784,$2.75,DC,"38,412"
45,4,Batman/Superman/Wonder Woman Trinity,2,$6.95,DC,"37,974"
46,55,JSA All Stars,3,$2.50,DC,"36,952"
47,56,X-Men Unlimited,50,$2.50,Marvel,"36,456"
48,72,Green Lantern,167,$2.25,DC,"36,105"
49,46,Wolverine Snikt,3,$2.99,Marvel,"35,594"
50,57,Kingpin,2,$2.50,Marvel,"35,565"
51,75,Superman,195,$2.25,DC,"35,156"
52,60,X-Men Unlimited,49,$2.50,Marvel,"35,098"
53,49,Transformers Armada,13,$2.95,Dreamwave,"34,821"
54,24,Fantastic Four,500 (#71) Directors Cut Ed,$4.99,Marvel,"33,696"
55,52,Authority Vol. 2,3,$2.95,DC,"33,638"
56,51,Thor,66,$2.99,Marvel,"33,419"
57,42,Truth Red White Black,7,$3.50,Marvel,"33,025"
58,53,Iron Man,70,$2.99,Marvel,"32,076"
59,84,Action Comics,805,$2.25,DC,"31,828"
60,54,Hulk Nightmerica,2,$2.99,Marvel,"31,506"
61,63,Batman Gotham Knights,43,$2.75,DC,"31,258"
62,59,Batgirl Year One,8,$2.95,DC,"29,871"
63,93,Nightwing,83,$2.25,DC,"29,623"
64,80,Aquaman,8,$2.50,DC,"29,506"
65,58,X-Statix,11,$2.99,Marvel,"29,477"
66,61,X-Men Phoenix,2,$2.99,Marvel,"29,287"
67,82,Hawkman,17,$2.50,DC,"29,156"
68,83,Batgirl,42,$2.50,DC,"29,024"
69,100,Adventures of Superman,618,$2.25,DC,"28,966"
70,62,Magdalena Vol. 2,1,$2.99,Image,"28,893"
71,65,G.I. Joe Frontline,8,$2.95,Image,"28,820"
72,68,G.I. Joe Frontline,9,$2.95,Image,"28,075"
73,66,Alias,24,$2.99,Marvel,"27,988"
74,67,Weapon X,10,$2.99,Marvel,"27,900"
75,103,Namor,4,$2.25,Marvel,"27,886"
76,87,Birds of Prey,57,$2.50,DC,"27,783"
77,69,Captain Marvel,12,$2.99,Marvel,"27,696"
78,70,Weapon X,11,$2.99,Marvel,"27,477"
79,90,Arkham Asylum Living Hell,3,$2.50,DC,"27,448"
80,71,Paradise X,12,$2.99,Marvel,"27,199"
81,74,Superman & Batman Generations III,7,$2.95,DC,"26,864"
82,76,G.I. Joe Frontline,10,$2.95,Image,"26,732"
83,77,Y The Last Man,13,$2.95,DC,"26,645"
84,95,JLA Scary Monsters,5,$2.50,DC,"26,309"
85,96,Inhumans,3,$2.50,Marvel,"26,294"
86,98,Batman Legends of the Dark Knight,169,$2.50,DC,"26,177"
87,78,Elektra,25,$2.99,Marvel,"25,550"
88,102,Fables,15,$2.50,DC,"25,462"
89,117,Wonder Woman,194,$2.25,DC,"25,243"
90,81,Arrowsmith,1,$2.95,DC,"24,834"
91,79,Battle of the Planets,11,$2.99,Image,"24,703"
92,64,Ghost in the Shell 2 Man/Machine Interface,5,$3.50,Dark Horse,"24,338"
93,85,Dawn Three Tiers,1,$2.95,Image,"24,250"
94,107,Human Torch,4,$2.50,Marvel,"24,061"
95,86,Lobo Unbound,2,$2.95,DC,"23,973"
96,109,Fallen Angel,1,$2.50,DC,"23,623"
97,88,Masters of the Universe Vol. 2,5,$2.95,Image,"23,404"
98,36,Transformers More Than Meets Eye Off Gd,4,$5.25,Dreamwave,"23,272"
99,89,Spider-Girl,62,$2.99,Marvel,"23,009"
100,114,Catwoman,21,$2.50,DC,"22,995"
101,115,Legion,22,$2.50,DC,"22,893"
102,92,Star Wars Empire,9,$2.99,Dark Horse,"22,396"
103,97,Teenage Mutant Ninja Turtles Animated,2,$2.95,Dreamwave,"22,279"
104,131,Robin,116,$2.25,DC,"22,119"
105,120,Sentinel,4,$2.50,Marvel,"22,119"
106,121,Domino,3,$2.50,Marvel,"22,090"
107,125,Empire,1,$2.50,DC,"21,579"
108,101,Star Wars Empire,10,$2.99,Dark Horse,"21,549"
109,104,Robotech Love & War,2,$2.95,DC,"21,243"
110,105,Star Wars Republic,55,$2.99,Dark Horse,"20,600"
111,139,Ultimate Adventures,4,$2.25,Marvel,"20,440"
112,106,Star Wars Republic,56,$2.99,Dark Horse,"20,381"
113,130,Runaways,4,$2.50,Marvel,"20,162"
114,73,Smallville,3,$3.95,DC,"20,119"
115,108,Eternal,2,$2.99,Marvel,"19,841"
116,112,Voltron Defender of the Universe,3,$2.95,Image,"19,651"
117,110,War Machine 2.0,3,$2.99,Marvel,"19,593"
118,111,Hellboy BPRD Dark Waters One-Shot,,$2.99,Dark Horse,"19,389"
119,113,Criminal Macabre Cal Mcdonald Mystery,3,$2.99,Dark Horse,"19,359"
120,133,Hero,6,$2.50,DC,"19,286"
121,118,Red,1,$2.95,DC,"19,067"
122,119,Liberty Meadows,32,$2.95,Image,"18,790"
123,122,Batman Nevermore,4,$2.50,DC,"18,600"
124,136,Brian Pulido Lady Death,6,$2.95,Crossgen,"18,600"
125,138,Crew,3,$2.50,Marvel,"18,556"
126,123,Terra Obscura,2,$2.95,DC,"18,440"
127,126,Global Frequency,9,$2.95,DC,"18,045"
128,127,Global Frequency,10,$2.95,DC,"17,724"
129,128,Possessed,1,$2.95,DC,"17,418"
130,151,Gotham Central,9,$2.50,DC,"17,228"
131,158,Thunderbolts,81,$2.25,Marvel,"17,140"
132,129,Vampirella/Witchblade,1,$2.99,Harris,"17,096"
133,153,100 Bullets,46,$2.50,DC,"17,038"
134,145,Hellblazer,186,$2.75,DC,"16,337"
135,134,Necrowar,1,$2.95,Dreamwave,"16,089"
136,137,Superman Metropolis,6,$2.95,DC,"15,739"
137,135,Black Panther,62,$2.99,Marvel,"15,709"
138,156,Harley Quinn,34,$2.50,DC,"15,651"
139,141,Startling Stories Thing Night Falls On Yancy St,3,$3.50,Marvel,"15,447"
140,124,Solus,5,$2.95,Crossgen,"15,447"
141,142,Wildcats Version 3.0,12,$2.95,DC,"15,374"
142,140,Battle of the Planets,0.5,$2.99,Image,"15,359"
143,143,Gen 13,11,$2.95,DC,"15,344"
144,144,Losers,2,$2.95,DC,"15,271"
145,173,Batman Adventures,4,$2.25,DC,"14,994"
146,148,Way of the Rat,15,$2.95,Crossgen,"14,746"
147,147,Buffy the Vampire Slayer,59,$2.99,Dark Horse,"14,717"
148,150,Reload,3,$2.95,DC,"14,658"
149,161,Extinction Event,1,$2.50,DC,"14,629"
150,152,Blood and Water,5,$2.95,DC,"14,527"
151,154,Tokyo Storm Warning,2,$2.95,DC,"14,366"
152,165,Simpsons Comics,84,$2.50,Bongo,"14,308"
153,184,Justice League Adventures,21,$2.25,DC,"13,841"
154,172,Lucifer,40,$2.50,DC,"13,665"
155,91,Tomb Raider Epiphany,,$4.99,Image,"13,549"
156,94,Motu Icons of Evil Mer Man,1,$4.95,Crossgen,"13,403"
157,157,Scion,38,$2.95,Crossgen,"13,227"
158,159,Stormwatch Team Achilles,13,$2.95,DC,"12,965"
159,168,Power Company,18,$2.75,DC,"12,877"
160,160,Lenore,10,$2.95,Slave Labor,"12,541"
161,163,Beware The Creeper,4,$2.95,DC,"12,322"
162,164,Micronauts,9,$2.95,Image,"12,264"
163,186,Doom Patrol,22,$2.50,DC,"12,176"
164,167,Silken Ghost,3,$2.95,Crossgen,"12,089"
165,169,Negation,20,$2.95,Crossgen,"11,957"
166,166,Kiss,11,$2.99,Dark Horse,"11,928"
167,170,Savage Dragon,108,$2.95,Image,"11,724"
168,171,Mystic,38,$2.95,Crossgen,"11,607"
169,116,Eye of the Storm Annual,,$4.95,DC,"11,534"
170,189,Humans Defense Corps,3,$2.50,DC,"11,417"
171,174,Elfquest 25th Annv Ed,,$2.95,DC,"11,315"
172,175,Crux,28,$2.95,Crossgen,"11,315"
173,176,Sigil,38,$2.95,Crossgen,"11,271"
174,185,Hunter Age of Magic,25,$2.75,DC,"11,169"
175,179,Route 666,14,$2.95,Crossgen,"10,964"
176,181,First,33,$2.95,Crossgen,"10,862"
177,182,Vampi Vicious,1,$2.99,Harris,"10,687"
178,183,Savage Dragon,109,$2.95,Image,"10,585"
179,162,Hip Flask Elephantmen,1,$3.50,Active Images,"10,410"
180,193,Futurama Comics,14,$2.50,Bongo,"10,322"
181,194,Radioactive Man,7,$2.50,Bongo,"10,132"
182,187,Tarot Witch of the Black Rose,21,$2.95,Broadsword,"9,986"
183,190,Sleeper,7,$2.95,DC,"9,388"
184,99,CSI Thicker Than Blood,,$6.99,IDW,"9,344"
185,209,Call,4,$2.25,Marvel,"9,285"
186,198,American Century,26,$2.75,DC,"8,877"
187,192,Shonen Jump Vol. 1,,$4.95,Viz,"8,745"
188,149,Crossovers,7,$2.95,Crossgen,"8,745"
189,197,PVP,3,$2.95,Image,"8,483"
190,195,Hell,1,$2.99,Dark Horse,"8,424"
191,200,Ra Salvatore Demon Wars Vol. 2,3,$2.95,Crossgen,"8,205"
192,199,Go Boy 7 Human Action Machine,1,$2.99,Dark Horse,"8,161"
193,132,Terminator 3 Before The Rise,2,$5.95,Beckett,"8,132"
194,218,Powerpuff Girls,40,$2.25,DC,"7,840"
195,202,Defiance,8,$2.95,Image,"7,636"
196,204,21 Down,11,$2.95,DC,"7,636"
197,205,Vertigo Pop Bangkok,3,$2.95,DC,"7,563"
198,203,Usagi Yojimbo,67,$2.99,Dark Horse,"7,534"
199,207,Usagi Yojimbo,68,$2.99,Dark Horse,"7,373"
200,208,Legacy,2,$2.95,Image,"7,329"
201,210,Queen & Country,17,$2.99,Oni,"6,862"
202,211,Invincible,5,$2.95,Image,"6,774"
203,201,Grendel God & The Devil,6,$3.50,Dark Horse,"6,774"
204,191,Knights of the Dinner Table,81,$3.99,Kenzer,"6,731"
205,212,Oh My Goddess,99,$2.99,Dark Horse,"6,672"
206,178,Brit,1,$4.95,Image,"6,555"
207,229,Batman,616,$2.25,DC,"6,453"
208,213,Kore,3,$2.95,Image,"6,439"
209,146,Uncle Scrooge,320,$6.95,Gemstone,"6,395"
210,196,Girl Genius,9,$3.95,Studio Foglio,"6,380"
211,214,Sweatshop,4,$2.95,DC,"6,263"
212,237,Sonic The Hedgehog,125,$2.19,Archie,"6,234"
213,215,Blade of the Immortal Petals of the Wind,80,$2.99,Dark Horse,"6,161"
214,235,Cerebus,291,$2.25,Aardvark-Vanaheim,"6,103"
215,216,Stray Bullets,32,$2.95,El Capitan,"6,059"
216,155,Walt Disneys Comics & Stories,635,$6.95,Gemstone,"6,001"
217,238,Scooby Doo,74,$2.25,DC,"5,942"
218,206,Love & Rockets Vol. 2,8,$3.95,Fantagraphics,"5,592"
219,177,Planetary/Batman Night On Earth,,$5.95,DC,"5,577"
220,221,Puffed,1,$2.95,Image,"5,504"
221,222,Ruse,21,$2.95,Crossgen,"5,490"
222,180,Soul of Samurai,2,$5.95,Image,"5,417"
223,225,Heroes Anonymous,1,$2.99,Bongo,"4,979"
224,226,Blackburne Covenant,4,$2.99,Dark Horse,"4,920"
225,230,Super Manga Blast,33,$5.99,Dark Horse,"4,891"
226,188,Agents,3,$2.95,Image,"4,891"
227,231,Strangers,4,$2.95,Image,"4,847"
228,236,Heirs of Eternity,3,$2.95,Image,"4,643"
229,234,Cannon God Exaxxion,15,$2.99,Dark Horse,"4,628"
230,217,Marvel Must Haves Ultimate Spider-Man,1-3,$3.99,Marvel,"4,453"
231,240,Knights of the Dinner Table Origins 2003 Issue,,$2.99,Kenzer,"4,424"
232,241,Devils Footprints,4,$2.99,Dark Horse,"4,409"
233,243,Path,16,$2.95,Crossgen,"4,395"
234,245,Gold Digger,43,$2.99,Antarctic,"4,146"
235,249,Gold Digger,44,$2.99,Antarctic,"4,030"
236,263,Outsiders,1,$2.50,DC,"4,015"
237,251,Scooter Girl,2,$2.99,Oni,"3,942"
238,223,Marvel Must Haves Ultimates,1-3,$3.99,Marvel,"3,927"
239,253,Terry Moores Paradise Too,13,$2.95,Abstract,"3,913"
240,279,Archie,538,$2.19,Archie,"3,781"
241,224,Marvel Must Haves Amazing Spider-Man,30-32,$3.99,Marvel,"3,767"
242,227,Marvel Must Haves Ultimate X-Men,1-3,$3.99,Marvel,"3,665"
243,257,Dork Tower,23,$2.99,Dork Storm,"3,621"
244,286,Batman,615,$2.25,DC,"3,519"
245,287,Looney Tunes,104,$2.25,DC,"3,519"
246,233,Marvel Must Haves Incredible Hulk,34-36,$3.99,Marvel,"3,504"
247,248,Age of Bronze,17,$3.50,Image,"3,475"
248,252,Paradigm,10,$3.50,Image,"3,343"
249,242,Marvel Must Haves New X-Men,114-116,$3.99,Marvel,"3,300"
250,254,Lansdale & Trumans Dead Folks,3,$3.50,Avatar,"3,197"
251,266,Love Fights,2,$2.99,Oni,"3,183"
252,296,Betty & Veronica,190,$2.19,Archie,"3,168"
253,255,Warren Ellis Strange Killings Strong Medicine,1,$3.50,Avatar,"3,139"
254,256,Luba,7,$3.50,Fantagraphics,"3,139"
255,268,Transformers Generation One Vol. 2,3,$2.95,Dreamwave,"3,124"
256,247,Artesia Afire,2,$3.95,Archie,"3,095"
257,300,Flash,199,$2.25,DC,"3,022"
258,301,Veronica,142,$2.19,Archie,"3,022"
259,273,Boneyard,11,$2.95,NBM,"3,008"
260,272,Knights of the Dinner Table Illustrated,24,$2.99,Kenzer,"2,978"
261,304,Betty,128,$2.19,Archie,"2,935"
262,305,Sabrina Vol. 2,47,$2.19,Archie,"2,862"
263,284,Deathmask,3,$2.99,Future,"2,730"
264,309,Sabrina Vol. 2,48,$2.19,Archie,"2,730"
265,281,Dogwitch,6,$2.95,Sirius,"2,730"
266,285,Losers,1,$2.95,DC,"2,686"
267,239,Magdalena Vol. 2 Jim Silke Actor Cvr,1,$5.00,Image,"2,672"
268,261,Metal Hurlant,7,$3.95,Humanoids,"2,657"
269,315,Archie & Friends,73,$2.19,Archie,"2,613"
270,313,Cartoon Cartoons,20,$2.25,DC,"2,570"
271,269,Archie Double Digest,144,$3.59,Archie,"2,555"
272,308,Archie Digest,200,$2.39,Archie,"2,526"
273,270,Betty & Veronica Double Digest,117,$3.59,Archie,"2,526"
274,219,Walt Disneys Comics & Stories,634,$6.95,Gemstone,"2,511"
275,271,Archie Pals N Gals Double Digest,77,$3.59,Archie,"2,497"
276,319,Betty & Veronica Spectacular,61,$2.19,Archie,"2,467"
277,228,League of Extraordinary Gentlemen II Bumper Ed Parts 1 & 2,,$5.95,DC,"2,453"
278,312,Betty & Veronica Digest,140,$2.39,Archie,"2,438"
279,250,Empire,0,$4.95,DC,"2,424"
280,258,Gold Digger Swimsuit End of Summer Sp 2003 Ed,,$4.50,Antarctic,"2,409"
281,293,Knights of the Dinner Table Everknights,7,$2.99,Kenzer,"2,394"
282,232,League of Extraordinary Gentlemen II Bumper Ed Parts 3 & 4,,$5.95,DC,"2,380"
283,267,Alice In Sexland Extreme,3,$3.95,Fantagraphics,"2,336"
284,295,Ninja High School,107,$3.50,Antarctic,"2,321"
285,282,Metallix,6,$2.99,Future,"2,321"
286,297,Freemind,7,$2.99,Future,"2,307"
287,280,Jugheads Double Digest,96,$3.59,Archie,"2,292"
288,298,Kissing Chaos 1000 Words One-Shot,,$2.99,Oni,"2,278"
289,289,League of Extraordinary Gentlemen Vol. II,5 2nd Pt,$3.50,DC,"2,219"
290,332,Jughead,152,$2.19,Archie,"2,190"
291,335,Archie Mysteries,29,$2.19,Archie,"2,132"
292,291,Jungle Fantasy,3,$3.50,Avatar,"2,102"
293,330,Jughead with Archie Digest,185,$2.39,Archie,"2,073"
294,246,Planetary Reader,,$5.95,DC,"2,059"
295,265,Kitsune Tales,1,$4.95,Slave Labor,"1,986"
296,316,Invincible Ed,3,$2.99,Dark Horse,"1,913"
297,302,Laugh Digest,185,$2.39,Archie,"1,869"
298,337,Demonslayer Lords of Night,1,$3.50,Avatar,"1,869"
299,339,Laugh Digest,186,$2.39,Archie,"1,840"
300,320,Zen,2,$2.95,Zen,"1,825"
