Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,2,Justice League of America,4,$2.99,DC,"136,698"
2,4,Justice League of America,5,$2.99,DC,"132,450"
3,5,New Avengers,26,$2.99,Marvel,"122,661"
4,6,Astonishing X-Men,19,$2.99,Marvel,"121,291"
5,10,New Avengers Illuminati,1,$2.99,Marvel,"103,944"
6,1,Justice Society of America,1,$3.99,DC,"102,982"
7,3,Iron Man Captain America Casualties of War One Shot,0,$3.99,Marvel,"100,650"
8,15,52,31,$2.50,DC,"100,588"
9,16,52,32,$2.50,DC,"99,626"
10,17,52,33,$2.50,DC,"99,434"
11,7,Justice,9,$3.50,DC,"98,880"
12,18,52,34,$2.50,DC,"98,372"
13,11,Civil War Front Line,9,$2.99,Marvel,"97,941"
14,12,Uncanny X-Men,481,$2.99,Marvel,"85,989"
15,13,Fantastic Four,541,$2.99,Marvel,"84,888"
16,8,Civil War War Crimes One Shot,0,$3.99,Marvel,"84,765"
17,14,Wolverine Origins,9,$2.99,Marvel,"84,727"
18,19,Superman Batman,31,$2.99,DC,"81,710"
19,9,Wolverine,49,$3.99,Marvel,"78,800"
20,21,X-Men,194,$2.99,Marvel,"78,108"
21,22,Batman,660,$2.99,DC,"76,961"
22,23,Ultimate Spider-Man,103,$2.99,Marvel,"76,245"
23,24,Batman,661,$2.99,DC,"75,507"
24,25,Iron Man,14,$2.99,Marvel,"73,382"
25,26,Ultimate Power,3,$2.99,Marvel,"70,142"
26,27,Ultimate X-Men,77,$2.99,Marvel,"67,333"
27,29,Batman Confidential,1,$2.99,DC,"61,115"
28,30,Teen Titans,42,$2.99,DC,"60,161"
29,31,Supergirl,12,$2.99,DC,"59,814"
30,32,Detective Comics,826,$2.99,DC,"59,653"
31,20,Winter Soldier Winter Kills One Shot,0,$3.99,Marvel,"59,114"
32,33,X-23 Target X,1,$2.99,Marvel,"58,121"
33,34,Supergirl,13,$2.99,DC,"56,643"
34,35,Ultimate Fantastic Four,37,$2.99,Marvel,"55,043"
35,36,Detective Comics,827,$2.99,DC,"55,027"
36,37,Black Panther,23,$2.99,Marvel,"54,758"
37,38,Flash Fastest Man Alive,7,$2.99,DC,"53,596"
38,39,Ultimate Vision,1,$2.99,Marvel,"53,065"
39,40,Onslaught Reborn,2,$2.99,Marvel,"52,903"
40,41,Sensational Spider-Man,33,$2.99,Marvel,"48,439"
41,42,Daredevil,92,$2.99,Marvel,"48,031"
42,43,Incredible Hulk,101,$2.99,Marvel,"47,924"
43,44,X-Men Phoenix Warsong,4,$2.99,Marvel,"46,939"
44,28,Spider-Man Reign,1,$3.99,Marvel,"46,823"
45,45,Superman Confidential,2,$2.99,DC,"46,762"
46,46,Ghost Rider,6,$2.99,Marvel,"46,669"
47,48,Newuniversal,1,$2.99,Marvel,"43,160"
48,49,Friendly Neighborhood Spider-Man,15,$2.99,Marvel,"42,144"
49,52,X-Factor,14,$2.99,Marvel,"40,204"
50,55,Green Lantern Corps,7,$2.99,DC,"38,735"
51,56,Annihilation,5,$2.99,Marvel,"38,234"
52,57,New X-Men,33,$2.99,Marvel,"38,073"
53,58,Trials of Shazam,4,$2.99,DC,"38,026"
54,59,Fantastic Four End,3,$2.99,Marvel,"36,741"
55,61,Ion,9,$2.99,DC,"35,564"
56,62,Secret Six,6,$2.99,DC,"35,510"
57,63,Nightwing,127,$2.99,DC,"34,886"
58,64,Spirit,1,$2.99,DC,"34,556"
59,65,Ms Marvel,10,$2.99,Marvel,"34,348"
60,66,Outsiders,43,$2.99,DC,"34,240"
61,68,Supergirl & Legion of Super-Heroes,25,$2.99,DC,"33,286"
62,69,Immortal Iron Fist,2,$2.99,Marvel,"33,216"
63,70,Punisher,42,$2.99,Marvel,"33,001"
64,71,Green Arrow,69,$2.99,DC,"32,231"
65,50,Cyberforce X-Men,1,$3.99,Image,"31,346"
66,73,Heroes For Hire,5,$2.99,Marvel,"31,315"
67,74,New Excalibur,14,$2.99,Marvel,"31,315"
68,75,What If X-Men Age of Apocalypse,0,$2.99,Marvel,"31,169"
69,76,Anita Blake VH Guilty Pleasures,3,$2.99,Marvel,"30,607"
70,77,Robin,157,$2.99,DC,"30,554"
71,78,Midnighter,2,$2.99,DC,"30,461"
72,80,Gen 13,3,$2.99,DC,"30,230"
73,53,Exiles Annual,1,$3.99,Marvel,"30,030"
74,54,What If X-Men Deadly Genesis,0,$3.99,Marvel,"29,899"
75,81,Birds of Prey,101,$2.99,DC,"29,822"
76,82,X-Men First Class,4,$2.99,Marvel,"28,453"
77,84,Cable Deadpool,35,$2.99,Marvel,"27,783"
78,85,Thunderbolts,109,$2.99,Marvel,"27,298"
79,86,Conan,35,$2.99,Dark Horse,"27,113"
80,87,Doctor Strange Oath,3,$2.99,Marvel,"27,044"
81,88,Boys,6,$2.99,DC,"27,036"
82,60,Avengers Earths Mightiest Heroes II,3,$3.99,Marvel,"27,013"
83,79,Fables,56,$3.50,DC,"25,890"
