Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,2,Fallen Son: Death of Captain America: Captain America,0,$2.99,Marvel,"169,972"
2,1,Dark Tower Gunslinger Born,4,$3.99,Marvel,"131,710"
3,5,Justice League of America,9,$2.99,DC,"129,243"
4,6,Captain America,26,$2.99,Marvel,"126,408"
5,7,New Avengers,30,$2.99,Marvel,"126,384"
6,8,Astonishing X-Men,21,$2.99,Marvel,"120,457"
7,9,Amazing Spider-Man,540,$2.99,Marvel,"119,624"
8,10,Mighty Avengers,3,$2.99,Marvel,"115,403"
9,11,All Star Batman & Robin,5,$2.99,DC,"114,265"
10,3,World War Hulk Prologue World Breaker,0,$3.99,Marvel,"111,118"
11,12,Incredible Hulk,106,$2.99,Marvel,"110,157"
12,14,Buffy The Vampire Slayer,3,$2.99,Dark Horse,"106,600"
13,4,Ultimates 2,13,$3.99,Marvel,"105,711"
14,15,Avengers Initiative,2,$2.99,Marvel,"103,156"
15,20,52,52,$2.50,DC,"102,043"
16,16,Justice Society of America,6,$2.99,DC,"96,869"
17,17,Wolverine,54,$2.99,Marvel,"96,052"
18,18,New Avengers Illuminati,3,$2.99,Marvel,"92,792"
19,19,Countdown,51,$2.99,DC,"91,054"
20,21,Countdown,50,$2.99,DC,"83,725"
21,22,Uncanny X-Men,486,$2.99,Marvel,"81,939"
22,23,Countdown,49,$2.99,DC,"81,458"
23,13,Marvel Zombies Dead Days,0,$3.99,Marvel,"81,298"
24,24,Batman,665,$2.99,DC,"80,096"
25,25,Countdown,48,$2.99,DC,"79,784"
26,26,X-Men,199,$2.99,Marvel,"75,971"
27,28,Punisher War Journal,7,$2.99,Marvel,"72,848"
28,29,Ultimate Spider-Man,109,$2.99,Marvel,"72,455"
29,30,Fantastic Four,546,$2.99,Marvel,"72,159"
30,32,Wolverine Origins,14,$2.99,Marvel,"68,931"
31,33,Superman Batman,35,$2.99,DC,"68,138"
32,34,Marvel Zombies Army of Darkness,3,$2.99,Marvel,"67,041"
33,35,Thunderbolts,114,$2.99,Marvel,"66,288"
34,37,Teen Titans,47,$2.99,DC,"63,653"
35,38,Iron Man,17,$2.99,Marvel,"63,308"
36,39,Ultimate Power,5,$2.99,Marvel,"62,764"
37,40,Green Lantern,19,$2.99,DC,"62,419"
38,41,Ultimate X-Men,82,$2.99,Marvel,"62,043"
39,42,Teen Titans,46,$2.99,DC,"61,458"
40,44,Green Lantern,20,$2.99,DC,"60,537"
41,45,Wonder Woman,9,$2.99,DC,"58,542"
42,46,Omega Flight,2,$2.99,Marvel,"57,221"
43,47,Moon Knight,10,$2.99,Marvel,"56,716"
44,27,Action Comics,850,$3.99,DC,"56,148"
45,49,Superman,662,$2.99,DC,"55,218"
46,50,Action Comics,849,$2.99,DC,"53,592"
47,31,Silver Surfer Requiem,1,$3.99,Marvel,"52,992"
48,51,Ultimate Fantastic Four,42,$2.99,Marvel,"52,824"
49,52,Black Panther,27,$2.99,Marvel,"52,535"
50,53,Detective Comics,832,$2.99,DC,"51,710"
51,54,Supergirl,17,$2.99,DC,"50,413"
52,55,Ultimate Fantastic Four,41,$2.99,Marvel,"49,900"
53,56,Friendly Neighborhood Spider-Man,20,$2.99,Marvel,"49,892"
54,36,Sensational Spider-Man Annual,1,$3.99,Marvel,"48,458"
55,57,Flash Fastest Man Alive,12,$2.99,DC,"47,794"
56,58,Amazons Attack,2,$2.99,DC,"47,537"
57,59,Daredevil,97,$2.99,Marvel,"47,185"
58,60,Runaways,26,$2.99,Marvel,"46,119"
59,61,Nova,2,$2.99,Marvel,"44,518"
60,62,Ghost Rider,11,$2.99,Marvel,"43,612"
61,63,Ms Marvel,15,$2.99,Marvel,"42,836"
62,48,Friendly Neighborhood Spider-Man Annual,1,$3.99,Marvel,"41,930"
63,64,She-Hulk 2,18,$2.99,Marvel,"41,786"
64,65,X-23 Target X,6,$2.99,Marvel,"41,546"
65,66,New X-Men,38,$2.99,Marvel,"38,903"
66,67,X-Factor,19,$2.99,Marvel,"37,886"
67,68,Immortal Iron Fist,5,$2.99,Marvel,"36,844"
68,69,Silent War,5,$2.99,Marvel,"35,891"
69,70,Ghost Rider Trail of Tears,4,$2.99,Marvel,"35,403"
70,72,Punisher,47,$2.99,Marvel,"33,881"
71,73,Outsiders,47,$2.99,DC,"33,256"
72,74,Green Lantern Corps,12,$2.99,DC,"33,256"
73,75,Star Wars Legacy,11,$2.99,Dark Horse,"33,128"
74,76,Hellboy Darkness Calls,1,$2.99,Dark Horse,"32,311"
75,77,Star Wars Legacy,12,$2.99,Dark Horse,"32,151"
76,78,Newuniversal,6,$2.99,Marvel,"31,934"
77,79,Boys,7 (Res),$2.99,Dynamic,"31,606"
