Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,-,Uncanny X-Men,374,$1.99,Marvel,"110,737"
2,-,X-Men,94,$2.99,Marvel,"108,544"
3,-,JLA,35,$1.99,DC,"83,389"
4,-,Spawn,90,$1.95,Image,"82,737"
5,-,Avengers,22,$1.99,Marvel,"81,082"
6,-,Wolverine,144,$1.99,Marvel,"76,598"
7,-,Daredevil (resolicited),9,$2.50,Marvel,"73,707"
8,-,Earth X,8,$2.99,Marvel,"71,835"
9,-,Astonishing X-Men,3,$2.50,Marvel,"71,639"
10,-,X-Men Children of the Atom,1,$2.99,Marvel,"64,848"
11,-,Thor,17,$1.99,Marvel,"61,823"
12,-,Amazing Spider-Man,11,$1.99,Marvel,"61,135"
13,-,Peter Parker Spider-Man,11,$1.99,Marvel,"60,824"
14,-,Fantastic Four,23,$1.99,Marvel,"60,157"
15,-,Day of Judgment,1,$2.95,DC,"59,242"
16,-,Iron Man,22,$1.99,Marvel,"57,375"
17,-,Captain America,23,$1.99,Marvel,"57,292"
18,-,Avengers Forever,12,$2.99,Marvel,"57,266"
19,-,Day of Judgment,2,$2.50,DC,"55,425"
20,-,Day of Judgment,3,$2.50,DC,"54,520"
21,-,Day of Judgment,4,$2.50,DC,"54,143"
22,-,Day of Judgment,5,$2.50,DC,"54,096"
23,-,Mutant X,14,$1.99,Marvel,"52,989"
24,-,Wildcats Vol. 2,5,$2.50,DC,"52,002"
25,-,Avengers Domination Factor,1.2,$2.50,Marvel,"51,939"
26,-,Batman,571,$1.99,DC,"51,717"
27,-,Rising Stars,2,$2.50,Image,"51,619"
28,-,Fantastic Four Domination Factor,1.1,$2.50,Marvel,"51,086"
29,-,JSA,4,$2.50,DC,"49,948"
30,-,Detective Comics,738,$1.99,DC,"49,793"
31,-,Spawn The Undead,4,$1.95,Image,"49,716"
32,-,Witchblade,35,$2.50,Image,"49,442"
33,-,Hulk,8,$1.99,Marvel,"47,725"
34,-,Contest of Champions II,5,$2.50,Marvel,"47,347"
35,-,Avengers,1 1/2,$2.50,Marvel,"47,171"
36,-,Bishop The Last X-Man,2,$1.99,Marvel,"46,204"
37,-,Spawn The Dark Ages,7,$2.50,Image,"46,189"
38,-,Green Lantern,118,$1.99,DC,"46,111"
39,-,Generation X,57,$2.99,Marvel,"45,377"
40,-,Batman Legends of the Dark Knight,123,$1.99,DC,"44,849"
41,-,X-Force,96,$1.99,Marvel,"44,347"
42,-,Batman Shadow of the Bat,91,$1.99,DC,"44,311"
43,-,Nightwing,37,$1.99,DC,"44,146"
44,-,Darkness,27,$2.50,Image,"44,141"
45,-,Inhumans (resolicited),11,$2.99,Marvel,"43,872"
46,-,Astro City Vol. 2,19,$2.50,DC,"43,825"
47,-,Gambit,10,$1.99,Marvel,"43,235"
48,-,X-Men True Friends,3,$2.99,Marvel,"42,998"
49,-,Cable,73,$1.99,Marvel,"42,351"
50,-,Sin City Hell and Back,3,$2.95,Dark Horse,"42,077"
51,-,Thunderbolts,32,$1.99,Marvel,"41,958"
52,-,Cable (resolicited),72,$1.99,Marvel,"41,824"
53,-,Juggernaut The Eighth Day,,$2.99,Marvel,"41,798"
54,-,Titans,9,$2.50,DC,"41,741"
55,-,Flash/Green Lantern Brave & The Bold,2,$2.50,DC,"40,970"
56,-,Fantastic Four 1999,,$3.50,Marvel,"40,825"
57,-,JLA 80 Page Giant,2,$4.95,DC,"40,820"
58,-,Batman Day of Judgment,,$3.95,DC,"40,789"
59,-,Superman Collectors Ed,150,$3.95,DC,"40,458"
60,-,Preacher,55,$2.50,DC,"40,184"
61,-,Fantastic Five,2,$1.99,Marvel,"39,786"
62,-,Flash,154,$1.99,DC,"39,445"
63,-,X-Man,57,$1.99,Marvel,"39,212"
64,-,JLA Superpower,,$5.95,DC,"38,938"
65,-,Spider-Girl,14,$1.99,Marvel,"38,917"
66,-,Aria,7,$2.50,Image,"38,736"
