Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
1,1,Batman,56,$3.99,10/03/18,DC,"107,578"
2,12,Walking Dead,1 15th Annv,$2.99,10/10/18,Image,"106,090"
3,2,Spider-Geddon,1,$3.99,10/10/18,Marvel,"104,899"
4,4,Batman,57,$3.99,10/17/18,DC,"95,296"
5,6,Spider-Gwen Ghost-Spider,1,$3.99,10/24/18,Marvel,"88,923"
6,7,Heroes In Crisis,2,$3.99,10/31/18,DC,"88,547"
7,3,Venom,7,$3.99,10/10/18,Marvel,"87,198"
8,10,Justice League,10,$3.99,10/17/18,DC,"84,179"
9,8,Amazing Spider-Man,7,$3.99,10/10/18,Marvel,"83,013"
10,9,Amazing Spider-Man,8,$3.99,10/24/18,Marvel,"82,833"
11,11,Return of Wolverine,2,$3.99,10/24/18,Marvel,"80,211"
12,5,Venom Annual,1,$4.99,10/17/18,Marvel,"75,032"
13,15,Justice League,9,$3.99,10/03/18,DC,"72,687"
14,16,Catwoman,4,$3.99,10/10/18,DC,"72,130"
15,18,Superman,4,$3.99,10/10/18,DC,"67,197"
16,13,Infinity Wars,4,$4.99,10/10/18,Marvel,"63,612"
17,23,Detective Comics,990,$3.99,10/10/18,DC,"61,040"
18,21,Walking Dead,184,$3.99,10/03/18,Image,"60,814"
19,24,Action Comics,1004,$3.99,10/24/18,DC,"60,420"
20,14,Batman Secret Files,1,$4.99,10/31/18,DC,"58,707"
21,26,Avengers,9,$3.99,10/10/18,Marvel,"58,185"
22,25,Flash,56,$3.99,10/10/18,DC,"57,439"
23,17,X-Men Black Emma Frost,1,$4.99,10/31/18,Marvel,"55,731"
24,27,Wonder Woman,56,$3.99,10/10/18,DC,"55,178"
25,19,Justice League Aquaman Drowned Earth,1,$4.99,10/31/18,DC,"53,820"
26,31,Spider-Geddon,2,$3.99,10/24/18,Marvel,"53,603"
27,29,Justice League Dark,4,$3.99,10/17/18,DC,"53,443"
28,32,Captain America,4,$3.99,10/10/18,Marvel,"52,253"
29,35,Detective Comics,991,$3.99,10/24/18,DC,"50,318"
30,37,Thor,6,$3.99,10/17/18,Marvel,"50,076"
31,20,X-Men Black Magneto,1,$4.99,10/03/18,Marvel,"49,660"
32,22,Wonder Woman & Justice League Dark Witching Hour,1,$4.99,10/03/18,DC,"48,946"
33,39,Immortal Hulk,7,$3.99,10/10/18,Marvel,"48,902"
34,41,Justice League Odyssey,2,$3.99,10/24/18,DC,"46,662"
35,44,Star Wars,55,$3.99,10/03/18,Marvel,"45,611"
36,45,Star Wars Darth Vader,22,$3.99,10/17/18,Marvel,"45,458"
37,46,Supergirl,23,$3.99,10/10/18,DC,"44,775"
38,38,Black Panther Vs. Deadpool,1,$3.99,10/24/18,Marvel,"44,533"
39,48,Cosmic Ghost Rider,4,$3.99,09/05/18,Marvel,"44,304"
40,47,Flash,57,$3.99,10/24/18,DC,"44,251"
41,28,Justice League Dark & Wonder Woman The Witching Hour,1,$4.99,10/31/18,DC,"43,456"
42,30,X-Men Black Mystique,1,$4.99,10/17/18,Marvel,"43,039"
43,50,Wonder Woman,57,$3.99,10/24/18,DC,"42,217"
44,51,Harley Quinn,52,$3.99,10/17/18,DC,"41,301"
45,34,X-Men Black Juggernaut,1,$4.99,10/24/18,Marvel,"41,092"
46,53,Tony Stark Iron Man,4,$3.99,10/03/18,Marvel,"40,730"
47,52,Extermination,4,$3.99,10/31/18,Marvel,"40,116"
48,55,Tony Stark Iron Man,5,$3.99,10/31/18,Marvel,"39,944"
49,36,Old Man Logan,50,$4.99,10/31/18,Marvel,"39,666"
50,58,Batgirl,28,$3.99,10/24/18,DC,"37,397"
51,60,Deadpool,5,$3.99,10/03/18,Marvel,"37,189"
52,42,X-Men Black Mojo,1,$4.99,10/10/18,Marvel,"37,034"
53,61,Teen Titans,23,$3.99,10/17/18,DC,"36,902"
54,43,Superior Octopus,1,$4.99,10/03/18,Marvel,"36,778"
55,64,X-Men Red,9,$3.99,10/24/18,Marvel,"36,673"
56,63,Old Lady Harley,1,$3.99,10/24/18,DC,"36,520"
57,65,Suicide Squad,47,$3.99,10/10/18,DC,"35,715"
58,59,What If? Punisher,1,$3.99,10/10/18,Marvel,"35,633"
59,54,X-23,5,$3.99,10/10/18,Marvel,"35,518"
60,67,Aquaman,41,$3.99,10/17/18,DC,"35,121"
61,68,Nightwing,51,$3.99,10/17/18,DC,"35,026"
62,69,Titans,27,$3.99,10/10/18,DC,"34,857"
63,56,Stranger Things,2*,$3.99,10/31/18,Dark Horse,"34,771"
64,40,Batman The Maxx Arkham Dreams,1,$4.99,10/03/18,IDW,"34,699"
65,72,Shuri,1,$3.99,10/17/18,Marvel,"34,425"
66,70,Green Arrow,45,$3.99,10/03/18,DC,"34,241"
67,71,Spider-Girls,1,$3.99,10/24/18,Marvel,"33,811"
68,49,Moon Knight,200,$4.99,10/24/18,Marvel,"33,387"
69,74,Green Lanterns,56,$3.99,10/03/18,DC,"33,156"
70,76,Doctor Strange,6,$3.99,10/03/18,Marvel,"32,768"
71,78,Astonishing X-Men,16,$3.99,10/17/18,Marvel,"32,424"
72,77,Books of Magic,1,$3.99,10/24/18,DC,"32,284"
73,79,Spider-Force,1,$3.99,10/31/18,Marvel,"32,076"
74,80,Infinity Wars Arachknight,1,$3.99,10/24/18,Marvel,"32,030"
75,81,Titans,28,$3.99,10/24/18,DC,"31,493"
76,86,Black Panther,5,$3.99,10/31/18,Marvel,"31,254"
77,87,Infinity Wars Weapon Hex,1,$3.99,10/17/18,Marvel,"31,140"
78,82,Walking Dead,1 Blind Bag Var,$3.99,10/10/18,Image,"31,043"
79,83,Walking Dead,19 Blind Bag Var,$3.99,10/10/18,Image,"30,864"
80,89,Punisher,3,$3.99,10/24/18,Marvel,"30,814"
81,85,Harley Quinn,51,$3.99,10/03/18,DC,"30,709"
82,57,Typhoid Fever Spider-Man,1,$4.99,10/03/18,Marvel,"30,693"
83,91,Red Hood Outlaw,27,$3.99,10/10/18,DC,"30,343"
84,92,Hawkman,5,$3.99,10/10/18,DC,"30,171"
85,93,What If? Spider-Man,1,$3.99,10/03/18,Marvel,"29,686"
86,62,Nightwing,50,$4.99,10/03/18,DC,"29,450"
87,66,Vault of Spiders,1,$4.99,10/31/18,Marvel,"28,818"
88,98,Old Man Logan,49,$3.99,10/17/18,Marvel,"28,556"
89,215,Curse of Brimstone,7,$2.99,10/03/18,DC,"28,525"
90,96,Lucifer,1,$3.99,10/17/18,DC,"28,216"
91,101,What If? Thor,1,$3.99,10/24/18,Marvel,"27,670"
92,103,Life of Captain Marvel,4,$3.99,10/17/18,Marvel,"27,418"
93,73,Avengers Halloween Special,1,$4.99,10/31/18,Marvel,"27,378"
94,102,Deathstroke,36,$3.99,10/03/18,DC,"27,299"
95,105,What If? X-Men,1,$3.99,10/03/18,Marvel,"27,225"
96,107,Daredevil,609,$3.99,10/17/18,Marvel,"26,523"
97,94,Magic Order,4*,$3.99,10/03/18,Image,"26,522"
98,109,What If? Ghost Rider,1,$3.99,10/17/18,Marvel,"25,917"
99,108,Oblivion Song By Kirkman & De Felici,8,$3.99,10/10/18,Image,"25,754"
100,111,Peter Parker Spectacular Spider-Man,311,$3.99,10/17/18,Marvel,"25,555"
101,141,Terrifics,9,$2.99,10/24/18,DC,"25,545"
102,142,Batman Blank Comic,1,$2.99,10/03/18,DC,"25,407"
103,97,Star Wars Solo Adaptation,1,$4.99,10/10/18,Marvel,"25,270"
104,112,Death of Inhumans,4,$3.99,10/03/18,Marvel,"25,245"
105,84,Star Wars Doctor Aphra,25,$4.99,10/24/18,Marvel,"25,144"
106,114,Asgardians of the Galaxy,2,$3.99,10/03/18,Marvel,"24,771"
107,88,Marvel Zombie,1,$4.99,10/17/18,Marvel,"24,706"
108,113,Green Lanterns,57,$3.99,10/17/18,DC,"24,512"
109,90,Batman Beyond,25,$4.99,10/24/18,DC,"24,219"
110,104,Umbrella Academy Hotel Oblivion,1*,$3.99,10/03/18,Dark Horse,"24,105"
111,75,Batman The Maxx Arkham Dreams,2,$4.99,10/31/18,IDW,"23,991"
112,116,Adventures of the Super Sons,3,$3.99,10/03/18,DC,"23,839"
113,148,Spawn,290,$2.99,10/03/18,Image,"23,833"
114,115,Batman Kings of Fear,3,$3.99,10/24/18,DC,"23,794"
115,118,What If? Magik,1,$3.99,10/31/18,Marvel,"23,668"
116,117,Die Die Die,3,$3.99,10/03/18,Image,"23,582"
117,121,Shatterstar,1,$3.99,10/03/18,Marvel,"23,210"
118,110,Blackbird,1*,$3.99,10/03/18,Image,"23,053"
119,122,Infinity Wars Iron Hammer,2,$3.99,10/31/18,Marvel,"22,909"
120,123,Infinity Wars Soldier Supreme,2,$3.99,10/24/18,Marvel,"22,812"
121,124,Marvel Two-In-One,11,$3.99,10/31/18,Marvel,"22,650"
122,95,Superman Top Cat Special,1,$4.99,10/31/18,DC,"22,603"
123,125,Daredevil,610,$3.99,10/31/18,Marvel,"22,466"
124,126,Old Man Hawkeye,10,$3.99,10/31/18,Marvel,"22,381"
125,99,Deathstroke Yogi Bear Special,1,$4.99,10/31/18,DC,"22,224"
126,128,West Coast Avengers,3,$3.99,10/31/18,Marvel,"21,616"
127,127,Dreaming,2,$3.99,10/03/18,DC,"21,559"
128,129,Mr and Mrs X,4,$3.99,10/17/18,Marvel,"21,471"
129,131,Domino,7,$3.99,10/10/18,Marvel,"21,369"
130,106,Green Lantern Huckleberry Hound Special,1,$4.99,10/31/18,DC,"21,295"
131,158,Nightwing Magilla Gorilla Special,1,$4.99,10/31/18,DC,"21,227"
132,133,Weapon H,8,$3.99,10/03/18,Marvel,"20,939"
133,130,Walking Dead,100 Blind Bag Var,$3.99,10/10/18,Image,"20,914"
134,135,Weapon H,9,$3.99,10/17/18,Marvel,"20,904"
135,33,Cursed Comics Cavalcade,1,$9.99,10/10/18,DC,"20,275"
136,174,Wonder Woman Blank Comic,1,$2.99,10/03/18,DC,"20,103"
137,137,Spider-Man Deadpool,40,$3.99,10/10/18,Marvel,"19,821"
138,136,Paper Girls,25,$3.99,10/03/18,Image,"19,741"
139,138,Infinity Wars Sleepwalker,1,$3.99,10/03/18,Marvel,"19,633"
140,139,Weapon X,24,$3.99,10/03/18,Marvel,"19,558"
141,177,Superman Blank Comic,1,$2.99,10/03/18,DC,"19,463"
142,132,Dead Rabbit,1*,$3.99,10/03/18,Image,"19,031"
143,140,Walking Dead,2 Blind Bag Var,$3.99,10/10/18,Image,"19,011"
144,134,Star Wars Tales From Vaders Castle,1,$3.99,10/03/18,IDW,"18,786"
145,120,Champions,25,$4.99,10/03/18,Marvel,"18,784"
146,144,Gideon Falls,7,$3.99,10/17/18,Image,"18,624"
147,119,Terrifics Annual,1,$4.99,10/31/18,DC,"18,624"
148,147,Walking Dead,27 Blind Bag Var,$3.99,10/10/18,Image,"17,944"
149,151,Infinity Wars Sleepwalker,2,$3.99,10/24/18,Marvel,"17,724"
150,187,Sideways,9,$2.99,10/17/18,DC,"17,305"
151,156,Unstoppable Wasp,1,$3.99,10/17/18,Marvel,"17,293"
152,189,Damage,10,$2.99,10/17/18,DC,"17,230"
153,154,Die Die Die,4,$3.99,10/24/18,Image,"17,171"
154,155,Hex Wives,1,$3.99,10/31/18,DC,"17,158"
155,143,Star Wars Tales From Vaders Castle,2,$3.99,10/10/18,IDW,"17,062"
156,157,Walking Dead,7 Blind Bag Var,$3.99,10/10/18,Image,"16,852"
157,339,True Believers What If Silver Surfer Possessed Gauntlet,1,$1.00,10/24/18,Marvel,"16,837"
158,159,Walking Dead,53 Blind Bag Var,$3.99,10/10/18,Image,"16,766"
159,162,House of Whispers,2,$3.99,10/10/18,DC,"16,763"
160,145,Mighty Morphin Power Rangers,32,$3.99,10/24/18,Boom,"16,735"
161,160,Walking Dead,108 Blind Bag Var,$3.99,10/10/18,Image,"16,662"
162,146,Star Wars Tales From Vaders Castle,3,$3.99,10/17/18,IDW,"16,658"
163,161,Walking Dead,48 Blind Bag Var,$3.99,10/10/18,Image,"16,637"
164,165,Plastic Man,5,$3.99,10/10/18,DC,"16,495"
165,149,Star Wars Tales From Vaders Castle,4,$3.99,10/24/18,IDW,"16,429"
166,164,Walking Dead,167 Blind Bag Var,$3.99,10/10/18,Image,"16,361"
167,150,Star Wars Tales From Vaders Castle,5,$3.99,10/31/18,IDW,"16,265"
168,172,Sentry,5,$3.99,10/24/18,Marvel,"16,185"
169,166,Walking Dead,127 Blind Bag Var,$3.99,10/10/18,Image,"16,168"
170,348,True Believers What If Alien Costume Possessed Spider-Man,1,$1.00,10/17/18,Marvel,"16,135"
171,167,Hit-Girl,9,$3.99,10/17/18,Image,"16,132"
172,168,Walking Dead,92 Blind Bag Var,$3.99,10/10/18,Image,"16,082"
173,171,Injustice Vs. The Masters of the Universe,4,$3.99,10/31/18,DC,"15,927"
174,170,Walking Dead,171 Blind Bag Var,$3.99,10/10/18,Image,"15,847"
175,353,True Believers What If Spider-Man Rescued Gwen Stacy,1,$1.00,10/10/18,Marvel,"15,759"
176,205,Silencer,10,$2.99,10/24/18,DC,"15,439"
177,153,Kick-Ass,8*,$3.99,10/10/18,Image,"15,400"
178,173,Cover,2,$3.99,10/17/18,DC,"15,350"
179,175,Murder Falcon,1,$3.99,10/10/18,Image,"14,864"
180,176,Walking Dead,132 Blind Bag Var,$3.99,10/10/18,Image,"14,859"
181,169,Archie Meets Batman 66,4,$3.99,10/31/18,Archie,"14,622"
182,367,True Believers What If Jane Foster Found Hammer of Thor,1,$1.00,10/03/18,Marvel,"14,594"
183,179,Exorsisters,1,$3.99,10/17/18,Image,"13,982"
184,180,Unnatural,4,$3.99,10/10/18,Image,"13,869"
185,217,Unexpected,5,$2.99,10/03/18,DC,"13,825"
186,377,True Believers What If Kraven Hunter Killed Spider-Man,1,$1.00,10/24/18,Marvel,"13,793"
187,181,Pearl,3,$3.99,10/17/18,DC,"13,760"
188,100,Wytches Bad Egg Halloween Spec,,$7.99,10/31/18,Image,"13,725"
189,182,Walking Dead,98 Blind Bag Var,$3.99,10/10/18,Image,"13,540"
190,183,Doom Patrol,12,$3.99,10/31/18,DC,"13,448"
191,392,True Believers What If Dr Doom Had Become a Hero,1,$1.00,10/10/18,Marvel,"13,021"
192,190,Wild Storm,18,$3.99,10/31/18,DC,"13,021"
193,191,Ms. Marvel,35,$3.99,10/10/18,Marvel,"13,019"
194,192,Iceman,2,$3.99,10/10/18,Marvel,"12,941"
195,193,Cemetery Beach,2,$3.99,10/17/18,Image,"12,785"
196,396,True Believers What If FF Had Not Gained Their Powers,1,$1.00,10/17/18,Marvel,"12,752"
197,194,Ben Reilly Scarlet Spider,25,$3.99,10/10/18,Marvel,"12,660"
198,400,True Believers What If Avengers Fought Evil During 1950S,1,$1.00,10/03/18,Marvel,"12,239"
199,197,Multiple Man,5,$3.99,10/31/18,Marvel,"12,229"
200,402,True Believers What If The FF Had Different Super-Powers,1,$1.00,10/31/18,Marvel,"12,184"
201,195,Neil Gaiman American Gods My Ainsel,7,$3.99,10/17/18,Dark Horse,"12,167"
202,185,Go Go Power Rangers,13,$3.99,10/10/18,Boom,"11,912"
203,186,Sonic The Hedgehog,10,$3.99,10/31/18,IDW,"11,886"
204,202,Exiles,9,$3.99,10/10/18,Marvel,"11,884"
205,199,Jook Joint,1,$3.99,10/03/18,Image,"11,863"
206,201,East of West,39,$3.99,10/17/18,Image,"11,783"
207,203,Scarlet,3,$3.99,10/24/18,DC,"11,710"
208,200,Farmhand,4,$3.99,10/10/18,Image,"11,708"
209,188,Rick & Morty,43,$3.99,10/31/18,Oni,"11,683"
210,204,Raven Daughter of Darkness,9,$3.99,10/24/18,DC,"11,499"
211,207,Scooby Apocalypse,30,$3.99,10/10/18,DC,"11,337"
212,415,True Believers What If Legion Killed Magneto,1,$1.00,10/31/18,Marvel,"11,276"
213,233,New Challengers,6,$2.99,10/17/18,DC,"11,238"
214,208,Bully Wars,2,$3.99,10/10/18,Image,"11,229"
215,184,Lady Mechanika Dame Sans Merci,3,$3.99,10/31/18,Benitez,"11,105"
216,196,Kiss Blood Stardust,1,$3.99,10/24/18,Dynamite,"10,991"
217,213,Runaways,14,$3.99,10/17/18,Marvel,"10,849"
218,211,Black Hammer Age of Doom,6,$3.99,10/17/18,Dark Horse,"10,789"
219,214,Aliens Dust to Dust,3,$3.99,10/24/18,Dark Horse,"10,532"
220,219,Infinite Dark,1,$3.99,10/10/18,Image,"10,229"
221,206,Mystery Science Theater 3000,2*,$3.99,10/24/18,Dark Horse,"10,214"
222,209,Vampirella Dejah Thoris,2,$3.99,10/24/18,Dynamite,"10,195"
223,210,TMNT Ongoing,87,$3.99,10/17/18,IDW,"9,968"
224,222,United States Vs. Murder Inc,2,$3.99,10/03/18,DC,"9,750"
225,212,Mars Attacks,1,$3.99,10/24/18,Dynamite,"9,719"
226,216,Star Wars Adventures,15,$3.99,10/31/18,IDW,"9,709"
227,256,Injustice 2,35,$2.99,10/03/18,DC,"9,594"
228,261,Injustice 2,36,$2.99,10/17/18,DC,"9,420"
229,218,Vampironica,4,$3.99,10/24/18,Archie,"9,344"
230,220,Simpsons Comics,245,$3.99,10/17/18,Bongo,"8,899"
231,221,Jim Henson Labyrinth Coronation,8,$3.99,10/24/18,Boom,"8,885"
232,227,Border Town,2,$3.99,10/03/18,DC,"8,847"
233,430,Archie,699,$1.00,10/03/18,Archie,"8,827"
234,230,Unbeatable Squirrel Girl,37,$3.99,10/10/18,Marvel,"8,682"
235,223,Rainbow Brite,1,$3.99,10/03/18,Dynamite,"8,532"
236,231,Quantum Age From The World of Black Hammer,3,$3.99,10/10/18,Dark Horse,"8,529"
237,236,Marvel Super-Heroes Captain Marvel Halloween Spooktacular,1,$3.99,10/24/18,Marvel,"8,351"
238,178,Batman Damned,1,$6.99,09/19/18,DC,"8,312"
239,224,My Little Pony Friendship Is Magic,71,$3.99,10/03/18,IDW,"8,296"
240,229,My Little Pony Nightmare Knights,1,$3.99,10/10/18,IDW,"8,242"
241,225,Red Sonja,22,$3.99,10/17/18,Dynamite,"8,209"
242,228,Jim Henson Beneath Dark Crystal,3,$3.99,10/03/18,Boom,"7,929"
243,152,TMNT Macroseries,1,$7.99,10/03/18,IDW,"7,906"
244,243,Errand Boys,1,$3.99,10/03/18,Image,"7,861"
245,244,X-O Manowar,20,$3.99,10/24/18,Valiant,"7,781"
246,198,Transformers Unicron,5*,$4.99,10/10/18,IDW,"7,772"
247,245,Rat Queens,12,$3.99,10/24/18,Image,"7,747"
248,232,James Bond Origin,2,$3.99,10/03/18,Dynamite,"7,682"
249,247,Weatherman,5,$3.99,10/10/18,Image,"7,624"
250,163,TMNT Macroseries,2,$7.99,10/24/18,IDW,"7,587"
251,246,Predator Hunters II,3,$3.99,10/24/18,Dark Horse,"7,531"
252,238,Vampirella Roses For Dead,2,$3.99,10/24/18,Dynamite,"7,510"
253,252,Ice Cream Man,8,$3.99,10/31/18,Image,"7,303"
254,251,Redneck,16,$3.99,10/24/18,Image,"7,281"
255,241,Archie 1941,2,$3.99,10/17/18,Archie,"7,237"
256,242,Sparrowhawk,1,$3.99,10/03/18,Boom,"7,123"
257,263,Moon Girl and Devil Dinosaur,36,$3.99,10/24/18,Marvel,"7,110"
258,234,Robotech,13,$3.99,10/10/18,Titan,"6,956"
259,248,Invader Zim,36,$3.99,10/31/18,Oni,"6,873"
260,249,Star Trek TNG Terra Incognita,4,$3.99,10/24/18,IDW,"6,834"
261,265,Cold Spots,3,$3.99,10/24/18,Image,"6,823"
262,250,Red Sonja Tarzan,5,$3.99,10/10/18,Dynamite,"6,810"
263,266,Realm,10,$3.99,10/31/18,Image,"6,797"
264,253,Walk Through Hell,5,$3.99,10/03/18,Aftershock,"6,608"
265,255,Lone Ranger Vol. 3,1,$3.99,10/03/18,Dynamite,"6,568"
266,258,TMNT Urban Legends,6,$3.99,10/24/18,IDW,"6,526"
267,259,Jughead The Hunger,9,$3.99,10/10/18,Archie,"6,494"
268,271,Heroes In Crisis,1,$3.99,09/26/18,DC,"6,379"
269,311,Scooby Doo Team Up,43,$2.99,10/24/18,DC,"6,281"
270,264,Adventure Time Season 11,1,$3.99,10/10/18,Boom,"6,262"
271,280,Wildstorm Michael Cray,12,$3.99,10/10/18,DC,"6,128"
272,267,Project Superpowers,3,$3.99,10/10/18,Dynamite,"6,088"
273,235,Red Sonja Halloween Special One Shot,,$4.99,10/24/18,Dynamite,"6,080"
274,240,Vampirella Halloween Special One Shot,,$4.99,10/24/18,Dynamite,"5,933"
275,269,Rise of the TMNT,1,$3.99,10/17/18,IDW,"5,923"
276,281,Shadowman,8,$3.99,10/24/18,Valiant,"5,857"
277,286,Man-Eaters,2,$3.99,10/31/18,Image,"5,829"
278,273,Strangers In Paradise XXV,7,$3.99,10/17/18,Abstract,"5,793"
279,276,Ninja-K,12,$3.99,10/10/18,Valiant,"5,719"
280,290,Crowded,3,$3.99,10/10/18,Image,"5,683"
281,295,Venom,4,$3.99,07/25/18,Marvel,"5,617"
282,292,Skyward,7,$3.99,10/17/18,Image,"5,596"
283,293,Whispering Dark,1,$3.99,10/24/18,Dark Horse,"5,525"
284,282,Bone Parish,4,$3.99,10/31/18,Boom,"5,474"
285,268,Dead Kings,1*,$3.99,10/24/18,Aftershock,"5,472"
286,283,Ducktales,13,$3.99,10/03/18,IDW,"5,347"
287,270,Spookhouse 2,1,$3.99,10/03/18,Albatross,"5,338"
288,287,Lodger,1,$3.99,10/24/18,IDW,"5,302"
289,299,New World,4,$3.99,10/17/18,Image,"5,285"
290,254,Bettie Page Halloween Special One Shot,,$4.99,10/24/18,Dynamite,"5,275"
291,275,Tank Girl All Stars,4,$3.99,10/03/18,Titan,"5,234"
292,274,Optimus Prime,24*,$3.99,10/17/18,IDW,"5,196"
293,291,Britannia Lost Eagles of Rome,4,$3.99,10/31/18,Valiant,"5,160"
