Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Walking Dead,115,$2.99,Image,"310,584"
2,2,Batman,24,$6.99,DC,"124,652"
3,5,Infinity,4,$3.99,Marvel,"113,003"
4,4,Forever Evil,2,$3.99,DC,"112,944"
5,6,Infinity,5,$3.99,Marvel,"106,567"
6,7,Justice League,24,$3.99,DC,"98,491"
7,8,Superman Wonder Woman,1,$3.99,DC,"94,859"
8,3,Sandman Overture,1*,$4.99,DC,"93,301"
9,9,Superior Spider-Man,20,$3.99,Marvel,"85,309"
10,11,Superior Spider-Man,19,$3.99,Marvel,"83,671"
11,10,Batman Superman,4,$3.99,DC,"82,990"
12,12,All New X-Men,17,$3.99,Marvel,"82,843"
13,13,Justice League of America,8,$3.99,DC,"77,305"
14,14,Uncanny X-Men,13,$3.99,Marvel,"75,202"
15,15,X-Men Battle of Atom,2,$3.99,Marvel,"73,894"
16,16,X-Men,6,$3.99,Marvel,"71,990"
17,17,Avengers,21,$3.99,Marvel,"71,751"
18,19,Avengers,22,$3.99,Marvel,"70,735"
19,20,Guardians of Galaxy,7,$3.99,Marvel,"68,647"
20,22,Guardians of Galaxy,8,$3.99,Marvel,"63,494"
21,21,Damian Son of Batman,1,$3.99,DC,"63,453"
22,23,New Avengers,11,$3.99,Marvel,"63,231"
23,26,Uncanny Avengers,13,$3.99,Marvel,"60,597"
24,27,Detective Comics,24,$3.99,DC,"59,310"
25,29,Wolverine and X-Men,37,$3.99,Marvel,"57,434"
26,40,Green Lantern,24,$2.99,DC,"57,109"
27,18,All New X-Men Special,1,$4.99,Marvel,"56,925"
28,28,The Star Wars,2,$3.99,Dark Horse,"56,165"
29,30,Mighty Avengers,2,$3.99,Marvel,"54,862"
30,41,Saga,15,$2.99,Image,"54,816"
31,47,Batman and Two Face,24,$2.99,DC,"52,060"
32,48,Forever Evil Arkham War,1,$2.99,DC,"52,004"
33,25,Green Lantern Annual,2,$4.99,DC,"47,861"
34,57,Deadpool,18,$2.99,Marvel,"47,096"
35,34,Thor God of Thunder,14,$3.99,Marvel,"46,008"
36,39,Pretty Deadly,1*,$3.50,Image,"45,833"
37,35,Justice League Dark,24,$3.99,DC,"45,401"
38,63,Batman The Dark Knight,24,$2.99,DC,"43,382"
39,31,Indestructible Hulk Special,1,$4.99,Marvel,"42,970"
40,67,Aquaman,24,$2.99,DC,"42,248"
