Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,New Avengers,5,$2.25,Marvel,"162,384"
2,3,Superman Batman,18,$2.95,DC,"115,285"
3,4,Green Lantern Rebirth,5,$2.95,DC,"114,986"
4,2,Superman Batman,19,$2.99,DC,"114,238"
5,5,Superman,215,$2.99,DC,"112,574"
6,6,Ultimates 2,5,$2.99,Marvel,"103,454"
7,10,Wolverine,27,$2.25,Marvel,"101,210"
8,12,Uncanny X-Men,458,$2.25,Marvel,"85,284"
9,13,Ultimate Spider-Man,75,$2.25,Marvel,"83,925"
10,15,X-Men,169,$2.25,Marvel,"82,778"
11,16,Ultimate X-Men,58,$2.25,Marvel,"82,591"
12,17,Ultimate Spider-Man,76,$2.25,Marvel,"82,230"
13,7,X-Men Age ofApocalypse,6,$2.99,Marvel,"80,061"
14,20,Amazing Spider-Man,519,$2.25,Marvel,"78,521"
15,8,X-Men Phoenix Endsong,5,$2.99,Marvel,"78,060"
16,9,Ultimate Secret,2,$2.99,Marvel,"76,315"
17,25,Ultimate Fantastic Four,17,$2.25,Marvel,"72,194"
18,11,Young Avengers,3,$2.99,Marvel,"72,063"
19,21,Teen Titans,23,$2.50,DC,"66,790"
20,23,Omac Project,1,$2.50,DC,"65,325"
21,26,Day of Vengeance,1,$2.50,DC,"64,845"
22,30,JLA Classified,113,$2.25,DC,"63,991"
23,14,X-Men The End Heroes & Martyrs,2,$2.99,Marvel,"62,994"
24,32,Batman,639,$2.25,DC,"62,333"
25,18,Marvel Knights Spider-Man,13,$2.99,Marvel,"60,532"
26,22,Supreme Power,16,$2.99,Marvel,"55,059"
27,35,Action Comics,826,$2.50,DC,"54,760"
28,24,X-23,5,$2.99,Marvel,"54,604"
29,19,X-Men Fantastic Four,5,$3.50,Marvel,"51,574"
30,27,Iron Man,3,$2.99,Marvel,"51,381"
31,44,Adventures ofSuperman,639,$2.50,DC,"49,287"
32,28,Daredevil,72,$2.99,Marvel,"48,794"
33,29,Incredible Hulk,80,$2.99,Marvel,"48,395"
34,31,JLA Classified,6,$2.99,DC,"48,078"
35,55,Flash,221,$2.25,DC,"46,463"
36,33,Captain America,5,$2.99,Marvel,"46,002"
37,34,Spectacular Spider-Man,27,$2.99,Marvel,"45,802"
38,36,Fantastic Four,525,$2.99,Marvel,"45,553"
39,38,Black Panther,3,$2.99,Marvel,"44,917"
40,39,Seven Soldiers Zatanna,1,$2.99,DC,"43,639"
41,51,JSA,72,$2.50,DC,"43,465"
42,41,Spider-Man Breakout,1,$2.99,Marvel,"42,966"
43,42,Toxin,1,$2.99,Marvel,"42,131"
44,43,Legion of Super Heroes,5,$2.99,DC,"41,657"
45,45,Lex Luthor Man of Steel,2,$2.99,DC,"40,654"
46,46,Detective Comics,805,$2.99,DC,"39,070"
47,47,Punisher,19,$2.99,Marvel,"38,746"
48,37,Shanna The She Devil,3,$3.50,Marvel,"38,672"
49,48,Punisher,20,$2.99,Marvel,"38,123"
50,49,Seven Soldiers Klarion The Witch Boy,1,$2.99,DC,"38,117"
51,50,Conan,15,$2.99,Dark Horse,"38,079"
52,68,Nightwing,107,$2.25,DC,"38,054"
53,40,Strange,5,$3.50,Marvel,"36,964"
54,52,New X-Men,12,$2.99,Marvel,"35,773"
55,53,GLA,1,$2.99,Marvel,"35,143"
56,84,DC Countdown To Infinite Crisis,1 2nd Ptg,$1.99,DC,"35,125"
57,57,Exiles,62,$2.99,Marvel,"33,959"
58,58,Exiles,63,$2.99,Marvel,"33,722"
59,59,Space Ghost,6,$2.99,DC,"33,610"
60,60,Wolverine Soultaker,3,$2.99,Marvel,"33,124"
61,73,Batman Gotham Knights,64,$2.50,DC,"31,740"
62,61,Hunter Killer,2,$2.99,Image,"31,709"
63,62,Conan & The Jewels of Gwahlur,1,$2.99,Dark Horse,"31,622"
64,75,Green Arrow,49,$2.50,DC,"31,397"
65,85,Robin,137,$2.25,DC,"30,793"
66,64,Batman Jekyll & Hyde,1,$2.99,DC,"30,631"
67,54,Catwoman When I/Rome,5,$3.50,DC,"29,939"
68,79,Birds of Prey,81,$2.50,DC,"29,826"
69,80,Justice League Elite,10,$2.50,DC,"29,403"
70,65,Runaways,3,$2.99,Marvel,"29,259"
71,66,Marvel Knights 4,17,$2.99,Marvel,"29,184"
72,89,Wonder Woman,215,$2.25,DC,"28,972"
73,67,New Thunderbolts,7,$2.99,Marvel,"28,717"
74,69,Powers,10,$2.95,Marvel,"28,355"
75,82,Spawn,145,$2.50,Image,"28,156"
76,83,Batgirl,63,$2.50,DC,"28,119"
77,70,Star Wars: Episode III Revenge of the Sith,2,$2.99,Dark Horse,"27,657"
78,71,Y The Last Man,32,$2.99,DC,"26,909"
79,72,Star Wars: Episode III Revenge of the Sith,3,$2.99,Dark Horse,"26,685"
80,74,Star Wars: Episode III Revenge of the Sith,4,$2.99,Dark Horse,"26,298"
81,76,Hercules,1,$2.99,Marvel,"26,217"
82,91,Batman Legends of the Dark Knight,190,$2.50,DC,"25,931"
83,77,X-Men Unlimited,8,$2.99,Marvel,"25,681"
84,56,Off Handbk Marvel Universe Spider-Man 2005,,$3.99,Marvel,"25,525"
85,78,Cable Deadpool,14,$2.99,Marvel,"24,989"
86,94,Fables,36,$2.50,DC,"24,971"
87,102,Marvel Team-Up,7,$2.25,Marvel,"24,796"
88,81,Stormbreaker Saga of Beta Ray Bill,4,$2.99,Marvel,"24,260"
89,86,Adam Strange,7,$2.99,DC,"23,151"
90,125,Fathom Beginnings,1,$1.99,Aspen,"22,103"
91,88,Ex Machina,10,$2.99,DC,"22,097"
92,90,Amazing Fantasy,7,$2.99,Marvel,"21,798"
93,92,Street Fighter,14*,$2.95,Devil's Due,"21,580"
94,111,Catwoman,42,$2.50,DC,"21,025"
95,93,X-Force Shatterstar,3,$2.99,Marvel,"20,944"
96,63,G.I. Joe,42,$4.50,Devil's Due,"20,857"
97,95,Sw General Grievous,2,$2.99,Dark Horse,"20,850"
98,96,Gambit,9,$2.99,Marvel,"20,533"
99,97,District X,12,$2.99,Marvel,"20,215"
100,98,Star Wars Republic,75,$2.99,Dark Horse,"19,797"
101,999,Spider-Girl,85,$2.99,Marvel,"19,679"
102,999,Hawkman,39,$2.50,DC,"19,616"
103,999,Authority Revolution,7,$2.99,DC,"19,579"
104,999,Aquaman,29,$2.50,DC,"19,043"
105,999,Firestorm,12,$2.50,DC,"18,980"
106,999,Blood of the Demon,2,$2.50,DC,"18,401"
107,999,Star Wars Empire,30,$2.99,Dark Horse,"17,790"
108,999,Fantastic Four Foes,4,$2.99,Marvel,"17,734"
109,999,G.I. Joe Master & Apprentice Vol. II,3*,$2.95,Devil's Due,"17,291"
110,999,Majestic,4,$2.99,DC,"16,998"
111,999,Batman,638,$2.25,DC,"16,574"
112,999,Gotham Central,30,$2.50,DC,"16,462"
113,999,Witchblade,84,$2.99,Image,"16,263"
114,999,Doom Patrol,11,$2.50,DC,"16,244"
115,999,New Invaders,9,$2.99,Marvel,"16,107"
116,999,DC Countdown To Infinite Crisis,1,$1.00,DC,"15,639"
117,999,Walking Dead,17,$2.95,Image,"15,614"
118,999,Walking Dead,18,$2.95,Image,"15,540"
119,999,Hellblazer,207,$2.75,DC,"15,365"
120,999,Otherworld,2,$2.99,DC,"15,141"
121,999,100 Bullets,60,$2.50,DC,"14,879"
122,999,Spellbinders,2,$2.99,Marvel,"14,630"
123,999,City of Tomorrow,1,$2.99,DC,"14,574"
124,999,Deadshot,5,$2.99,DC,"14,418"
125,999,Kabuki,4,$2.99,Marvel,"14,324"
126,999,Power Pack,1,$2.99,Marvel,"14,218"
127,999,Teen Titans Go,18,$2.25,DC,"14,150"
128,999,Identity Crisis Final Printing,2,$3.99,DC,"13,882"
129,999,Question,6,$2.99,DC,"13,744"
130,999,Identity Crisis Final Printing,1,$3.99,DC,"13,614"
131,999,Identity Crisis Final Printing,6,$3.99,DC,"13,614"
132,999,Manhunter,9,$2.50,DC,"13,601"
133,999,Darkstalkers,5,$2.95,Devil's Due,"13,576"
134,999,Solo,4,$4.99,DC,"13,564"
135,999,Identity Crisis Final Printing,4,$3.99,DC,"13,520"
136,999,Identity Crisis Final Printing,7,$3.99,DC,"13,370"
137,999,Identity Crisis Final Printing,5,$3.99,DC,"13,040"
138,999,Identity Crisis Final Printing,3,$3.99,DC,"12,984"
139,999,Tom Strong,32,$2.99,DC,"12,579"
140,999,Livewires,3,$2.99,Marvel,"12,579"
141,999,Books of Magick Life During Wartime,10,$2.50,DC,"12,273"
142,999,Justice League Unlimited,8,$2.25,DC,"12,143"
143,999,Swamp Thing,14,$2.99,DC,"12,055"
144,999,Simpsons Comics,105,$2.99,Bongo,"12,024"
145,999,Lucifer,61,$2.50,DC,"11,769"
146,999,Intimates,6,$2.99,DC,"11,525"
147,999,Human Race,2,$2.99,DC,"11,525"
148,999,Breach,4,$2.50,DC,"10,696"
149,999,Mnemovore,1,$2.99,DC,"10,547"
150,999,Mary Jane Homecoming,2,$2.99,Marvel,"10,534"
151,999,John Constantine Hellblazer Special Papa Midnite,3,$2.99,DC,"10,416"
152,999,Batman Strikes,8,$2.25,DC,"10,366"
153,999,Sleeper Season Two,11,$2.99,DC,"10,360"
154,999,Marvel Adventures Spider-Man,2,$2.50,Marvel,"10,304"
155,999,X-Men Phoenix Endsong,4,$2.99,Marvel,"10,285"
156,999,Invincible,22,$2.95,Image,"9,961"
157,999,Strangers in Paradise,72,$2.95,Abstract,"9,450"
158,999,Strangers in Paradise,73,$2.95,Abstract,"9,387"
159,999,Bart Simpson Comics,23,$2.99,Bongo,"9,163"
160,999,Witching,10,$2.99,DC,"9,101"
161,999,Richard Dragon,12,$2.50,DC,"9,088"
162,999,Losers,22,$2.99,DC,"9,063"
163,999,Metal Gear Solid,8,$3.99,IDW,"8,995"
164,999,Marvel Milestones Venom & Hercules,,$3.99,Marvel,"8,914"
165,999,Losers,23,$2.99,DC,"8,876"
166,999,Legend,3,$5.99,DC,"8,795"
167,999,30 Days of Night Bloodsuckers Tales,7,$3.99,IDW,"8,689"
168,999,Iron Ghost,1,$2.95,Image,"8,689"
169,999,Billy The Kids Old Time Oddities,1,$2.99,Dark Horse,"8,265"
170,999,Savage Dragon,121,$2.95,Image,"8,234"
171,999,Sonic The Hedgehog,148,$2.19,Archie,"8,010"
172,999,Green Lantern Rebirth,2,$2.99,DC,"7,923"
173,999,Jon Sable Freelance Bloodline,1,$3.99,IDW,"7,848"
174,999,Tales of the Thing,2,$2.50,Marvel,"7,711"
175,999,Megacity 909,6,$2.95,Devil's Due,"7,549"
176,999,Human Target,21,$2.99,DC,"7,312"
177,999,Trigger,5,$2.99,DC,"7,037"
178,999,Flaming Carrot Comics,2,$3.50,Image,"7,000"
179,999,Twilight Experiment,3,$2.99,DC,"6,907"
180,999,Death Jr,1,$4.99,Image,"6,857"
181,999,Sea of Red,1,$2.95,Image,"6,620"
182,999,Michael Chabon Presents Adv of the Escapist,6,$8.95,Dark Horse,"6,607"
183,999,Cal Mcdonald Supernatural Freak Machine,1,$3.99,IDW,"6,607"
184,999,Imaginaries,1,$2.95,Image,"6,508"
185,999,PVP,16,$2.95,Image,"6,470"
186,999,Battle of the Planets Princess,6,$2.99,Image,"6,121"
187,999,Atomika,2,$2.99,Speakeasy,"6,115"
188,999,Victory Vol. 2,4,$2.95,Image,"5,922"
189,999,Bloodhound,10,$2.99,DC,"5,741"
190,999,Knights of the Dinner Table,102,$3.99,Kenzer,"5,504"
191,999,Shonen Jump Vol. 3 May 2005,5,$4.99,Viz,"5,354"
192,999,Castlevania The Belmont Legacy,2,$3.99,IDW,"5,329"
193,999,Cal Mcdonald Supernatural Freak Machine,2,$3.99,IDW,"5,298"
194,999,Pact,1,$2.99,Image,"5,211"
195,999,Stray Bullets,37,$3.50,El Capitan,"5,136"
196,999,Seven Soldiers,0,$2.95,DC,"5,068"
197,999,Vampi Vicious Rampage Reg Ed,2,$2.99,Harris,"5,055"
198,999,Wild Girl,6,$2.99,DC,"5,024"
199,999,Uncle Scrooge,341,$6.95,Gemstone,"4,955"
200,999,Ultimate Iron Man,1,$2.99,Marvel,"4,943"
201,999,Blade of the Immortal,100,$5.99,Dark Horse,"4,837"
202,999,Lullaby Wisdom Seeker,2,$2.95,Image,"4,818"
203,999,Noble Causes,9,$3.50,Image,"4,806"
204,999,Scooby Doo,95,$2.25,DC,"4,800"
205,999,Beowulf,1,$2.99,Speakeasy,"4,663"
206,999,Donald Duck & Friends,327,$2.95,Gemstone,"4,644"
207,999,Atheist,1,$3.50,Image,"4,625"
208,999,Breakdown,6,$2.95,Devil's Due,"4,457"
209,999,Mickey Mouse & Friends,276,$2.95,Gemstone,"4,351"
210,999,Blade ofKumori,5,$2.95,Devil's Due,"4,257"
211,999,Defex,6,$2.95,Devil's Due,"4,201"
212,999,Lions Tigers & Bears,3,$2.95,Image,"4,133"
213,999,Armor X,2,$2.95,Image,"4,133"
214,999,Infantry,4,$2.95,Devil's Due,"4,045"
215,999,Teenage Mutant Ninja Turtles,21,$2.95,Mirage,"4,033"
216,999,Walt Disneys Comics & Stories,656,$6.95,Gemstone,"4,020"
217,999,86 Voltz Dead Girl One Shot,,$5.95,Image,"3,865"
218,999,Hate Annual,5,$4.95,Fantagraphics,"3,858"
219,999,Bloodrayne Seeds of Sin,,$3.99,Digital Webbing,"3,572"
220,999,Dead At 17 Revolution,4,$2.95,Viper,"3,459"
221,999,Gold Digger,63,$2.99,Antarctic,"3,428"
222,999,Desperadoes Banners ofGold,4,$3.99,IDW,"3,397"
223,999,The Grimoire,2,$2.99,Speakeasy,"3,378"
224,999,Grave Grrrls Destroyers of the Dead,1,$2.99,Moonstone,"3,354"
225,999,Super Manga Blast,50,$5.99,Dark Horse,"3,254"
226,999,Simpsons Classics,4,$3.99,Bongo,"3,248"
227,999,Barbarossa & The Lost Corsairs,1,$3.50,Kandora,"3,054"
228,999,Karney,1,$3.99,IDW,"3,036"
229,999,Astonishing X-Men,9,$2.99,Marvel,"3,029"
230,999,Green Lantern Rebirth,4,$2.95,DC,"2,986"
231,999,Looney Tunes,125,$2.25,DC,"2,973"
232,999,Beyond Avalon,2,$3.50,Image,"2,948"
233,999,Ultimate Secret,1 (Res),$2.99,Marvel,"2,936"
234,999,Otherworld,1,$2.99,DC,"2,923"
235,999,Bear,8,$2.95,Slave Labor,"2,880"
236,999,Outsiders,22,$2.50,DC,"2,830"
237,999,Cholly & Flytrap,3,$5.95,Image,"2,830"
238,999,Detonator,3,$2.50,Image,"2,817"
239,999,Archie,556,$2.19,Archie,"2,736"
240,999,Small Gods,8,$2.95,Image,"2,718"
241,999,Wolverine,26,$2.25,Marvel,"2,693"
242,999,Green Lantern Rebirth,3,$2.95,DC,"2,630"
243,999,Green Lantern Rebirth,1,$2.95,DC,"2,562"
244,999,Soulfire,4,$2.99,Aspen,"2,537"
245,999,Sabrina Vol. 2,66,$2.19,Archie,"2,506"
246,999,Eric Reds Containment,4,$3.99,IDW,"2,387"
247,999,Betty & Veronica,208,$2.19,Archie,"2,381"
248,999,Mad Magazine,453,$3.50,DC,"2,344"
249,999,Deity Requiem One Shot,,$6.95,Image,"2,331"
250,999,Sw Episode III Revenge of the Sith,1,$2.99,Dark Horse,"2,325"
251,999,Full Cirkle Cvr B,2,$3.50,Full Circle,"2,313"
252,999,Kolchak Tales of the Night Stalker,6,$3.50,Moonstone,"2,281"
253,999,Easy Way,1,$3.99,IDW,"2,275"
254,999,Betty,146,$2.19,Archie,"2,225"
255,999,PS238,11,$2.99,Dork Storm,"2,150"
256,999,Mora,2,$2.95,Image,"2,101"
257,999,Street Fighter Power Foil Cvr C,13,$7.50,Devil's Due,"2,088"
258,999,Tales From Riverdale Digest,1,$2.39,Archie,"2,069"
259,999,Cartoon Network Block Party,8,$2.25,DC,"2,038"
260,999,Seven Soldiers Guardian,1,$2.99,DC,"2,020"
261,999,Little Star,2,$2.99,Oni,"1,920"
262,999,Budds Beauties & Beasts One Shot,,$3.50,Basement,"1,914"
263,999,Street Fighter Power Foil Tsang Cvr C,14,$7.50,Devil's Due,"1,889"
264,999,Flash,220,$2.25,DC,"1,808"
265,999,Jughead & Friends Digest,1,$2.39,Archie,"1,801"
266,999,Jughead,164,$2.19,Archie,"1,752"
267,999,Young Avengers,2,$2.99,Marvel,"1,733"
268,999,Genus,70,$3.50,Radio,"1,714"
269,999,The Gift Directors Cut,1,$3.99,Image,"1,677"
270,999,Betty & Veronica Digest,156,$2.39,Archie,"1,652"
271,999,Legion ofSuper Heroes,4,$2.99,DC,"1,652"
272,999,New Avengers,4,$2.25,Marvel,"1,633"
273,999,Archie Double Digest,160,$3.59,Archie,"1,621"
274,999,Seven Soldiers Shining Knight,1,$2.99,DC,"1,608"
275,999,Tales of the Teenage Mutant Ninja Turtles,9,$3.25,Mirage,"1,589"
276,999,Pals N Gals Double Digest,93,$3.59,Archie,"1,589"
277,999,X-Men Age ofApocalypse,5,$2.99,Marvel,"1,508"
278,999,Captain Gravity & Power of the Vril,4,$2.95,Penny Farthing,"1,508"
279,999,Ninja High School,127,$2.99,Antarctic,"1,496"
280,999,Second Stage Turbine Blade,1,$4.00,Evil Ink,"1,490"
281,999,Ninja High School,126,$2.99,Antarctic,"1,459"
282,999,Darkstalkers Joe Mad Cvr C Power Foil,4,$7.50,Devil's Due,"1,440"
283,999,A G Super Erotic Anthology,12,$4.99,Icarus,"1,390"
284,999,Action Philosophers,1,$2.95,Evil Twin,"1,384"
285,999,Strangehaven,17,$2.95,Abiogenesis,"1,371"
286,999,Jugheads Double Digest,112,$3.59,Archie,"1,371"
287,999,Autumn,3,$2.95,Slave Labor,"1,365"
288,999,A G Super Erotic Anthology,11,$4.99,Icarus,"1,284"
289,999,Weapons File,1,$4.95,Antarctic,"1,284"
290,999,Shaolin Cowboy,2,$3.50,Burlyman,"1,259"
291,999,Darkstalkers Arn Cvr C Power Foil,5,$7.50,Devil's Due,"1,253"
292,999,City of Heroes,11,$2.95,Blue King,"1,240"
293,999,Runaways,2,$2.99,Marvel,"1,234"
294,999,Secret War Book Four,,$3.99,Marvel,"1,191"
295,999,Furrlough,146,$3.50,Radio,"1,184"
296,999,Sex Warrior Isane XXX,3,$3.95,Fantagraphics,"1,178"
297,999,Marvel Must Haves New Avengers,,$3.99,Marvel,"1,159"
298,999,Runaways,1,$2.99,Marvel,"1,153"
299,999,X-Men Age ofApocalypse,4,$2.99,Marvel,"1,116"
300,999,Castlevania The Belmont Legacy,1,$3.99,IDW,"1,097"
