Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,-,X-Men,97,$1.99,Marvel,"117,491"
2,-,Uncanny X-Men,377,$1.99,Marvel,"111,650"
3,-,Tomb Raider,2,$2.50,Image,"105,620"
4,-,Avengers,25,$2.99,Marvel,"85,867"
5,-,Wolverine,147,$1.99,Marvel,"84,711"
6,-,JLA,38,$1.99,DC,"84,172"
7,-,Spawn,93,$1.95,Image,"80,011"
8,-,Daredevil,12,$2.50,Marvel,"75,640"
9,-,Earth X,11,$2.99,Marvel,"70,878"
10,-,Uncanny X-Men 1999,,$3.50,Marvel,"70,543"
11,-,Amazing Spider-Man,14,$1.99,Marvel,"61,917"
12,-,Peter Parker Spider-Man,14,$1.99,Marvel,"60,572"
13,-,Fantastic Four,26,$1.99,Marvel,"58,332"
14,-,X-Men Children of the Atom,4,$2.99,Marvel,"55,998"
15,-,Iron Man,25,$2.99,Marvel,"55,961"
16,-,Captain America,26,$1.99,Marvel,"55,757"
17,-,Batman Dark Victory,3,$2.95,DC,"55,427"
18,-,Detective Comics,741,$2.50,DC,"55,286"
19,-,Thor,20,$1.99,Marvel,"55,218"
20,-,Mutant X,17,$1.99,Marvel,"53,370"
21,-,Rising Stars,4,$2.50,Image,"53,182"
22,-,Batman,574,$1.99,DC,"52,339"
23,-,Cable,76,$1.99,Marvel,"51,549"
24,-,League of Extraordinary Gentlemen,5,$2.95,DC,"50,863"
25,-,JSA,7,$2.50,DC,"50,062"
26,-,X-Men The Hidden Years,3,$2.50,Marvel,"49,136"
27,-,Batman Shadow of the Bat,94,$1.99,DC,"49,031"
28,-,Batman Legends of the Dark Knight,126,$1.99,DC,"47,524"
29,-,Generation X,60,$1.99,Marvel,"46,587"
30,-,X-Force,99,$1.99,Marvel,"46,231"
31,-,Flash,157,$1.99,DC,"44,342"
32,-,X-Men Phoenix,3,$2.50,Marvel,"43,734"
33,-,Hulk,11,$1.99,Marvel,"43,714"
34,-,Nightwing,40,$1.99,DC,"43,415"
35,-,Gambit,13,$1.99,Marvel,"43,326"
36,-,Sin City Hell and Back,6,$2.95,Dark Horse,"42,620"
37,-,Green Lantern,121,$1.99,DC,"42,562"
38,-,Thunderbolts,35,$1.99,Marvel,"41,641"
39,-,Crimson,15,$2.50,DC,"41,473"
40,-,Tom Strong (resolicited),6,$2.95,DC,"40,662"
41,-,X-Men Hellfire Club,2,$2.50,Marvel,"40,165"
42,-,X-Man,60,$1.99,Marvel,"39,877"
43,-,Action Comics,762,$1.99,DC,"39,579"
44,-,Preacher,58,$2.50,DC,"39,411"
45,-,Warlands,5,$2.50,Image,"39,328"
46,-,Superman,153,$1.99,DC,"39,008"
47,-,Bishop The Last X-Man,5,$1.99,Marvel,"38,998"
48,-,Pokemon First Movie Mewtwo Strikes Back,1,$3.95,Viz,"38,987"
49,-,Spawn The Undead,7,$2.25,Image,"38,778"
50,-,Superman The Man of Steel,97,$1.99,DC,"38,689"
51,-,Titans,12,$3.50,DC,"38,396"
52,-,Flash & Green Lantern The Brave & The Bold,5,$2.50,DC,"37,407"
53,-,Avengers Domination Factor, 4.8,$2.50,Marvel,"37,360"
54,-,Spawn The Dark Ages,10,$2.50,Image,"37,234"
55,-,Captain Marvel,2,$2.50,Marvel,"37,035"
56,-,Top Ten,6,$2.95,DC,"36,967"
57,-,Robin,73,$1.99,DC,"36,941"
58,-,Adventures of Superman,575,$1.99,DC,"36,841"
59,-,Spider-Girl,17,$2.99,Marvel,"36,569"
60,-,Pokemon First Movie Pikachus Vacation,,$3.95,Viz,"36,177"
61,-,Catwoman,77,$1.99,DC,"35,266"
62,-,Preacher Tall In The Saddle,,$5.95,DC,"35,203"
63,-,Promethea (resolicited),5,$2.95,DC,"34,910"
64,-,JLA Showcase 80 Page Giant,1,$4.95,DC,"34,366"
65,-,Buffy The Vampire Slayer,16,$2.95,Dark Horse,"34,141"
