Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,-,Uncanny X-Men,361,$1.99,Marvel,"138,138"
2,-,X-Men,81,$1.99,Marvel,"132,371"
3,-,Danger Girl,5,$2.50,Image,"117,668"
4,-,Spawn,78,$1.95,Image,"110,227"
5,-,Battle Chasers,5,$2.50,Image,"107,360"
6,-,Avengers,10,$1.99,Marvel,"104,389"
7,-,Wolverine,131,$1.99,Marvel,"102,274"
8,-,Wolverine,130,$1.99,Marvel,"100,453"
9,-,JLA,1000000,$1.99,DC,"100,278"
10,-,Daredevil,1,$2.50,Marvel,"91,654"
11,-,Fantastic Four,11,$1.99,Marvel,"87,991"
12,-,DC One Million,1,$2.95,DC,"85,740"
13,-,Captain America,11,$1.99,Marvel,"82,698"
14,-,DC One Million,2,$1.99,DC,"81,744"
15,-,DC One Million,3,$1.99,DC,"80,588"
16,-,Mutant X,2,$1.99,Marvel,"80,059"
17,-,DC One Million,4,$1.99,DC,"79,956"
18,-,Iron Man,10,$1.99,Marvel,"78,571"
19,-,Thor,5,$1.99,Marvel,"74,237"
20,-,Witchblade,26,$2.50,Image,"70,808"
21,-,Amazing Spider-Man,441,$1.99,Marvel,"69,053"
22,-,Darkness,18,$2.50,Image,"68,535"
23,-,Peter Parker Spider-Man,98,$1.99,Marvel,"68,241"
24,-,Peter Parker Spider-Man,97,$1.99,Marvel,"65,411"
25,-,Crimson,5,$2.50,Image,"64,752"
26,-,Spectacular Spider-Man,263,$1.99,Marvel,"63,650"
27,-,Captain America Sentinel of Liberty,3,$1.99,Marvel,"61,835"
28,-,Buffy The Vampire Slayer,1,$2.95,Dark Horse,"61,383"
29,-,X-Men Liberators,1,$2.99,Marvel,"60,990"
30,-,JLA Year One,11,$1.99,DC,"60,679"
31,-,Green Lantern,1000000,$1.99,DC,"59,922"
32,-,Curse of Spawn,25,$1.95,Image,"58,559"
33,-,Generation X,44,$1.99,Marvel,"58,352"
34,-,Spider-Girl,2,$1.99,Marvel,"58,194"
35,-,Superman,1000000,$1.99,DC,"57,894"
36,-,Punisher,1,$2.99,Marvel,"57,589"
37,-,Action Comics,1000000,$1.99,DC,"57,212"
38,-,Sensational Spider-Man,33,$1.99,Marvel,"57,147"
39,-,X-Force,83,$1.99,Marvel,"57,131"
40,-,Black Panther,1,$2.50,Marvel,"56,482"
41,-,Inhumans,1,$2.99,Marvel,"56,264"
42,-,Superman Man of Steel,1000000,$1.99,DC,"56,177"
43,-,Adventures of Superman,1000000,$1.99,DC,"55,724"
44,-,Divine Right (resolicited),7,$2.50,Image,"55,664"
45,-,Batman,1000000,$1.99,DC,"54,514"
46,-,Incredible Hulk,470,$1.99,Marvel,"53,762"
47,-,Superman The Man of Tomorrow,1000000,$1.99,DC,"53,157"
48,-,X-Man,44,$1.99,Marvel,"52,143"
49,-,Detective Comics,1000000,$1.99,DC,"52,121"
50,-,Nightwing,1000000,$1.99,DC,"51,832"
51,-,Young Justice,1000000,$2.50,DC,"51,232"
52,-,Cable,60,$1.99,Marvel,"50,649"
53,-,Cable,61,$1.99,Marvel,"50,087"
54,-,Ascension,10,$2.50,Image,"48,550"
55,-,JLA In Crisis Secret Files,1,$4.95,DC,"47,503"
56,-,Flash,1000000,$1.99,DC,"46,958"
57,-,A Next,2,$1.99,Marvel,"46,947"
58,-,Kiss The Psycho Circus,13,$2.25,Image,"46,239"
59,-,300,5,$3.95,Dark Horse,"45,426"
60,-,Batman Shadow of the Bat,1000000,$1.99,DC,"45,279"
61,-,Gen 13,33,$2.50,Image,"45,143"
62,-,Thunderbolts,20,$1.99,Marvel,"44,532"
63,-,J2,2,$1.99,Marvel,"43,230"
64,-,Robin,1000000,$1.99,DC,"42,843"
65,-,Superman For All Seasons,3,$4.95,DC,"42,614"
66,-,Superman Doomsday Wars,1,$4.95,DC,"42,532"
67,-,Catwoman,1000000,$1.99,DC,"42,025"
68,-,Preacher,43,$2.50,DC,"41,120"
69,-,Supergirl,1000000,$1.99,DC,"40,913"
70,-,Wonder Woman,1000000,$1.99,DC,"40,471"
71,-,Martian Manhunter,1000000,$1.99,DC,"39,653"
72,-,Deadpool,22,$1.99,Marvel,"39,081"
73,-,Rampaging Hulk,4,$1.99,Marvel,"38,716"
