Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
1,1,Fantastic Four,1,$5.99,08/08/18,Marvel,"368,914"
2,2,Infinity Wars,1,$5.99,08/01/18,Marvel,"104,363"
3,4,Batman,52,$3.99,08/01/18,DC,"102,344"
4,6,Batman,53,$3.99,08/15/18,DC,"99,191"
5,7,Amazing Spider-Man,3,$3.99,08/08/18,Marvel,"86,259"
6,3,Sandman Universe,1,$4.99,08/08/18,DC,"83,531"
7,9,Amazing Spider-Man,4,$3.99,08/22/18,Marvel,"81,630"
8,11,Superman,2,$3.99,08/08/18,DC,"77,464"
9,12,Justice League,5,$3.99,08/01/18,DC,"76,592"
10,13,Justice League,6,$3.99,08/15/18,DC,"75,156"
11,5,Punisher,1,$4.99,08/22/18,Marvel,"73,073"
12,8,Infinity Wars,2,$4.99,08/15/18,Marvel,"70,348"
13,10,Venom First Host,1,$3.99,08/29/18,Marvel,"68,050"
14,16,Walking Dead,182,$3.99,08/01/18,Image,"65,101"
15,17,Catwoman,2,$3.99,08/08/18,DC,"64,721"
16,15,Venom,5,$3.99,08/22/18,Marvel,"64,264"
17,18,Action Comics,1002,$3.99,08/22/18,DC,"61,916"
18,20,Captain America,2,$3.99,08/01/18,Marvel,"61,197"
19,21,Avengers,6,$3.99,08/22/18,Marvel,"58,925"
20,14,Extermination,1,$4.99,08/15/18,Marvel,"55,704"
21,23,Flash,52,$3.99,08/08/18,DC,"54,588"
22,45,Detective Comics,986,$2.99,08/08/18,DC,"53,346"
23,24,Thor,4,$3.99,08/15/18,Marvel,"52,436"
24,48,Detective Comics,987,$2.99,08/22/18,DC,"51,362"
25,19,Hunt For Wolverine Dead Ends,1,$4.99,08/29/18,Marvel,"49,540"
26,26,Flash,53,$3.99,08/22/18,DC,"48,992"
27,27,Star Wars,52,$3.99,08/01/18,Marvel,"48,439"
28,28,Star Wars Darth Vader,19,$3.99,08/08/18,Marvel,"48,411"
29,29,Tony Stark Iron Man,3,$3.99,08/15/18,Marvel,"48,332"
30,30,Immortal Hulk,4,$3.99,08/01/18,Marvel,"48,003"
31,32,Cosmic Ghost Rider,2,$3.99,08/01/18,Marvel,"47,653"
32,33,Justice League Dark,2,$3.99,08/22/18,DC,"46,545"
33,36,Star Wars Darth Vader,20,$3.99,08/22/18,Marvel,"44,681"
34,35,Extermination,2,$3.99,08/29/18,Marvel,"44,269"
35,42,Deadpool,3,$3.99,08/01/18,Marvel,"41,526"
36,25,Web of Venom Ve Nam,1,$4.99,08/29/18,Marvel,"41,520"
37,43,Mister Miracle,10,$3.99,08/01/18,DC,"41,267"
38,44,Batman Kings of Fear,1,$3.99,08/22/18,DC,"40,036"
39,47,X-Men Red,7,$3.99,08/22/18,Marvel,"39,634"
40,31,Batgirl,25,$4.99,08/15/18,DC,"37,712"
41,51,Edge of Spider-Geddon,1,$3.99,08/15/18,Marvel,"36,991"
42,50,Adventures of the Super Sons,1,$3.99,08/01/18,DC,"36,794"
43,52,Wonder Woman,52,$3.99,08/08/18,DC,"36,259"
44,34,Joker Daffy Duck Special,1,$4.99,08/29/18,DC,"35,935"
45,56,Die Die Die,2,$3.99,08/22/18,Image,"35,294"
46,59,Black Panther,3,$3.99,08/22/18,Marvel,"35,093"
47,57,Wonder Woman,53,$3.99,08/22/18,DC,"34,990"
48,38,West Coast Avengers,1,$4.99,08/22/18,Marvel,"34,512"
49,60,Deathstroke,34,$3.99,08/01/18,DC,"34,168"
50,61,Weapon H,6,$3.99,08/15/18,Marvel,"33,907"
51,41,X-Men Gold Annual,2,$4.99,08/01/18,Marvel,"33,656"
52,37,Cable Deadpool Annual,1,$4.99,08/15/18,Marvel,"33,639"
53,62,X-23,3,$3.99,08/29/18,Marvel,"33,490"
54,63,X-Men Gold,33,$3.99,08/01/18,Marvel,"33,415"
55,65,Astonishing X-Men,14,$3.99,08/01/18,Marvel,"33,186"
56,40,Harley Quinn Gossamer Special,1,$4.99,08/29/18,DC,"33,118"
57,66,Life of Captain Marvel,2,$3.99,08/22/18,Marvel,"33,101"
58,64,Pearl,1,$3.99,08/15/18,DC,"32,701"
59,69,Edge of Spider-Geddon,2,$3.99,08/29/18,Marvel,"32,608"
60,68,Doctor Strange,4,$3.99,08/15/18,Marvel,"32,603"
61,71,Hunt For Wolverine Mystery Madripoor,4,$3.99,08/22/18,Marvel,"32,294"
62,72,X-Men Gold,34,$3.99,08/22/18,Marvel,"32,167"
63,70,Teen Titans,21,$3.99,08/22/18,DC,"32,095"
64,46,Star Wars Beckett,1,$4.99,08/15/18,Marvel,"31,972"
65,54,Rick & Morty Vs. Dungeons & Dragons,1,$3.99,08/29/18,IDW,"31,559"
66,74,Titans,24,$3.99,08/08/18,DC,"30,889"
67,73,Magic Order,3,$3.99,08/15/18,Image,"30,801"
68,75,Aquaman,39,$3.99,08/15/18,DC,"30,311"
69,76,Death of Inhumans,2,$3.99,08/01/18,Marvel,"30,138"
70,77,Old Man Logan,45,$3.99,08/08/18,Marvel,"29,909"
71,81,Hunt for Wolverine Adamantium Agenda,4,$3.99,08/08/18,Marvel,"29,630"
72,78,Hal Jordan and the Green Lantern Corps,50,$3.99,08/08/18,DC,"29,579"
73,84,Mr and Mrs X,2,$3.99,08/22/18,Marvel,"29,337"
74,85,Marvel Two-In-One,9,$3.99,08/29/18,Marvel,"29,323"
75,79,Oblivion Song By Kirkman and De Felici,6,$3.99,08/08/18,Image,"29,256"
76,83,Hunt For Wolverine Weapon Lost,4,$3.99,08/01/18,Marvel,"29,230"
77,80,Harley Quinn,47,$3.99,08/01/18,DC,"29,144"
78,86,Old Man Logan,46,$3.99,08/22/18,Marvel,"29,008"
79,55,Astonishing X-Men Annual,1,$4.99,08/15/18,Marvel,"28,900"
80,53,Catwoman Tweety and Sylvester Special,1,$4.99,08/29/18,DC,"28,860"
81,82,Harley Quinn,48,$3.99,08/15/18,DC,"28,705"
82,87,Supergirl,21,$3.99,08/08/18,DC,"28,507"
83,39,X-Men Grand Design Second Genesis,2,$5.99,08/29/18,Marvel,"28,358"
84,90,X-Men Blue,33,$3.99,08/08/18,Marvel,"28,263"
85,58,Spider-Man Annual,1,$4.99,08/08/18,Marvel,"28,136"
86,89,Suicide Squad,45,$3.99,08/08/18,DC,"28,068"
87,92,X-Men Blue,34,$3.99,08/29/18,Marvel,"28,038"
88,94,Hunt For Wolverine Claws of Killer,4,$3.99,08/15/18,Marvel,"27,721"
89,49,Daredevil Annual,1,$4.99,08/29/18,Marvel,"27,420"
90,96,Hawkman,3,$3.99,08/08/18,DC,"27,331"
91,97,Star Wars Doctor Aphra,23,$3.99,08/22/18,Marvel,"26,879"
92,98,Nightwing,47,$3.99,08/01/18,DC,"26,467"
93,99,Batgirl,26,$3.99,08/29/18,DC,"25,947"
94,22,Mmpr Shattered Grid,1,$7.99,08/29/18,Boom,"25,925"
95,67,Lex Luthor Porky Pig Special,1,$4.99,08/29/18,DC,"25,655"
96,128,Spawn,288,$2.99,08/01/18,Image,"25,431"
97,100,Scarlet,1,$3.99,08/29/18,DC,"24,509"
98,103,Peter Parker Spectacular Spider-Man,308,$3.99,08/15/18,Marvel,"24,476"
99,101,Green Lanterns,52,$3.99,08/01/18,DC,"24,301"
100,104,Green Lanterns,53,$3.99,08/15/18,DC,"23,923"
