Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Fantastic Four,1,$2.99,Marvel,"209,793"
2,2,Captain America,1,$2.99,Marvel,"197,885"
3,4,Uncanny X-Men,351,$1.99,Marvel,"159,778"
4,6,Spawn,68,$1.95,Image,"156,455"
5,5,X-Men,71,$1.99,Marvel,"155,400"
6,12,Wolverine,120,$1.99,Marvel,"125,208"
7,14,JLA,14,$1.95,DC,"111,425"
8,8,Witchblade,19,$2.50,Image,"106,807"
9,9,Darkness,10,$2.50,Image,"104,599"
10,18,Curse of Spawn,15,$1.95,Image,"101,151"
11,7,JLA Year One,1,$2.95,DC,"98,094"
12,19,Generation X,34,$1.99,Marvel,"94,499"
13,22,JLA: Paradise Lost,1,$1.95,DC,"91,521"
14,10,Cable,50,$2.99,Marvel,"87,112"
15,11,Wolverine 97,,$2.99,Marvel,"86,637"
16,15,Wolverine: Days of Future Past,2,$2.50,Marvel,"86,295"
17,24,X-Man,34,$1.99,Marvel,"83,934"
18,25,X-Force,73,$1.99,Marvel,"82,395"
19,26,X-Factor,141,$1.99,Marvel,"82,354"
20,27,Incredible Hulk,460,$1.99,Marvel,"77,021"
21,20,Ascension,3,$2.50,Image,"74,987"
22,21,Divine Right,3,$2.50,Image,"72,643"
23,3,Uncle Sam,1,$4.95,DC,"70,350"
24,33,Amazing Spider-Man,430,$1.99,Marvel,"69,278"
25,34,Excalibur,116,$1.99,Marvel,"63,287"
26,37,Kiss: The Psycho Circus,5,$1.95,Image,"61,209"
27,36,Spider-Man,87,$1.99,Marvel,"60,483"
28,39,Superman: The Man of Steel,75,$1.95,DC,"60,341"
29,29,Wildcore,1,$2.50,Image,"60,043"
30,40,Spectacular Spider-Man,253,$1.99,Marvel,"59,073"
31,46,Alpha Flight,6,$1.99,Marvel,"58,396"
32,48,Superman,131,$1.95,DC,"57,876"
33,17,Batman Collector's Edition,550,$3.50,DC,"57,778"
34,31,New Mutants,3,$2.50,Marvel,"57,292"
35,51,Action Comics,741,$1.95,DC,"57,089"
36,32,Bishop Xavier Security Enforcers,1,$2.50,Marvel,"56,897"
37,53,Adventures of Superman,554,$1.95,DC,"55,734"
38,54,Sensational Spider-Man,23,$1.99,Marvel,"54,208"
39,56,Deadpool,12,$1.99,Marvel,"52,437"
40,60,Unlimited Access,2,$1.99,Marvel,"50,459"
41,30,Xena Warrior Princess (both covers),1,$2.95,Topps,"48,727"
42,65,Detective Comics,717,$1.95,DC,"48,326"
43,41,Tenth,3,$2.50,Image,"47,013"
44,43,Kurt Busiek's Astro City Vol. 2,12,$2.50,Image,"46,953"
45,67,Thunderbolts,10,$1.99,Marvel,"46,337"
46,68,Green Lantern,94,$1.95,DC,"45,806"
47,47,Preacher,33,$2.50,DC,"45,473"
48,70,Batman/Predator III: Blood Ties,3,$1.95,DC,"45,062"
49,49,Voodoo,1,$2.50,Image,"44,715"
50,50,"Kitty Pryde, Agent of SHIELD",2,$2.50,Marvel,"44,648"
51,52,Gen13 Bootleg,13,$2.50,Image,"44,179"
52,74,Nightwing,16,$1.95,DC,"42,820"
53,75,Flash,133,$1.95,DC,"42,616"
