Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,-,X-Men,100,$2.99,Marvel,"144,878"
2,-,Uncanny X-Men,380,$2.99,Marvel,"115,158"
3,-,Wolverine,150,$2.99,Marvel,"99,054"
4,-,JLA,41,$2.99,DC,"77,145"
5,-,Magdalena,1,$2.50,Image,"76,364"
6,-,Avengers,28,$1.99,Marvel,"76,125"
7,-,Spawn,96,$1.95,Image,"68,967"
8,-,Daredevil,13,$2.50,Marvel,"67,544"
9,-,Punisher,2,$2.99,Marvel,"67,365"
10,-,Fantastic Four,29,$1.99,Marvel,"59,062"
11,-,Tomb Raider,4,$2.50,Image,"58,405"
12,-,Cable,79,$1.99,Marvel,"55,907"
13,-,X-Force,102,$1.99,Marvel,"54,395"
14,-,Amazing Spider-Man,17,$1.99,Marvel,"54,097"
15,-,Thor,23,$1.99,Marvel,"52,490"
16,-,Generation X,63,$1.99,Marvel,"51,982"
17,-,Gear Station,1,$2.50,Image,"51,938"
18,-,Peter Parker Spider-Man,17,$1.99,Marvel,"51,579"
19,-,Batman,577,$1.99,DC,"49,749"
20,-,Iron Man,28,$1.99,Marvel,"49,729"
21,-,Batman Dark Victory,6,$2.95,DC,"49,724"
22,-,Batgirl,2,$2.50,DC,"49,465"
23,-,Captain America,29,$1.99,Marvel,"49,057"
24,-,Detective Comics,744,$2.50,DC,"48,032"
25,-,X-Man,63,$1.99,Marvel,"47,744"
26,-,Mutant X,19,$1.99,Marvel,"47,445"
27,-,Rising Stars,6,$2.50,Image,"47,266"
28,-,Soul Saga,3,$2.50,Image,"46,774"
29,-,Gambit,16,$1.99,Marvel,"43,376"
30,-,JSA,10,$2.50,DC,"42,814"
31,-,Batman Gotham Knights,3,$2.50,DC,"41,709"
32,-,Superman,156,$1.99,DC,"41,192"
33,-,Nightwing,43,$1.99,DC,"41,048"
34,-,Witchblade,39,$2.50,Image,"40,520"
35,-,Batman Legends of the Dark Knight,129,$1.99,DC,"40,391"
36,-,Action Comics,765,$1.99,DC,"40,252"
37,-,Astro City Vol. 2,22,$2.50,DC,"39,859"
38,-,Green Lantern,124,$1.99,DC,"39,859"
39,-,Superman The Man of Steel Coll Ed,100,$3.99,DC,"39,257"
40,-,Preacher,61,$2.50,DC,"39,252"
41,-,Amazing Spider-Man 2000,,$3.50,Marvel,"39,177"
42,-,Flash,160,$1.99,DC,"38,953"
43,-,Darkness,30,$2.50,Image,"38,789"
44,-,Crimson,17,$2.50,DC,"38,630"
45,-,Steampunk,2,$2.50,DC,"38,530"
46,-,Incredible Hulk,14,$1.99,Marvel,"38,157"
47,-,X-Men The Hidden Years,6,$2.50,Marvel,"38,157"
48,-,Adventures of Superman,578,$1.99,DC,"37,476"
49,-,Thunderbolts,38,$1.99,Marvel,"37,436"
50,-,Avengers Two Wonder Man and Beast,1,$2.99,Marvel,"36,923"
51,-,Warlands,8,$2.50,Image,"35,645"
52,-,Young Justice Sins of Youth,1,$3.95,DC,"35,595"
53,-,Titans,15,$2.50,DC,"34,157"
54,-,Tom Strong,8,$2.95,DC,"34,123"
55,-,Young Justice Sins of Youth,2,$3.95,DC,"33,526"
56,-,Wildcats Vol. 2,9,$2.50,DC,"32,784"
57,-,Spider-Girl,20,$1.99,Marvel,"32,705"
58,-,Sins of Youth JLA Jr,1,$2.50,DC,"32,282"
59,-,Robin,76,$1.99,DC,"32,073"
60,-,Planetary,10,$2.50,DC,"31,680"
61,-,Top Ten,8,$2.95,DC,"31,511"
62,-,Authority,13,$2.50,DC,"30,809"
63,-,Sins of Youth Batboy and Robin,1,$2.50,DC,"30,590"
64,-,Thunderbolts 2000,,$3.50,Marvel,"30,272"
65,-,Catwoman,80,$1.99,DC,"29,725"
66,-,Captain Marvel,5,$2.50,Marvel,"29,466"
67,-,Spawn The Undead,10,$2.25,Image,"29,456"
68,-,Bishop The Last X-Man,8,$1.99,Marvel,"29,307"
69,-,Darkminds Vol. 2,2,$2.50,Image,"29,158"
70,-,Spawn The Dark Ages,13,$2.50,Image,"28,964"
71,-,Extreme Forces,1,$2.99,Awesome,"28,775"
72,-,Eve Protomecha,2,$2.50,Image,"28,680"
73,-,Promethea,8,$2.95,DC,"28,496"
74,-,Sins of Youth Superman Jr Superboy Sr,1,$2.50,DC,"28,461"
75,-,Deadpool,40,$1.99,Marvel,"28,163"
76,-,Batman The Hill,,$2.95,DC,"27,491"
77,-,Star Wars,16,$2.50,Dark Horse,"27,397"
78,-,Sins of Youth Kid Flash Impulse,1,$2.50,DC,"27,004"
79,-,Gen 13,51,$2.50,DC,"26,879"
80,-,Sins of Youth Starwoman & JSA Junior Society of America,1,$2.50,DC,"26,690"
81,-,Star Wars Chewbacca,3,$2.95,Dark Horse,"26,680"
82,-,Buffy The Vampire Slayer,19,$2.95,Dark Horse,"26,596"
83,-,Marvel The Lost Generation,10,$2.99,Marvel,"26,421"
84,-,Superman Vs The Terminator Death To The Future,4,$2.95,Dark Horse,"25,834"
85,-,Sins of Youth Wonder Girls,1,$2.50,DC,"25,431"
86,-,Titans Legion of Superheores Universe A Blaze,3,$4.95,DC,"25,292"
87,-,Spider-Woman,11,$1.99,Marvel,"25,267"
88,-,Swamp Thing,1,$2.50,DC,"25,063"
89,-,Gatecrasher,3,$2.50,Wizard,"24,616"
90,-,Supergirl,44,$1.99,DC,"24,198"
91,-,Starman,65,$2.50,DC,"24,183"
92,-,Black Panther,18,$2.50,Marvel,"23,830"
93,-,Superboy,74,$1.99,DC,"23,810"
94,-,Star Wars Tales,3,$4.95,Dark Horse,"23,695"
95,-,Sins of Youth The Secret Deadboy,1,$2.50,DC,"23,636"
96,-,Gen Active,1,$3.95,DC,"23,541"
97,-,Sam and Twitch,8,$2.50,Image,"23,437"
98,-,Sins of Youth Aquaboy Lagoon Man,1,$2.50,DC,"23,302"
99,-,Birds of Prey,17,$1.99,DC,"23,287"
100,-,Batman Haunted Gotham,4,$4.95,DC,"23,153"
101,-,Azrael Agent of the Bat,64,$2.25,DC,"23,019"
102,-,Wonder Woman,156,$1.99,DC,"22,859"
103,-,Young Justice Sins of Youth Secret Files,1,$4.95,DC,"22,775"
104,-,Tomorrow Stories,7,$2.95,DC,"22,397"
105,-,Judge,1,$2.95,Image,"22,083"
106,-,Legion Lost,1,$2.50,DC,"21,830"
107,-,Legends of the DC Universe,28,$1.99,DC,"21,536"
108,-,New Warriors,8,$2.50,Marvel,"20,397"
109,-,Kin (resolicited),2,$2.95,Image,"20,342"
110,-,Purgatori  Vs Vampirella,1,$2.95,Chaos,"19,805"
111,-,Angel,5,$2.95,Dark Horse,"19,760"
112,-,Martian Manhunter,18,$1.99,DC,"19,357"
113,-,Webspinners Tales of Spider-Man,17,$2.50,Marvel,"19,258"
114,-,Lady Death Dark Millennium,3,$2.95,Chaos,"19,118"
115,-,Sailor Moon,18,$2.95,Mixx,"19,118"
116,-,Realworlds Batman,,$5.95,DC,"18,820"
117,-,Hitman,49,$2.50,DC,"18,531"
118,-,Insane Clown Posse Pendulum,2,$5.95,Chaos,"18,432"
119,-,Transmetropolitan,33,$2.50,DC,"18,238"
120,-,Xena Warrior Princess,7,$2.95,Dark Horse,"18,019"
