Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Avengers/JLA,2,$5.95,DC,"162,309"
2,2,Amazing Spider-Man,500 (#59),$3.50,Marvel,"148,939"
3,3,Marvel 1602,3,$3.50,Marvel,"129,466"
4,5,Ultimate Six,2,$2.25,Marvel,"119,918"
5,6,Ultimate Six,3,$2.25,Marvel,"109,745"
6,8,Ultimate X-Men,38,$2.25,Marvel,"108,120"
7,9,Batman,620,$2.25,DC,"107,646"
8,10,New X-Men,147,$2.25,Marvel,"105,655"
9,4,Superman/Batman,3,$2.95,DC,"103,577"
10,11,New X-Men,148,$2.25,Marvel,"103,017"
11,14,Ultimate Spider-Man,47,$2.25,Marvel,"99,670"
12,15,Ultimate Spider-Man,48,$2.25,Marvel,"98,755"
13,17,Uncanny X-Men,432,$2.25,Marvel,"92,479"
14,23,Wolverine,6,$2.25,Marvel,"82,080"
15,12,Supreme Power,3,$2.99,Marvel,"77,128"
16,31,Spectacular Spider-Man,5,$2.25,Marvel,"71,671"
17,32,Batman,619,$2.25,DC,"71,391"
18,7,Hulk Gray,1,$3.50,Marvel,"69,873"
19,27,Teen Titans,4,$2.50,DC,"69,087"
20,18,X-Treme X-Men,32,$2.99,Marvel,"63,468"
21,16,Hulk Gray,2,$3.50,Marvel,"63,361"
22,19,Thanos,1,$2.99,Marvel,"63,113"
23,22,Transformers Generation One Vol. 2,6,$2.95,Dreamwave,"62,951"
24,20,X-Treme X-Men,33,$2.99,Marvel,"62,736"
25,24,Transformers War Within Vol. 2,1,$2.95,Dreamwave,"62,553"
26,34,JLA,88,$2.25,DC,"59,453"
27,26,Transformers/G.I. Joe,2,$2.95,Dreamwave,"59,141"
28,35,JLA,89,$2.25,DC,"59,012"
29,36,Avengers,70,$2.25,Marvel,"58,882"
30,25,Daredevil,53,$2.99,Marvel,"58,624"
31,37,Avengers,72,$2.25,Marvel,"58,441"
32,39,Avengers,71,$2.25,Marvel,"57,354"
33,29,G.I. Joe/Transformers,4,$2.95,Image,"55,998"
34,42,Incredible Hulk,62,$2.25,Marvel,"55,535"
35,30,Nyx,1,$2.99,Marvel,"54,760"
36,50,Fantastic Four,505 (#76),$2.25,Marvel,"52,854"
37,45,Outsiders,5,$2.50,DC,"48,904"
38,55,Silver Surfer,2,$2.25,Marvel,"47,278"
39,33,Spider-Man & Dr Octopus Negative Exposure,1,$2.99,Marvel,"45,104"
40,53,JSA,53,$2.50,DC,"43,715"
41,70,Venom,5,$2.25,Marvel,"42,553"
42,40,Captain America,19,$2.99,Marvel,"42,359"
43,41,Punisher,33,$2.99,Marvel,"42,133"
44,72,Venom,6,$2.25,Marvel,"42,068"
45,57,Formerly Known as the Justice League,4,$2.50,DC,"42,036"
46,58,Emma Frost,4,$2.50,Marvel,"41,713"
47,44,Punisher,34,$2.99,Marvel,"41,444"
48,61,New Mutants,5,$2.50,Marvel,"41,304"
49,47,Superman Birthright,4,$2.95,DC,"41,261"
50,46,Exiles,35,$2.99,Marvel,"40,733"
51,64,New Mutants,6,$2.50,Marvel,"40,647"
52,48,Exiles,36,$2.99,Marvel,"40,604"
53,74,Venom,7,$2.25,Marvel,"40,583"
54,51,Mystique,7,$2.99,Marvel,"39,700"
55,65,Green Arrow,31,$2.50,DC,"39,528"
56,71,Spawn,129,$2.50,Image,"38,214"
57,59,Detective Comics,787,$2.75,DC,"37,881"
58,21,Superman/Batman Secret Files 2003,,$4.95,DC,"37,859"
59,13,Teen Titans/Outsiders Secret Files 2003,,$5.95,DC,"37,762"
60,54,G.I. Joe,22,$2.95,Image,"36,664"
61,43,Thor Vikings,4,$3.50,Marvel,"35,685"
62,89,Flash,203,$2.25,DC,"35,469"
63,56,Hawkeye,1,$2.99,Marvel,"35,265"
64,62,Planetary,17,$2.95,DC,"34,942"
65,60,Michael Turner Presents Aspen,1,$2.99,Aspen,"34,662"
66,63,Iron Man,73,$2.99,Marvel,"34,135"
67,97,Superman,198,$2.25,DC,"33,682"
68,66,Thor,69,$2.99,Marvel,"32,994"
69,82,JSA All Stars,6,$2.50,DC,"32,692"
70,98,Green Lantern,170,$2.25,DC,"32,681"
71,69,Astro City Local Heroes,4,$2.95,DC,"32,574"
72,67,Thor,70,$2.99,Marvel,"32,337"
73,68,X-Statix,13,$2.99,Marvel,"32,186"
74,73,X-Statix,14,$2.99,Marvel,"31,422"
