Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
1,1,Doomsday Clock,3,$4.99,01/24/18,DC,"157,714"
2,2,Dark Nights Metal,5,$3.99,01/31/18,DC,"149,076"
3,6,Batman,38,$2.99,01/03/18,DC,"98,440"
4,8,Batman,39,$2.99,01/17/18,DC,"94,325"
5,4,Walking Dead,175,$3.99,01/03/18,Image,"82,361"
6,3,Avengers,675,$4.99,01/10/18,Marvel,"79,946"
7,7,Batman White Knight,4,$3.99,01/03/18,DC,"73,043"
8,5,Amazing Spider-Man Venom Inc Omega,1,$4.99,01/17/18,Marvel,"63,322"
9,9,Batman and the Signal,1,$3.99,01/03/18,DC,"62,394"
10,10,Old Man Hawkeye,1,$3.99,01/10/18,Marvel,"57,454"
11,11,Star Wars,41,$3.99,01/03/18,Marvel,"56,545"
12,15,Star Wars,42,$3.99,01/17/18,Marvel,"53,710"
13,16,Star Wars Darth Vader,10,$3.99,01/10/18,Marvel,"53,420"
14,31,Detective Comics,973,$2.99,01/24/18,DC,"53,024"
15,32,Detective Comics,972,$2.99,01/10/18,DC,"51,694"
16,22,Amazing Spider-Man,794,$3.99,01/24/18,Marvel,"51,412"
17,20,Phoenix Resurrection Return Jean Grey,2,$3.99,01/03/18,Marvel,"51,318"
18,19,Astonishing X-Men,7,$3.99,01/03/18,Marvel,"50,772"
19,35,Flash,39,$2.99,01/24/18,DC,"49,595"
20,21,Phoenix Resurrection Return Jean Grey,3,$3.99,01/10/18,Marvel,"49,261"
21,38,Flash,38,$2.99,01/10/18,DC,"48,279"
22,42,Superman,38,$2.99,01/03/18,DC,"47,261"
23,12,Phoenix Resurrection Return Jean Grey,5,$4.99,01/31/18,Marvel,"46,689"
24,23,Phoenix Resurrection Return Jean Grey,4,$3.99,01/24/18,Marvel,"46,517"
25,47,Justice League,36,$2.99,01/03/18,DC,"46,043"
26,48,Justice League,37,$2.99,01/17/18,DC,"45,313"
27,13,Flash Annual,1,$4.99,01/31/18,DC,"44,946"
28,14,Detective Comics Annual,1,$4.99,01/31/18,DC,"44,882"
29,50,Superman,39,$2.99,01/17/18,DC,"44,402"
30,17,Guardians of the Galaxy,150,$4.99,01/03/18,Marvel,"42,521"
31,18,Star Wars Last Jedi DJ,1,$4.99,01/31/18,Marvel,"42,427"
32,28,Mighty Thor,703,$3.99,01/17/18,Marvel,"42,116"
33,53,Action Comics,995,$2.99,01/10/18,DC,"41,987"
34,58,Action Comics,996,$2.99,01/24/18,DC,"41,331"
35,24,Rise of Black Panther,1,$3.99,01/03/18,Marvel,"40,897"
36,39,Avengers,676,$3.99,01/17/18,Marvel,"39,094"
37,29,Rogue & Gambit,1,$3.99,01/03/18,Marvel,"38,657"
38,34,Mister Miracle,6,$3.99,01/10/18,DC,"38,655"
39,25,X-Men Blue Annual,1,$4.99,01/24/18,Marvel,"38,522"
40,41,Avengers,677,$3.99,01/24/18,Marvel,"38,481"
41,33,Venom,160,$3.99,01/10/18,Marvel,"37,487"
42,46,Avengers,678,$3.99,01/31/18,Marvel,"37,403"
43,37,Captain America,697,$3.99,01/03/18,Marvel,"37,030"
44,80,Damage,1,$2.99,01/17/18,DC,"37,001"
45,36,X-Men Gold,19,$3.99,01/03/18,Marvel,"36,915"
46,64,Wonder Woman,38,$2.99,01/10/18,DC,"36,828"
47,40,X-Men Gold,20,$3.99,01/17/18,Marvel,"36,471"
48,65,Wonder Woman,39,$2.99,01/24/18,DC,"36,269"
49,43,Old Man Logan,33,$3.99,01/10/18,Marvel,"35,468"
50,45,Super Sons,12,$3.99,01/17/18,DC,"35,068"
51,44,Batman Teenage Mutant Ninja Turtles II,3,$3.99,01/17/18,DC,"35,028"
52,27,X-Men Gold Annual,1,$4.99,01/10/18,Marvel,"34,325"
53,49,Old Man Logan,34,$3.99,01/31/18,Marvel,"34,138"
54,77,Harley Quinn,34,$2.99,01/10/18,DC,"33,222"
55,51,X-Men Blue,19,$3.99,01/10/18,Marvel,"33,208"
56,59,Marvel Two-In-One,2,$3.99,01/24/18,Marvel,"32,711"
57,52,X-Men Blue,20,$3.99,01/24/18,Marvel,"32,540"
58,82,Harley Quinn,35,$2.99,01/17/18,DC,"32,183"
59,30,Harley Quinn Be Careful What You Wish For,1,$4.99,01/10/18,DC,"32,137"
60,83,Harley Quinn,36,$2.99,01/31/18,DC,"31,602"
61,55,Titans,19,$3.99,01/10/18,DC,"31,478"
62,57,Deadpool Vs. Old Man Logan,4,$3.99,01/17/18,Marvel,"31,467"
63,60,Star Wars Doctor Aphra,16,$3.99,01/31/18,Marvel,"30,365"
64,54,Daredevil,597,$3.99,01/10/18,Marvel,"30,222"
65,89,Silencer,1,$2.99,01/31/18,DC,"30,131"
66,61,Invincible Iron Man,596,$3.99,01/31/18,Marvel,"29,540"
67,93,Hal Jordan and the Green Lantern Corps,36,$2.99,01/10/18,DC,"29,065"
68,94,Nightwing,37,$2.99,01/17/18,DC,"28,873"
69,26,X-Men Grand Design,2,$5.99,01/03/18,Marvel,"28,853"
70,62,Teen Titans,16,$3.99,01/24/18,DC,"28,722"
71,95,Hal Jordan and the Green Lantern Corps,37,$2.99,01/24/18,DC,"28,655"
72,63,Peter Parker Spectacular Spider-Man,299,$3.99,01/17/18,Marvel,"28,512"
73,96,Nightwing,36,$2.99,01/03/18,DC,"28,493"
74,66,Despicable Deadpool,292,$3.99,01/10/18,Marvel,"27,174"
75,104,Suicide Squad,33,$2.99,01/10/18,DC,"26,715"
76,69,Despicable Deadpool,293,$3.99,01/31/18,Marvel,"26,531"
77,106,Suicide Squad,34,$2.99,01/24/18,DC,"26,515"
78,68,Supergirl,17,$3.99,01/10/18,DC,"26,466"
79,107,Justice League of America,22,$2.99,01/10/18,DC,"26,416"
80,71,Spider-Man,236,$3.99,01/03/18,Marvel,"26,409"
81,70,Raven Daughter of Darkness,1,$3.99,01/24/18,DC,"26,192"
82,72,Weapon X,13,$3.99,01/17/18,Marvel,"26,179"
83,109,Justice League of America,23,$2.99,01/24/18,DC,"26,060"
84,73,Spider-Man Deadpool,26,$3.99,01/10/18,Marvel,"25,819"
85,74,Doctor Strange,384,$3.99,01/17/18,Marvel,"25,652"
86,112,Green Lanterns,39,$2.99,01/17/18,DC,"25,551"
87,76,Star Wars Poe Dameron,23,$3.99,01/24/18,Marvel,"25,379"
88,78,All New Wolverine,29,$3.99,01/17/18,Marvel,"25,330"
89,75,Aquaman,32,$3.99,01/17/18,DC,"25,232"
90,115,Green Lanterns,38,$2.99,01/03/18,DC,"25,172"
91,56,JLA Doom Patrol Special,1,$4.99,01/31/18,DC,"25,090"
92,79,All New Wolverine,30,$3.99,01/31/18,Marvel,"24,933"
93,81,Trinity,17,$3.99,01/17/18,DC,"24,530"
94,84,Incredible Hulk,712,$3.99,01/31/18,Marvel,"23,999"
95,85,Punisher,220,$3.99,01/10/18,Marvel,"23,940"
96,86,Harley & Ivy Meet Betty & Veronica,4,$3.99,01/03/18,DC,"23,286"
97,87,Green Arrow,36,$3.99,01/03/18,DC,"23,012"
98,67,Jean Grey,11,$4.99,01/31/18,Marvel,"22,815"
99,88,Thanos,15,$3.99,01/24/18,Marvel,"22,743"
100,90,Legion,1,$3.99,01/24/18,Marvel,"22,722"
101,126,Paper Girls,19,$2.99,01/03/18,Image,"22,359"
102,92,Hawkman Found,1,$3.99,12/27/17,DC,"22,289"
103,98,Defenders,9,$3.99,01/31/18,Marvel,"21,648"
104,99,Moon Knight,191,$3.99,01/31/18,Marvel,"21,504"
105,97,Red Hood and the Outlaws,18,$3.99,01/10/18,DC,"21,385"
106,100,Black Panther,169,$3.99,01/24/18,Marvel,"21,321"
107,101,Nightwing The New Order,6,$3.99,01/24/18,DC,"21,010"
108,103,Punisher Platoon,5,$3.99,01/31/18,Marvel,"20,480"
109,108,Amazing Spider-Man Renew Your Vows,15,$3.99,01/31/18,Marvel,"19,821"
110,110,Champions,16,$3.99,01/17/18,Marvel,"19,804"
111,111,Cable,153,$3.99,01/10/18,Marvel,"19,475"
112,113,Spider-Gwen,28,$3.99,01/31/18,Marvel,"19,319"
113,137,Spawn,282,$2.99,01/31/18,Image,"19,248"
