Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,-,Uncanny X-Men,387,$2.25,Marvel,"113,696"
2,-,X-Men,107,$2.25,Marvel,"110,786"
3,-,Wolverine,157,$2.25,Marvel,"79,133"
4,-,JLA,48,$2.25,DC,"74,338"
5,-,Avengers,35,$2.25,Marvel,"69,498"
6,-,Punisher,9,$2.99,Marvel,"67,738"
7,-,Danger Girl,7,$5.95,DC,"67,302"
8,-,X-Men The Search For Cyclops,1,$2.99,Marvel,"65,646"
9,-,Spawn,103,$2.50,Image,"63,688"
10,-,Harley Quinn,1,$2.95,DC,"62,682"
11,-,Universe X,3,$3.50,Marvel,"54,143"
12,-,X-Men Unlimited,29,$2.99,Marvel,"53,438"
13,-,Fantastic Four,36,$2.25,Marvel,"53,245"
14,-,Amazing Spider-Man,24,$2.25,Marvel,"50,183"
15,-,Iron Man,35,$2.25,Marvel,"48,477"
16,-,Peter Parker Spider-Man,24,$2.25,Marvel,"47,722"
17,-,Batman Dark Victory,13,$4.95,DC,"47,161"
18,-,Ultimate Spider-Man,2*,$2.50,Marvel,"47,080"
19,-,Thor,30,$2.25,Marvel,"46,470"
20,-,Aphrodite IX,2,$2.50,Image,"46,407"
21,-,JLA Witchblade,,$5.95,DC,"46,407"
22,-,Maximum Security,1,$2.99,Marvel,"45,872"
23,-,Captain America,36,$2.25,Marvel,"45,221"
24,-,Batman,584,$2.25,DC,"44,898"
25,-,X-Force,109,$2.25,Marvel,"44,759"
26,-,Daredevil Ninja,1,$2.99,Marvel,"43,843"
27,-,Detective Comics,751,$2.50,DC,"43,282"
28,-,Maximum Security,2,$2.99,Marvel,"43,116"
29,-,Superman,163,$2.25,DC,"42,393"
30,-,Mutant X,26,$2.25,Marvel,"41,939"
31,-,Batgirl,9,$2.50,DC,"41,868"
32,-,X-Men Magik,1,$2.99,Marvel,"41,769"
33,-,Midnight Nation,2,$2.50,Image,"41,643"
34,-,Generation X,70,$2.25,Marvel,"41,540"
35,-,Nightwing,50,$3.50,DC,"40,803"
36,-,Marvel Knights,6,$2.99,Marvel,"40,202"
37,-,Action Comics,772,$2.25,DC,"39,937"
38,-,JSA,17,$2.50,DC,"39,618"
39,-,Thunderbolts,45,$2.25,Marvel,"39,259"
40,-,Adventures of Superman,585,$2.25,DC,"38,734"
41,-,Cable,86,$2.25,Marvel,"38,653"
42,-,Witchblade,44,$2.50,Image,"38,312"
43,-,Superman The Man of Steel,107,$2.25,DC,"37,979"
44,-,Iron Fist Wolverine,2,$2.99,Marvel,"37,768"
45,-,X-Man,70,$2.25,Marvel,"37,710"
46,-,Incredible Hulk,21,$2.25,Marvel,"36,799"
47,-,Batman Gotham Knights,10,$2.50,DC,"36,619"
48,-,Green Lantern,131,$2.25,DC,"36,605"
49,-,Gambit,23,$2.25,Marvel,"36,605"
50,-,Batman Legends of the Dark Knight,136,$2.25,DC,"36,206"
51,-,Authority,20,$2.50,DC,"36,156"
52,-,Avengers Infinity,4,$2.99,Marvel,"35,901"
53,-,Star Wars Darth Maul,2*,$2.99,Dark Horse,"35,847"
54,-,JLA Secret Files,3,$4.95,DC,"35,465"
55,-,Overkill,1,$5.95,Image,"34,778"
56,-,Crimson,22,$2.50,DC,"34,235"
57,-,Peter Parker Spider-Man 2000,,$3.50,Marvel,"33,754"
58,-,Hellspawn,3,$2.50,Image,"33,611"
59,-,Marvel Boy,5,$2.99,Marvel,"33,063"
60,-,Sentry,4,$2.99,Marvel,"33,036"
61,-,Darkness,35,$2.50,Image,"32,596"
62,-,Doom,3,$2.99,Marvel,"32,515"
63,-,Flash,167,$2.25,DC,"32,407"
64,-,X-Men The Hidden Years,13,$2.50,Marvel,"31,954"
65,-,Titans,22,$2.50,DC,"31,011"
66,-,Green Lantern Vs Aliens,2,$2.99,Dark Horse,"30,710"
67,-,Young Justice,26,$2.50,DC,"29,435"
68,-,Warlands,10,$2.95,Image,"29,408"
69,-,Jenny Sparks Secret History of the Authority,5,$2.50,DC,"29,197"
70,-,Spider-Man Revenge of the Green Goblin,3,$2.99,Marvel,"28,950"
71,-,Robin,83,$2.25,DC,"28,708"
72,-,Iron Man Bad Blood,4,$2.99,Marvel,"28,483"
73,-,Captain Marvel,12,$2.50,Marvel,"28,030"
74,-,Ghost Batgirl,3,$2.99,Dark Horse,"27,850"
75,-,Bishop The Last X-Man,15,$2.25,Marvel,"27,644"
76,-,Spider-Girl,27,$2.25,Marvel,"27,424"
77,-,Robin Year One,1,$4.95,DC,"27,415"
78,-,Deadpool,47,$2.25,Marvel,"27,267"
79,-,Catwoman,87,$2.25,DC,"26,499"
80,-,Nightwing 80 Page Giant,1,$5.95,DC,"26,454"
81,-,Authority Annual 2000,1,$3.50,DC,"26,342"
82,-,Birds of Prey,24,$2.50,DC,"25,587"
83,-,Dreams of the Darkchylde,1,$2.95,Dark Horse,"25,484"
84,-,Promethea,11,$2.95,DC,"25,367"
85,-,Star Wars,23,$2.99,Dark Horse,"24,963"
86,-,Gen 13,58,$2.50,DC,"24,447"
87,-,Starman,72,$2.50,DC,"23,473"
88,-,Spawn The Dark Ages,20,$2.50,Image,"23,073"
89,-,Black Panther,25,$2.50,Marvel,"22,934"
90,-,Supergirl,51,$2.25,DC,"22,858"
91,-,Mystic,5,$2.95,Crossgen,"22,323"
92,-,Wildcats Vol. 2,16,$2.50,DC,"22,310"
93,-,Batman The Doom That Came To Gotham,2,$4.95,DC,"21,955"
94,-,Secret Society of Superheroes,2,$5.95,DC,"21,744"
95,-,Sam and Twitch,15,$2.50,Image,"21,659"
96,-,Marvel The Lost Generation,3,$2.99,Marvel,"21,645"
97,-,Wonder Woman,163,$2.25,DC,"21,313"
98,-,Buffy The Vampire Slayer,26,$2.99,Dark Horse,"21,309"
99,-,Legends of the DC Universe,35,$2.50,DC,"21,304"
100,-,Crimson Plague,3,$2.50,Image,"21,201"
101,-,Legion Lost,8,$2.50,DC,"20,949"
102,-,Scion,5,$2.95,Crossgen,"20,887"
103,-,Gen 13 Annual 2000,1,$3.50,DC,"20,747"
104,-,Sigil,5,$2.95,Crossgen,"20,424"
105,-,Meridian,5,$2.95,Crossgen,"20,424"
106,-,Adventures In The Rifle Brigade,3,$2.50,DC,"19,585"
107,-,Empire,3,$2.50,Image,"19,441"
108,-,Hellblazer,155,$2.50,DC,"19,414"
109,-,Outlaw Nation,2,$2.50,DC,"19,351"
110,-,Wildcats Annual 2000,1,$3.50,DC,"19,315"
111,-,Witchblade Gallery Ed,1,$2.95,Image,"19,297"
112,-,Transmetropolitan,39,$2.50,DC,"18,974"
113,-,Azrael Agent of the Bat,71,$2.50,DC,"18,965"
114,-,Martian Manhunter,25,$2.50,DC,"18,943"
115,-,Superboy,81,$2.25,DC,"18,880"
116,-,Spider-Woman,18,$2.25,Marvel,"18,754"
117,-,Hitman,56,$2.50,DC,"18,556"
118,-,Before The Fantastic 4 The Storms,1,$2.99,Marvel,"18,547"
119,-,Bone,40,$2.95,Cartoon,"18,525"
120,-,Darkminds Vol. 2,8,$2.50,Image,"18,480"
121,-,Spider-Girl Presents Darkdevil,2,$2.99,Marvel,"18,345"
122,-,Vampi,3RegEd,$2.95,Harris,"18,323"
123,-,Lucifer,7,$2.50,DC,"17,852"
124,-,Maximum Security Thor Vs Ego,,$2.99,Marvel,"17,775"
125,-,Savage Dragon,80,$2.95,Image,"17,649"
126,-,Orion,7,$2.50,DC,"17,461"
127,-,Sailor Moon,25,$2.95,Tokyopop,"17,452"
128,-,Powers,6,$2.95,Image,"17,326"
129,-,Buffy The Vampire Slayer Spike & Dru Alls Fair,,$2.99,Dark Horse,"17,165"
130,-,Buffy The Vampire Slayer Giles,,$2.99,Dark Horse,"17,057"
131,-,Spaceknights,3,$2.99,Marvel,"16,460"
132,-,Untold Tales of Lady Death,1,$2.95,Chaos,"16,446"
133,-,Aquaman,74,$2.50,DC,"16,392"
134,-,Halloween,1,$2.95,Chaos,"16,204"
135,-,Hellblazer Special Bad Blood,4,$2.95,DC,"15,912"
136,-,Angel,12,$2.99,Dark Horse,"15,885"
137,-,Magique Annual 2000,1,$3.50,DC,"15,822"
138,-,Dark Angel Phoenix Resurrection,3,$2.95,Image,"15,656"
139,-,Batman Beyond The Return of the Joker,,$2.95,DC,"15,409"
140,-,100 Bullets,17,$2.50,DC,"15,342"
141,-,Gear Station,5,$2.95,Image,"15,140"
142,-,Sandman Presents Merv Pumkinhead Agent of Dream,,$5.95,DC,"15,108"
143,-,Impulse,67,$2.50,DC,"15,104"
144,-,Simpsons Comics,51,$2.50,Bongo,"14,866"
145,-,Dark Realm,1,$2.95,Image,"14,816"
146,-,Hourman,21,$2.50,DC,"14,718"
147,-,Gatecrasher,5,$2.50,Wizard,"14,574"
148,-,Swamp Thing,8,$2.50,DC,"14,529"
149,-,Batman Gotham Adventures,31,$1.99,DC,"14,282"
150,-,Xena Warrior Princess,14,$2.99,Dark Horse,"14,273"
151,-,Section Zero,4,$2.50,Image,"14,062"
152,-,Racer X,3,$2.50,DC,"13,896"
153,-,Resident Evil Fire and Ice,1,$2.50,DC,"13,887"
154,-,Untold Tales of Purgatori,1,$2.95,Chaos,"13,860"
155,-,Dreaming,55,$2.50,DC,"13,667"
156,-,Echo,7,$2.50,Image,"13,487"
157,-,Shi Year of the Dragon,2,$2.99,Crusade,"13,281"
158,-,Untold Tales of Chastity,1,$2.95,Chaos,"13,218"
159,-,Millennium Edition Superman,1,$3.95,DC,"12,818"
160,-,Batman Beyond,14,$1.99,DC,"12,751"
161,-,Liberty Meadows,15,$2.95,Insight,"12,167"
162,-,Dragonball Z Part 3,9,$2.95,Viz,"12,149"
163,-,Star Trek The Next Generation The Killing Shadows,2,$2.50,DC,"11,997"
164,-,Powerpuff Girls,8,$1.99,DC,"11,391"
165,-,Madman Comics The G-Men From Hell,3,$2.99,Dark Horse,"11,368"
166,-,Silent Screamers Nosferatu,,$4.95,Image,"10,973"
167,-,Oh My Goddess (Part IX),4,$3.50,Dark Horse,"10,820"
168,-,Supreme The Return (resolicited),7,$2.99,Awesome,"10,708"
169,-,Wicked Special ,,$3.95,Image,"10,677"
170,-,Millennium Edition Showcase,22,$2.50,DC,"10,618"
171,-,Violent Messiahs,4,$2.95,Image,"10,470"
172,-,Millennium Edition Adventure Comics,61,$3.95,DC,"10,223"
173,-,Superman Adventures,50,$1.99,DC,"10,214"
174,-,Untold Tales of Evil Ernie Pieces of Me,1,$3.50,Chaos,"10,169"
175,-,Dragonball Part 3,5,$2.95,Viz,"10,111"
176,-,Gundam Wing,8,$2.95,Tokyopop,"9,761"
177,-,Gunsmith Cats Mister V,1,$3.50,Dark Horse,"9,550"
178,-,Brass,5,$2.50,DC,"9,509"
179,-,Jet,2,$2.50,DC,"9,474"
180,-,Grendel Devils Legacy,8,$2.99,Dark Horse,"9,280"
181,-,Atomics,10,$2.95,AAA Pop,"9,222"
182,-,Blade of the Immortal,50,$2.99,Dark Horse,"9,114"
183,-,Blair Witch Dark Testaments,,$2.95,Image,"9,110"
184,-,Usagi Yojimbo,42,$2.99,Dark Horse,"8,930"
185,-,Space Circus,4,$2.99,Dark Horse,"8,594"
186,-,Ring of the Nibelung Valkyrie,3,$2.99,Dark Horse,"8,279"
187,-,Murder Me Dead,2,$2.95,El Capitan,"8,248"
188,-,Creature Commandos,8,$2.50,DC,"8,198"
189,-,Mobile Suit Gundam Wing (Viz),3,$2.95,Viz,"8,068"
190,-,Ranma 1/2 Part 9,6,$2.95,Viz,"7,938"
191,-,Witchblade Preview Book,40,$3.00,Image,"7,781"
192,-,Deadenders,10,$2.50,DC,"7,525"
193,-,Battle Gods Warriors of the Chaak,7,$2.99,Dark Horse,"7,390"
194,-,Cerebus,259,$2.25,Aardvark-Vanaheim,"7,287"
195,-,Knights of the Dinner Table,48,$2.95,Kenzer,"6,950"
196,-,Nocturnals Troll Bridge,,$4.95,Oni,"6,896"
197,-,Unity 2000 (resolicited),5,$2.50,Acclaim,"6,766"
198,-,Avengelyne Revelation,1,$3.50,Avatar,"6,699"
199,-,Powerpuff Girls Double Whammy,,$3.95,DC,"6,564"
200,-,Masakazu Katsuras Shadow Lady Special,,$3.99,Dark Horse,"6,452"
201,-,Millennium Edition New Teen Titans,1,$2.50,DC,"6,416"
202,-,Demonslayer Vol. 3,1,$2.99,Awesome,"6,411"
203,-,Star Wars Darth Maul Photo Cvr,1,$2.95,Dark Horse,"6,088"
204,-,Exposure Second Coming,2,$2.95,Avatar,"6,084"
205,-,Avigon,,$5.95,Image,"6,025"
206,-,Knights of the Dinner Table Illustrated,3,$2.95,Kenzer,"5,662"
207,-,Gold Digger Vol. 2,15,$2.95,Antarctic,"5,635"
208,-,Remarkable Worlds of Phineas B Fuddle,4,$5.95,DC,"5,585"
209,-,Neon Genesis Evangelion Book 5,1,$2.95,Viz,"5,505"
210,-,Youngblood Genesis,1,$2.99,Awesome,"5,370"
211,-,Cardcaptor Sakura,10,$2.95,Tokyopop,"5,347"
212,-,Countdown,7,$2.95,DC,"5,262"
213,-,Scooby-Doo,41,$1.99,DC,"5,226"
214,-,Gen 13 Chrome Cvr,1,$7.95,Diamond,"5,186"
215,-,Pseudo Tick,13,$3.50,New England,"5,105"
216,-,Sonic The Hedgehog,90,$1.99,Archie,"5,051"
217,-,Digimon,9,$2.99,Dark Horse,"4,993"
218,-,Digimon,10,$2.99,Dark Horse,"4,984"
219,-,Night Terrors,1,$2.75,CFD,"4,970"
220,-,No Need For Tenchi Part 10,2,$2.95,Viz,"4,912"
221,-,Century,3,$2.99,Awesome,"4,898"
222,-,Inu Yasha Part 5,5,$2.95,Viz,"4,809"
223,-,Bondage Fairies Extreme,12,$3.50,Fantagraphics,"4,674"
224,-,Metabarons,9,$2.95,Humanoids,"4,328"
225,-,Cavewoman Pangaean Sea,2,$2.95,Basement,"4,283"
226,-,Dark Angel,18,$2.95,CPM,"4,171"
227,-,Dawn 10th Anniversary Special Ltd Ed S&N (Net),,$5.00,Sirius,"4,158"
228,-,Saint Tail,1,$2.95,Tokyopop,"4,158"
229,-,Pokemon Adventures Part 3,3,$2.95,Viz,"4,131"
230,-,Neon Genesis Evangelion Book 5 Coll Ed,1,$2.95,Viz,"4,059"
231,-,Battlestar Galactica Fangs of Beast Reg Ed,,$3.99,Realm,"3,951"
232,-,Aqua Knight Part 2,1,$3.50,Viz,"3,920"
233,-,Lodoss War Chronicles Heroic Knight,2,$2.95,CPM,"3,897"
234,-,Legacy,5,$2.99,Antarctic,"3,879"
235,-,Shadowman Vol. 3 (resolicited),7,$2.50,Acclaim,"3,866"
236,-,Artesia Afield,4,$2.95,Sirius,"3,843"
237,-,Avengelyne Revelation Prelude* (Net),,$3.00,Comic Cavalcade,"3,821"
238,-,El Hazard The Magnificent World,2,$2.95,Viz,"3,758"
239,-,Archie,503,$1.99,Archie,"3,691"
240,-,Gold Digger Edge Guard,2,$2.95,Radio,"3,610"
241,-,Ninja High School,77,$2.95,Antarctic,"3,529"
242,-,Dexters Laboratory,16,$1.99,DC,"3,466"
243,-,Betty & Veronica,155,$1.99,Archie,"3,448"
244,-,Sabrina Vol. 2,13,$1.99,Archie,"3,367"
245,-,Thb 6 Mek Power,4,$3.95,Horse,"3,287"
246,-,Millennium Ed Superman Chromium Edition,1 (Net),$5.00,DC,"3,269"
247,-,Looney Tunes,71,$1.99,DC,"3,260"
248,-,Little Gloomy Halloween Special,,$3.50,Slave Labor,"3,242"
249,-,Betty & Veronica Double Digest,93,$3.19,Archie,"3,228"
250,-,Betty,93,$1.99,Archie,"3,201"
251,-,Archie Double Digest,121,$3.19,Archie,"3,192"
252,-,Miracle Girls,2,$2.95,Tokyopop,"3,183"
253,-,Princess Prince,1,$2.95,CPM,"3,156"
254,-,Slut Girl,5,$3.95,Fantagraphics,"3,138"
255,-,Co-Ed Sexxtasy,11,$3.50,Fantagraphics,"3,120"
256,-,Pokemon The Movie 2000 The Power of One,4,$3.95,Viz,"3,116"
257,-,Matt Buschs Daria Jontak Reg Ed,1,$3.99,Realm,"3,085"
258,-,Warrior Nun Areala Vol. 3,15,$2.95,Antarctic,"3,085"
259,-,Veronica,107,$1.99,Archie,"3,035"
260,-,Gigantor,8,$2.95,Antarctic,"2,990"
261,-,Martian Successor Nadesico,17,$2.95,CPM,"2,945"
262,-,Pals N Gals Double Digest,54,$3.19,Archie,"2,941"
263,-,Voice of Submission Gehenna,1,$3.50,Fantagraphics,"2,860"
264,-,Cartoon Network Starring,16,$1.99,DC,"2,860"
265,-,AD&D Forgotten Realms Forbidden Sands Anauroch,5,$4.95,Twenty First,"2,856"
266,-,Betty & Veronica Spectacular,45,$1.99,Archie,"2,833"
267,-,Tarot Witch of the Black Rose Curr Ptg,1,$2.95,Broadsword,"2,793"
268,-,Silent Mobius Catastrophe,5,$2.95,Viz,"2,757"
269,-,Stark Raven,2,$2.95,Harris,"2,757"
270,-,Avengelyne Revelation Wraparound Cover,1,$3.50,Avatar,"2,752"
271,-,Cheryl Blossom,37,$1.99,Archie,"2,689"
272,-,Archies Weird Mysteries,12,$1.99,Archie,"2,676"
273,-,Geobreeders,20,$2.95,CPM,"2,613"
274,-,Archie Digest,176,$2.19,Archie,"2,604"
275,-,Holiday Fun Digest,5,$2.19,Archie,"2,559"
276,-,X-Men Universe,13,$3.99,Marvel,"2,514"
277,-,Oh My Goth Humans Suck,3,$2.95,Sirius,"2,487"
278,-,Jughead,133,$1.99,Archie,"2,362"
279,-,Time Traveler Ai,13,$2.95,CPM,"2,348"
280,-,Creed Mechanical Evolution,2,$2.95,Gearbox,"2,330"
281,-,Crime Patrol,9,$2.50,Gemstone,"2,330"
282,-,War Against Crime,9,$2.50,Gemstone,"2,317"
283,-,Tigers of Terra Vol. 3,2,$2.95,Antarctic,"2,254"
284,-,Laugh Digest,162,$2.19,Archie,"2,254"
285,-,Avengers Universe,5,$3.99,Marvel,"2,236"
286,-,Genus,44,$2.95,Radio,"2,222"
287,-,Futabakun Change Vol. 5,4,$2.95,Ironcat,"2,209"
288,-,Warrior Nun Brigantia,3,$2.95,Antarctic,"2,196"
289,-,Action Girl Comics (resolicited),19,$2.95,Slave Labor,"2,182"
290,-,Vampire Princess Yui Vol. 1,4,$2.95,Ironcat,"2,178"
291,-,Twilight Girl,2,$2.95,Crossgen,"2,178"
292,-,Jughead With Archie Digest,162,$2.19,Archie,"2,169"
293,-,Doll Parts,,$2.95,Sirius,"2,101"
294,-,Nodwick,5,$2.95,Dork Storm,"2,061"
295,-,Weather Woman,3,$2.95,CPM,"2,025"
296,-,Alice In Lost World,1,$2.95,Radio,"1,913"
297,-,DF Aphrodite IX,0 FoilCvr,$10.00,Dynamic Forces,"1,841"
298,-,Maxion,11,$2.95,CPM,"1,832"
299,-,Furrlough,94,$2.95,Radio,"1,805"
300,-,Vampfire Remastered,1,$2.95,Broadsword,"1,787"
