Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Civil War,6,$2.99,Marvel,"259,251"
2,4,Civil War Return,&nbsp;,$2.99,Marvel,"125,707"
3,2,Wolverine,50,$3.99,Marvel,"115,616"
4,5,Amazing Spider-Man,537,$2.99,Marvel,"114,796"
5,3,Ultimate Spider-Man,104,$3.99,Marvel,"108,076"
6,10,52,35,$2.50,DC,"105,089"
7,6,Civil War Front Line,10,$2.99,Marvel,"99,790"
8,7,All Star Superman,6,$2.99,DC,"98,797"
9,8,Wolverine Origins,10,$2.99,Marvel,"97,876"
10,16,52,36,$2.50,DC,"96,810"
11,17,52,37,$2.50,DC,"96,607"
12,18,52,38,$2.50,DC,"95,940"
13,19,52,39,$2.50,DC,"94,860"
14,9,Punisher War Journal,2,$2.99,Marvel,"87,966"
15,11,Justice Society of America,2,$2.99,DC,"86,175"
16,12,Fantastic Four,542,$2.99,Marvel,"84,334"
17,13,Uncanny X-Men,482,$2.99,Marvel,"83,855"
18,20,Moon Knight,7,$2.99,Marvel,"76,918"
19,21,X-Men,195,$2.99,Marvel,"76,896"
20,23,Batman,662,$2.99,DC,"72,495"
21,24,Punisher War Journal,3,$2.99,Marvel,"70,139"
22,25,Ultimate X-Men,78,$2.99,Marvel,"66,406"
23,26,Green Lantern,16,$2.99,DC,"66,101"
24,27,Thunderbolts,110,$2.99,Marvel,"64,963"
25,14,Eternals,6,$3.99,Marvel,"62,339"
26,28,Superman,658,$2.99,DC,"60,679"
27,29,Teen Titans,43,$2.99,DC,"60,287"
28,30,Black Panther,24,$2.99,Marvel,"57,706"
29,22,Spider-Man Reign,2,$3.99,Marvel,"56,786"
30,31,Ultimate Fantastic Four,38,$2.99,Marvel,"52,856"
31,32,Flash Fastest Man Alive,8,$2.99,DC,"50,964"
32,33,Batman Confidential,2,$2.99,DC,"47,448"
33,34,Daredevil,93,$2.99,Marvel,"47,122"
34,35,Sensational Spider-Man,34,$2.99,Marvel,"47,006"
35,36,Incredible Hulk,102,$2.99,Marvel,"46,962"
36,37,Newuniversal,2,$2.99,Marvel,"44,780"
37,38,Silent War,1,$2.99,Marvel,"44,077"
38,39,X-23 Target X,2,$2.99,Marvel,"43,997"
39,40,Ghost Rider,7,$2.99,Marvel,"43,555"
40,41,Blade,5,$2.99,Marvel,"42,511"
41,42,Friendly Neighborhood Spider-Man,16,$2.99,Marvel,"41,830"
42,43,Superman Confidential,3,$2.99,DC,"41,344"
43,15,Superman Batman Vs Aliens Predators,1,$5.99,DC,"40,887"
44,44,Ultimate Vision,2,$2.99,Marvel,"40,286"
45,46,X-Factor,15,$2.99,Marvel,"38,691"
46,47,Annihilation,6,$2.99,Marvel,"38,169"
47,48,New X-Men,34,$2.99,Marvel,"37,270"
48,49,Green Lantern Corps,8,$2.99,DC,"36,922"
49,50,Outsiders,44,$2.99,DC,"34,435"
50,51,Star Wars Legacy,7,$2.99,Dark Horse,"34,247"
51,52,Fantastic Four End,4,$2.99,Marvel,"34,167"
52,53,Nightwing,128,$2.99,DC,"33,928"
53,54,Squadron Supreme Hyperion Vs Nighthawk,1,$2.99,Marvel,"33,921"
54,55,Ion,10,$2.99,DC,"33,718"
55,56,Punisher,43,$2.99,Marvel,"33,022"
56,57,Supergirl & Legion of Super-Heroes,26,$2.99,DC,"32,340"
57,58,Ms Marvel,11,$2.99,Marvel,"32,297"
58,59,Green Arrow,70,$2.99,DC,"31,796"
59,61,Exiles,90,$2.99,Marvel,"31,593"
60,62,New Excalibur,15,$2.99,Marvel,"30,825"
61,64,Star Wars Dark Times,2,$2.99,Dark Horse,"30,499"
62,65,Anita Blake Vampire Hunter Guilty Pleasures,4,$2.99,Marvel,"30,390"
63,45,Ghost Rider Finale,0,$3.99,Marvel,"29,839"
64,68,Robin,158,$2.99,DC,"29,462"
65,69,Birds of Prey,102,$2.99,DC,"29,042"
66,70,Justice League of America,5,$2.99,DC,"28,991"
67,72,Iron Man Hypervelocity,1,$2.99,Marvel,"28,628"
68,73,Gen 13,4,$2.99,DC,"27,613"
69,74,She-Hulk 2,15,$2.99,Marvel,"27,599"
70,75,Midnighter,3,$2.99,DC,"27,563"
71,76,Heroes For Hire,6,$2.99,Marvel,"27,512"
72,77,Spirit,2,$2.99,DC,"27,244"
73,78,Cable Deadpool,36,$2.99,Marvel,"26,802"
74,79,X-Men First Class,5,$2.99,Marvel,"26,606"
75,81,Conan,36,$2.99,Dark Horse,"26,330"
