Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Uncanny X-Men (prism etched cover),350,$3.99,Marvel,"171,453"
2,2,X-Men,70,$2.99,Marvel,"166,928"
3,3,Heroes Reborn: The Return,1,$2.50,Marvel,"160,541"
4,8,Spawn,67,$1.95,Image,"156,355"
5,4,Heroes Reborn: The Return,2,$2.50,Marvel,"145,584"
6,5,Heroes Reborn: The Return,4,$2.50,Marvel,"144,138"
7,6,Heroes Reborn: The Return,3,$2.50,Marvel,"143,530"
8,7,Witchblade,18,$2.50,Image,"134,571"
9,14,Wolverine,119,$1.99,Marvel,"127,250"
10,17,JLA,13,$1.95,DC,"111,218"
11,9,Wolverine: Days of Future Past,1,$2.50,Marvel,"106,333"
12,11,Darkness,9,$2.50,Image,"105,405"
13,20,Curse of Spawn,14,$1.95,Image,"101,888"
14,21,Generation X,33,$1.99,Marvel,"97,448"
15,23,Creech,1,$1.95,Image,"94,015"
16,26,X-Man,33,$1.99,Marvel,"88,095"
17,28,X-Force,72,$1.99,Marvel,"84,815"
18,15,X-Men Unlimited,17,$2.99,Marvel,"83,836"
19,30,X-Factor,140,$1.99,Marvel,"83,256"
20,31,Cable,49,$1.99,Marvel,"82,429"
21,19,Gen13,24,$2.50,Image,"82,159"
22,38,Incredible Hulk,459,$1.99,Marvel,"76,351"
23,22,Ascension,2,$2.50,Image,"74,365"
24,25,Divine Right,2,$2.50,Image,"71,050"
25,45,Amazing Spider-Man,429,$1.99,Marvel,"69,182"
26,29,Gambit,4,$2.50,Marvel,"67,145"
27,46,Excalibur,115,$1.99,Marvel,"66,183"
28,35,New Mutants,2,$2.50,Marvel,"62,919"
29,50,Alpha Flight,5,$1.99,Marvel,"61,416"
30,51,Spider-Man,86,$1.99,Marvel,"61,231"
31,53,Superman,130,$1.95,DC,"60,493"
32,24,Unlimited Access,1,$2.99,Marvel,"60,133"
33,54,Spectacular Spider-Man,252,$1.99,Marvel,"59,160"
34,58,Kiss: The Psycho Circus,4,$1.95,Image,"58,653"
35,59,Superman: The Man of Steel,74,$1.95,DC,"58,276"
36,61,Action Comics,740,$1.95,DC,"58,164"
37,62,Adventures of Superman,553,$1.95,DC,"58,040"
38,66,Batman,549,$1.95,DC,"56,273"
39,67,Sensational Spider-Man,22,$1.99,Marvel,"54,725"
40,33,Tangent Comics/Green Lantern,1,$2.95,DC,"54,377"
41,34,Tangent Comics/The Joker,1,$2.95,DC,"54,360"
42,18,Deadpool,11,$3.99,Marvel,"53,729"
43,36,Tangent Comics/The Flash,1,$2.95,DC,"52,480"
44,12,Batman: The Long Halloween,13,$4.95,DC,"52,176"
45,48,Kitty Pryde: Agent of S.H.I.E.L.D.,1,$2.50,Marvel,"52,165"
46,38,Xena: Warrior Princess (incl. comic w/photo cover),0,$2.95,Topps,"51,647"
47,81,Quicksilver (two covers),2,$1.99,Marvel,"51,276"
48,39,Tangent Comics/Nightwing,1,$2.95,DC,"51,079"
49,72,Detective Comics,716,$1.95,DC,"49,959"
50,40,Tangent Comics/The Atom,1,$2.95,DC,"49,031"
51,73,Batman/Predator III: Blood Ties,2,$1.95,DC,"48,614"
52,41,Tangent Comics/Secret Six,1,$2.95,DC,"48,592"
