Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
1,1,Amazing Spider-Man,800,$9.99,05/30/18,Marvel,"411,480"
2,2,Venom,1,$4.99,05/09/18,Marvel,"225,782"
3,3,Doomsday Clock,5,$4.99,05/30/18,DC,"146,817"
4,4,Avengers,1,$4.99,05/02/18,Marvel,"131,450"
5,5,Black Panther,1,$4.99,05/23/18,Marvel,"122,358"
6,12,Batman,47,$2.99,05/16/18,DC,"101,566"
7,14,Batman,46,$2.99,05/02/18,DC,"100,140"
8,10,Justice League No Justice,1,$3.99,05/09/18,DC,"86,775"
9,11,Man of Steel,1*,$3.99,05/30/18,DC,"78,942"
10,13,Walking Dead,179,$3.99,05/02/18,Image,"73,744"
11,8,Batman White Knight,8,$4.99,05/09/18,DC,"73,616"
12,17,Justice League No Justice,2,$3.99,05/16/18,DC,"68,812"
13,21,Avengers,2,$3.99,05/16/18,Marvel,"66,646"
14,18,Justice League No Justice,3,$3.99,05/23/18,DC,"65,916"
15,19,Justice League No Justice,4,$3.99,05/30/18,DC,"64,342"
16,7,Despicable Deadpool,300,$5.99,05/09/18,Marvel,"59,931"
17,16,Infinity Countdown,3,$4.99,05/02/18,Marvel,"59,041"
18,9,Invincible Iron Man,600,$5.99,05/23/18,Marvel,"58,528"
19,15,X-Men Wedding Special,1,$4.99,05/16/18,Marvel,"56,110"
20,41,Flash,47,$2.99,05/23/18,DC,"53,222"
21,24,Batman Prelude to the Wedding Robin Vs. Ras Al Ghul,1,$3.99,05/30/18,DC,"53,113"
22,43,Flash,46,$2.99,05/09/18,DC,"52,255"
23,6,Action Comics,1000,$7.99,04/18/18,DC,"52,129"
24,44,Detective Comics,980,$2.99,05/09/18,DC,"51,162"
25,45,Detective Comics,981,$2.99,05/23/18,DC,"50,757"
26,25,Star Wars Darth Vader,16,$3.99,05/09/18,Marvel,"50,612"
27,27,Star Wars,47,$3.99,05/02/18,Marvel,"50,041"
28,20,Action Comics Special,1,$4.99,05/02/18,DC,"47,236"
29,26,Hunt For Wolverine Mystery Madripoor,1,$3.99,05/23/18,Marvel,"47,144"
30,31,Star Wars,48,$3.99,05/23/18,Marvel,"46,418"
31,32,X-Men Red,4,$3.99,05/16/18,Marvel,"44,607"
32,34,Hunt For Wolverine Weapon Lost,1,$3.99,05/02/18,Marvel,"44,389"
33,33,Captain America,701,$3.99,05/02/18,Marvel,"43,918"
34,23,Superman Special,1,$4.99,05/16/18,DC,"43,378"
35,35,Star Wars Lando Double or Nothing,1,$3.99,05/30/18,Marvel,"42,904"
