Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Infinite Crisis,1,$3.99,DC,"249,107"
2,3,House of M,7,$2.99,Marvel,"134,344"
3,4,New Avengers,12,$2.50,Marvel,"127,868"
4,2,Justice,2,$3.50,DC,"125,036"
5,5,Friendly Neighborhood Spider-Man,1,$2.99,Marvel,"85,707"
6,6,Uncanny X-Men,465,$2.50,Marvel,"84,217"
7,7,Villains United,6,$2.50,DC,"83,854"
8,9,JLA,120,$2.50,DC,"82,840"
9,11,Amazing Spider-Man,525,$2.50,Marvel,"79,469"
10,14,JLA,121,$2.50,DC,"78,819"
11,18,Wolverine,34,$2.50,Marvel,"75,616"
12,19,Ultimate X-Men,64,$2.50,Marvel,"75,070"
13,20,Ultimate Spider-Man,84,$2.50,Marvel,"74,623"
14,21,X-Men,176,$2.50,Marvel,"74,588"
15,22,Wolverine,35,$2.50,Marvel,"73,637"
16,23,Rann Thanagar War,6,$2.50,DC,"71,329"
17,24,Ultimate Fantastic Four,24,$2.50,Marvel,"70,504"
18,25,Batman,646,$2.50,DC,"69,931"
19,8,Ghost Rider,2,$2.99,Marvel,"69,644"
20,10,Green Lantern Corps Recharge,2,$2.99,DC,"68,882"
21,27,Superman,222,$2.50,DC,"67,595"
22,28,Teen Titans,28,$2.50,DC,"66,539"
23,13,Marvel Knights Spider-Man,19,$2.99,Marvel,"66,098"
24,15,Ultimate Secret,4,$2.99,Marvel,"64,868"
25,17,Young Avengers,8,$2.99,Marvel,"63,833"
26,26,DC Special Return of Donna Troy,4,$2.99,DC,"57,749"
27,31,JSA Classified,4,$2.50,DC,"55,868"
28,16,Superman Shazam First Thunder,2,$3.50,DC,"54,567"
29,32,JSA,78,$2.50,DC,"54,035"
30,29,Sentry,2,$2.99,Marvel,"53,350"
31,35,Wonder Woman,221,$2.50,DC,"52,861"
32,36,Adventures of Superman,645,$2.50,DC,"51,000"
33,42,Action Comics,832,$2.50,DC,"47,937"
34,43,Outsiders,29,$2.50,DC,"47,581"
35,44,Wonder Woman,222,$2.50,DC,"47,035"
36,45,Flash,227,$2.50,DC,"46,637"
37,33,Captain America,11,$2.99,Marvel,"45,133"
38,34,Daredevil,78,$2.99,Marvel,"45,042"
39,49,JLA Classified,13,$2.50,DC,"43,805"
40,37,Incredible Hulk,87,$2.99,Marvel,"42,427"
41,38,New X-Men,19,$2.99,Marvel,"41,665"
42,39,Exiles,71,$2.99,Marvel,"41,105"
43,40,Captain Atom Armageddon,1,$2.99,DC,"40,637"
44,41,Black Panther,9,$2.99,Marvel,"40,147"
45,12,Spawn,150,$4.95,Image,"40,126"
46,55,Nightwing,113,$2.50,DC,"39,811"
47,56,Detective Comics,812,$2.50,DC,"39,245"
48,46,Supreme Power Hyperion,2,$2.99,Marvel,"37,399"
49,48,She-Hulk 2,1,$2.99,Marvel,"37,196"
50,50,Punisher,26,$2.99,Marvel,"36,427"
51,51,Supreme Power Nighthawk,2,$2.99,Marvel,"35,161"
52,52,Conan,21,$2.99,Dark Horse,"34,210"
53,62,Robin,143,$2.50,DC,"34,119"
54,53,Legion of Super Heroes,11,$2.99,DC,"34,091"
55,54,Mutopia X,4,$2.99,Marvel,"33,944"
56,66,Green Arrow,55,$2.50,DC,"32,783"
57,68,Birds of Prey,87,$2.50,DC,"32,063"
58,47,Marvel 1602 New World,4,$3.50,Marvel,"31,818"
59,57,Weapon X Days of Future Now,4,$2.99,Marvel,"30,385"
60,75,Batman Gotham Knights,70,$2.50,DC,"30,280"
61,58,New Thunderbolts,13,$2.99,Marvel,"29,231"
62,59,Defenders,4,$2.99,Marvel,"29,056"
63,61,X-Men Colossus Bloodline,2,$2.99,Marvel,"28,867"
64,63,Thor Blood Oath,2,$2.99,Marvel,"28,462"
65,64,Conan & Demons of Khitai,1,$2.99,Dark Horse,"28,357"
66,83,Batman Journey Into Knight,3,$2.50,DC,"28,196"
67,65,New Thunderbolts,14,$2.99,Marvel,"27,846"
68,67,Astro City Dark Age,4,$2.99,DC,"27,350"
69,88,Batgirl,69,$2.50,DC,"26,853"
70,69,Runaways,9,$2.99,Marvel,"26,783"
71,70,Army of Darkness,1,$2.99,Dynamic,"26,623"
72,71,Y The Last Man,38,$2.99,DC,"26,518"
73,74,Powers,13,$2.95,Marvel,"26,518"
74,72,Thor Blood Oath,3,$2.99,Marvel,"26,504"
75,73,Fathom,4,$2.99,Aspen,"26,455"
76,77,Marvel Knights 4,23,$2.99,Marvel,"25,084"
77,78,Cable Deadpool,21,$2.99,Marvel,"25,014"
78,79,Nick Fury Howling Commandos,1,$2.99,Marvel,"24,972"
79,85,Fables,42,$2.75,DC,"24,937"
80,96,Batman Legends of the Dark Knight,196,$2.50,DC,"24,916"
81,30,Batman Gotham County Line,1,$5.99,DC,"24,518"
82,81,Daredevil Vs Punisher,5,$2.99,Marvel,"24,371"
83,82,Book of Lost Souls,1,$2.99,Marvel,"24,350"
84,105,Hawkman,45,$2.50,DC,"23,364"
85,84,X-Men Unlimited,11,$2.99,Marvel,"23,329"
86,107,Firestorm,18,$2.50,DC,"23,231"
87,109,Aquaman,35,$2.50,DC,"22,630"
88,87,Loveless,1,$2.99,DC,"22,469"
89,89,Ex Machina,15,$2.99,DC,"21,734"
90,60,New X-Men Academy X Yearbook Sp,,$3.99,Marvel,"21,720"
91,92,G.I. Joe Americas Elite,4,$2.95,Devil's Due,"21,385"
92,112,Catwoman,48,$2.50,DC,"21,091"
93,93,Marvel Team-Up,13,$2.99,Marvel,"21,035"
94,95,Black Widow 2,2,$2.99,Marvel,"20,853"
95,98,Star Wars Republic,78,$2.99,Dark Horse,"20,671"
96,104,G.I. Joe Snake-Eyes Declassified,3,$2.95,Devil's Due,"19,804"
97,100,Soulfire Dying of the Light,3,$2.99,Aspen,"19,762"
98,101,Star Wars Empire,36,$2.99,Dark Horse,"19,685"
99,106,Hulk Destruction,4,$2.99,Marvel,"19,490"
100,76,Ghost Rider,1 Directors Cut,$3.99,Marvel,"18,930"
101,999,Authority Revolution,12,$2.99,DC,"18,245"
102,999,Spider-Girl,91,$2.99,Marvel,"18,147"
103,999,Gotham Central,36,$2.50,DC,"18,014"
104,999,Fantastic Four Iron Man Big in Japan,1,$3.50,Marvel,"17,678"
105,999,Walking Dead,22,$2.99,Image,"17,623"
106,999,Wraithborn,2,$2.99,DC,"17,308"
107,999,Fell,2,$1.99,Image,"17,147"
108,999,Wildcats Nemesis,2,$2.99,DC,"16,818"
109,999,Drax The Destroyer,2,$2.99,Marvel,"16,588"
110,999,Spider-Man Other Sketchbook,,$2.99,Marvel,"16,406"
111,999,Marvel Monsters Devil Dinosaur,,$3.99,Marvel,"16,280"
112,999,Authority Magnificient Kevin,3,$2.99,DC,"16,182"
113,999,Jack Cross,3,$2.50,DC,"15,972"
114,999,Official Handbook Marvel Universe Horror 2005,,$3.99,Marvel,"15,839"
115,999,BPRD Black Flame,3,$2.99,Dark Horse,"15,818"
116,999,Marvel Monsters Monsters of the Prowl,,$3.99,Marvel,"15,671"
117,999,Vice,1,$2.99,Image,"15,511"
118,999,Witchblade,90,$2.99,Image,"15,196"
119,999,Witchblade,91,$2.99,Image,"15,042"
120,999,Marvel Nemesis Imperfects,6,$2.99,Marvel,"14,986"
121,999,Solo,7,$4.99,DC,"14,951"
122,999,Albion,3,$2.99,DC,"14,825"
123,999,100 Bullets,65,$2.75,DC,"14,734"
124,999,Marvel Monsters Where Monsters Dwell,,$3.99,Marvel,"14,706"
125,999,Hellblazer,213,$2.75,DC,"14,678"
126,999,Angel Curse,5,$3.99,IDW,"14,650"
127,999,Top Ten Beyond Farthest Precinct,3,$2.99,DC,"14,490"
128,999,Blood of the Demon,8,$2.50,DC,"14,448"
129,999,Manhunter,15,$2.50,DC,"14,336"
130,999,Marvel Monsters Fin Fang Four,,$3.99,Marvel,"14,280"
131,999,Doom Patrol,17,$2.50,DC,"14,105"
132,999,Supergirl,1,$2.99,DC,"14,049"
133,999,Justice,1,$2.99,DC,"13,930"
134,999,Rising Stars Voices of the Dead,5,$2.99,Image,"13,888"
135,999,Spider-Man Family,1,$4.99,Marvel,"13,657"
136,999,Shaolin Cowboy,4,$3.50,Burlyman,"13,497"
137,999,Freshmen,3,$2.99,Image,"13,315"
138,999,Cannon Hawke,1,$2.99,Aspen,"13,014"
139,999,Teen Titans Go,24,$2.25,DC,"12,986"
140,999,Darkness,24,$2.99,Image,"12,986"
141,999,Aeon Flux,1,$2.99,Dark Horse,"12,902"
142,999,Necromancer,2,$2.99,Image,"12,867"
143,999,Revelations,3,$2.99,Dark Horse,"12,615"
144,999,X-Men & Power Pack,1,$2.99,Marvel,"12,287"
145,999,Bart Simpsons Treehouse of Horror,11,$4.99,Bongo,"12,266"
146,999,JLA,119,$2.50,DC,"12,224"
147,999,Girls,6,$2.99,Image,"12,105"
148,999,Majestic,10,$2.99,DC,"11,979"
149,999,Amazing Fantasy,13,$2.99,Marvel,"11,965"
150,999,Arana Heart of the Spider,10,$2.99,Marvel,"11,916"
151,999,Escape of the Living Dead,1,$3.99,Avatar,"11,769"
152,999,Robotech Prelude To Shadow Chronicles,1,$3.50,DC,"11,727"
153,999,Cannon Hawke,2,$2.99,Aspen,"11,629"
154,999,Amazing Fantasy,14,$2.99,Marvel,"11,615"
155,999,Kabuki,5,$2.99,Marvel,"11,413"
156,999,Wonder Woman,220 2nd Ptg,$2.50,DC,"11,364"
157,999,Simpsons Comics,111,$2.99,Bongo,"11,259"
158,999,G.I. Joe Americas Elite Data Desk Handbook,,$2.95,Devil's Due,"11,224"
159,999,Lucifer,67,$2.75,DC,"11,161"
160,999,Cannon Hawke Prelude,,$2.50,Aspen,"11,070"
161,999,Silent Dragon,4,$2.99,DC,"10,958"
162,999,Books of Magick Life During Wartime,15,$2.75,DC,"10,867"
163,999,Robotech Prelude To Shadow Chronicles,2,$3.50,DC,"10,804"
164,999,Justice League Unlimited,14,$2.25,DC,"10,699"
165,999,Swamp Thing,20,$2.99,DC,"10,203"
166,999,Serenity,2,$2.99,Dark Horse,"10,189"
167,999,Supergirl,2,$2.99,DC,"10,182"
168,999,Adventures of Superman,643 2nd Ptg,$2.50,DC,"9,168"
169,999,Strangers in Paradise,77,$2.95,Abstract,"9,070"
170,999,Gravity,5,$2.99,Marvel,"8,986"
171,999,Futurama Comics,21,$2.99,Bongo,"8,951"
172,999,Batman Strikes,14,$2.25,DC,"8,944"
173,999,Evil Ernie in Santa Fe,1,$2.95,Devil's Due,"8,881"
174,999,George Romeros Land of the Dead,2,$3.99,IDW,"8,867"
175,999,Astonishing X-Men,12,$2.99,Marvel,"8,853"
176,999,Sonic X,2,$2.25,Archie,"8,811"
177,999,Mega Morphs,4,$2.99,Marvel,"8,783"
178,999,Haunted Mansion,1,$2.95,Slave Labor,"8,783"
179,999,Purgatori,1,$2.95,Devil's Due,"8,573"
180,999,Dragonlance Chronicles,3,$2.95,Devil's Due,"8,566"
181,999,Losers,29,$2.99,DC,"8,420"
182,999,Breach,10,$2.50,DC,"8,336"
183,999,Sonic The Hedgehog,154,$2.25,Archie,"8,238"
184,999,Intimates,12,$2.99,DC,"7,804"
185,999,Fear Agent,1,$2.99,Image,"7,643"
186,999,Garth Ennis 303,6,$3.99,Avatar,"7,594"
187,999,Brian Pulidos Medieval Lady Death,7,$3.99,Avatar,"7,511"
188,999,Son of Vulcan,5,$2.99,DC,"7,252"
189,999,City of Heroes,6,$2.99,Image,"7,245"
190,999,House of M,4,$2.99,Marvel,"7,084"
191,999,Marvel Adventures Spider-Man,8,$2.50,Marvel,"7,084"
192,999,Bart Simpson Comics,26,$2.99,Bongo,"6,804"
193,999,JSA Classified,3,$2.50,DC,"6,587"
